ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,0.52307763340462,0.016204338123017893,0.015661302476683313,0.01676116071191392,0.0028924082847186874,0.002664183720873762,0.0031349110559749853,204328,205172
trajectory,1,0.5340429027960643,0.022264015567417136,0.02159464304352867,0.022948499843322697,0.005859523628338787,0.005515851924062483,0.00621890309231364,183974,184576
trajectory,2,0.5355686644285467,0.024473214067203444,0.023729517686696233,0.02523384286538667,0.007293017792026627,0.006886213617102596,0.007717442802807837,163444,164156
trajectory,3,0.5378522174030336,0.026104698286704493,0.025284740991720425,0.026943930368710185,0.008685262304703876,0.008211013079675433,0.00917957442905032,143116,143534
trajectory,4,0.5388542303627238,0.026695132783024635,0.025800409139483345,0.027612315320690174,0.008882080199480114,0.008364693599099497,0.00942286998183967,122719,122981
trajectory,5,0.5433196764994115,0.028675413107921693,0.02766077939077603,0.029716907828742128,0.010527036678309022,0.009910387415539307,0.01117169216913582,102213,102537
trajectory,6,0.5464350004719535,0.03187504590300389,0.03068096834515157,0.033102515970288626,0.012302005043210027,0.011557361187335602,0.013081574900167548,81694,82106
trajectory,7,0.5453974223004491,0.028703522185192447,0.027394998197936064,0.030056978066861438,0.009001502973273215,0.008268474716348692,0.009781630782963189,61212,61638
trajectory,8,0.5386098096913656,0.0236944737423042,0.02223982341646835,0.02521749232722904,0.007407589099560941,0.006598208765464234,0.008288264028158526,40769,41131
trajectory,9,0.5483233964638138,0.026264685891834158,0.024123530034238568,0.028540916661154332,0.01082629381493349,0.009458167297981952,0.012334984334005263,20598,20352
last_round,0,0.52307763340462,0.016204338123017893,0.015661302476683313,0.01676116071191392,0.0028924082847186874,0.002664183720873762,0.0031349110559749853,204328,205172
last_round,1,0.5291113810906684,0.02228032221944405,0.021610708209061812,0.022965047437396493,0.006484611956037266,0.0061229132368497575,0.006861990744490085,183974,184576
last_round,2,0.5289463578139458,0.02281515381415041,0.022096692895050337,0.023550609365473478,0.0072563079709258215,0.0068505363946509586,0.007679702123022161,163444,164156
last_round,3,0.5313332630101989,0.025566673188183012,0.024755058249549117,0.02639758588916027,0.008825009083540624,0.008346938897037614,0.009323134965418213,143116,143534
last_round,4,0.5323316629151179,0.026328441398642426,0.025439773224906696,0.02723958676616592,0.008873931502049397,0.008356783807998532,0.00941448287398376,122719,122981
last_round,5,0.5367375535920884,0.027882950309647502,0.02688216430894568,0.028910644788248917,0.010086779568156692,0.009483230555672767,0.010718366093638111,102213,102537
last_round,6,0.540035084915322,0.03189952750507993,0.030705001799914564,0.03312744389080315,0.012008225818297549,0.01127256192262308,0.01277884117402205,81694,82106
last_round,7,0.5370105941384045,0.027576292230281643,0.02629330324237528,0.028904327720275697,0.008805462981114814,0.00808056422845491,0.009577487380498472,61212,61638
last_round,8,0.5286391616373488,0.022345409502317937,0.02093251273140154,0.023826889672923877,0.0054453138413991025,0.004754112570604302,0.006208316181378286,40769,41131
last_round,9,0.5308544111452782,0.023206136518108555,0.021193298562335545,0.025355042732039073,0.006117098747451209,0.005098189984803287,0.007278934294642808,20598,20352
