ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,0.5572418176539152,0.02387933011039617,0.023222714813813595,0.024549456038719757,0.0042002253779471095,0.003924850787182384,0.0044897616810561924,204989,204511
trajectory,1,0.5756663781393957,0.03372944815236855,0.03290984059290961,0.034563765183504715,0.006326984643767975,0.005970047173995421,0.006699582024605572,184290,184260
trajectory,2,0.5842605955579374,0.04137035094353432,0.0404114742167655,0.04234548752741006,0.00964881250076239,0.009181283312325187,0.01013380116289072,163958,163642
trajectory,3,0.5936617140740704,0.04919976289270895,0.04808594348156453,0.0503318552618914,0.012601555144879529,0.012030589265858102,0.013192353452234016,143395,143255
trajectory,4,0.602710645853706,0.056247354884917146,0.05496549400958456,0.05755020928433322,0.015683497737409253,0.014996144067461265,0.016393845282853012,122868,122832
trajectory,5,0.610642945659807,0.06408203125,0.0625895313753972,0.06559927924100009,0.018994140625,0.018166830261859626,0.019848851662110565,102400,102350
trajectory,6,0.6242099966264526,0.072239724521943,0.07047571521739177,0.0740341071112981,0.02367694825017706,0.02264642800084023,0.02474139756686225,81894,81906
trajectory,7,0.6392660358293313,0.07996091523491572,0.07782735732074365,0.0821342681058763,0.02871101701815813,0.02740436090035539,0.03006246248303397,61405,61445
trajectory,8,0.6514661887656508,0.08355460281113737,0.08089509001104818,0.08627319036018795,0.03578475554797691,0.034008580622415865,0.037626973941557104,41051,40849
trajectory,9,0.690060945849168,0.12261858475894245,0.11816615462431682,0.12717793726667112,0.06133359253499222,0.05809296848520403,0.06469882618149744,20576,20374
last_round,0,0.5572418176539152,0.02387933011039617,0.023222714813813595,0.024549456038719757,0.0042002253779471095,0.003924850787182384,0.0044897616810561924,204989,204511
last_round,1,0.5640483757127346,0.03464648108958707,0.033816126069220444,0.03549151583405278,0.007688968473601389,0.007295214718956528,0.008098324860338834,184290,184260
last_round,2,0.5725354623247059,0.043376962392807916,0.042395983130806975,0.04437412886159765,0.0119298844826114,0.01140995316073806,0.012467179474466822,163958,163642
last_round,3,0.5821574277609034,0.05219847275009589,0.051052801755377235,0.05336229309507976,0.015439868893615538,0.014808042092307669,0.016091397789502682,143395,143255
last_round,4,0.5923688968153765,0.06174105544161214,0.060401551463256924,0.06310128935555791,0.018548360842530195,0.01780124548908886,0.019318320192862493,122868,122832
last_round,5,0.6009268733588788,0.06845703125,0.06691767759362817,0.07002088147050863,0.021875,0.020987758389014965,0.022789464270349752,102400,102350
last_round,6,0.6155259823035232,0.07651354189562116,0.07470189390985554,0.07835525614729476,0.028011820157764915,0.026892341881337645,0.029164898453237158,81894,81906
last_round,7,0.6287810432263368,0.0841136715251201,0.08192988644835533,0.0863368536399734,0.034997150069212606,0.03355747821487597,0.03648098133313393,61405,61445
last_round,8,0.6402364514645553,0.08825607171567075,0.08552901319376219,0.09104152951615743,0.03990158583225743,0.03802862521204197,0.0418399747016734,41051,40849
last_round,9,0.6703823927050928,0.12874222395023327,0.12419444236274908,0.1333951774931617,0.06599922239502333,0.06264399238117503,0.06947769666015513,20576,20374
