ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,0.6349789517632405,0.05675291580907576,0.05575290042427336,0.05776554546483213,0.016220719396256,0.015677057684963386,0.016778185702388017,204060,205440
trajectory,1,0.6973287443994679,0.11973130542233933,0.11825001940566196,0.12122460301003642,0.05554073695040364,0.0544976955498709,0.056597831705650276,183703,184847
trajectory,2,0.7051046628149903,0.13095858176715341,0.12932530537165984,0.13260498111082464,0.06382783153276263,0.06264652139031082,0.06502466633699448,163189,164411
trajectory,3,0.7061580126191912,0.1312866949846397,0.12953971768568998,0.13304864748504056,0.06537393020342755,0.0640976612092629,0.06666786848631714,142901,143749
trajectory,4,0.7107981926720927,0.13276425420682894,0.13086810740286892,0.13467781496020417,0.0659859500081686,0.06460148714978232,0.06739101478350307,122420,123280
trajectory,5,0.7140620762750863,0.1388129464679425,0.13669702714040446,0.14094941574959233,0.0690635074619553,0.0675151780831038,0.07063638239181265,102051,102699
trajectory,6,0.720657880096041,0.14437801680836987,0.1419734034326481,0.1468079340437848,0.06840957538039351,0.0666869822273464,0.07016291818140202,81626,82174
trajectory,7,0.7269058307901705,0.14695697625036752,0.14416096417221222,0.14978649698297267,0.07121622945999805,0.06919118622494963,0.07328202898465186,61222,61628
trajectory,8,0.7408454656674397,0.15615659757949923,0.15264735002595659,0.1597148303186831,0.07222303885540693,0.0697300795983721,0.0747770529304591,40818,41082
trajectory,9,0.7583246256454339,0.1512629723908361,0.14637490824818,0.15625050152301345,0.05619737615038183,0.0530780794753299,0.05944371068074832,20428,20522
last_round,0,0.6349789517632405,0.05675291580907576,0.05575290042427336,0.05776554546483213,0.016220719396256,0.015677057684963386,0.016778185702388017,204060,205440
last_round,1,0.6610430141271834,0.1078969858957121,0.10648172112680561,0.10932463743926296,0.0538205690707283,0.052792962629725285,0.05486228397837571,183703,184847
last_round,2,0.6498880447676132,0.10528283156340194,0.10379768709381529,0.10678201544169867,0.053912947563867664,0.05282205759718792,0.0550197195474883,163189,164411
last_round,3,0.6535012827299072,0.10617140537854879,0.10457870027542304,0.10778010979834182,0.05668959629393776,0.05549612785492278,0.05790109154463581,142901,143749
last_round,4,0.6574002903378026,0.105987583728149,0.10426851300536681,0.10772534354637861,0.0549665087404019,0.053696260676389634,0.0562578890920158,122420,123280
last_round,5,0.6697675372794297,0.11801942166171817,0.11604594164736447,0.12001463943729734,0.06146926536731634,0.06000319969680657,0.0629603149145992,102051,102699
last_round,6,0.6819864531204042,0.12658956704971455,0.12431565236654346,0.12889005638503517,0.062051307181535294,0.06040576455673008,0.06372805920418084,81626,82174
last_round,7,0.6922197454157926,0.1328117343438633,0.1301327685010179,0.13552555720935455,0.06257554473881938,0.06066963208167744,0.06452304854493783,61222,61628
last_round,8,0.7169033085246446,0.1448135626439316,0.14141271342721098,0.14826502031630107,0.06835219755990005,0.06592264342317425,0.070843369146406,40818,41082
last_round,9,0.743960847835847,0.14347953788917173,0.13869876620458851,0.1483620091842583,0.061728999412570984,0.05846684658770063,0.06511655216283604,20428,20522
