ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,1.0,1.0,0.9999819465364412,1.0,1.0,0.9999819465364412,1.0,204329,205171
trajectory,1,1.0,1.0,0.9999799173444862,1.0,1.0,0.9999799173444862,1.0,183683,184867
trajectory,2,1.0,1.0,0.9999774150944245,1.0,1.0,0.9999774150944245,1.0,163332,164268
trajectory,3,1.0,1.0,0.999974182850054,1.0,1.0,0.999974182850054,1.0,142883,143767
trajectory,4,1.0,1.0,0.9999698886265552,1.0,1.0,0.9999698886265552,1.0,122506,123194
trajectory,5,1.0,1.0,0.9999638291407514,1.0,1.0,0.9999638291407514,1.0,101983,102767
trajectory,6,1.0,1.0,0.9999547398103875,1.0,1.0,0.9999547398103875,1.0,81502,82298
trajectory,7,1.0,1.0,0.9999396757397744,1.0,1.0,0.9999396757397744,1.0,61149,61701
trajectory,8,1.0,1.0,0.9999093437479025,1.0,1.0,0.9999093437479025,1.0,40689,41211
trajectory,9,1.0,1.0,0.9998172179230268,1.0,1.0,0.9998172179230268,1.0,20180,20770
last_round,0,1.0,1.0,0.9999819465364412,1.0,1.0,0.9999819465364412,1.0,204329,205171
last_round,1,1.0,1.0,0.9999799173444862,1.0,1.0,0.9999799173444862,1.0,183683,184867
last_round,2,1.0,1.0,0.9999774150944245,1.0,1.0,0.9999774150944245,1.0,163332,164268
last_round,3,1.0,1.0,0.999974182850054,1.0,1.0,0.999974182850054,1.0,142883,143767
last_round,4,1.0,1.0,0.9999698886265552,1.0,1.0,0.9999698886265552,1.0,122506,123194
last_round,5,1.0,1.0,0.9999638291407514,1.0,1.0,0.9999638291407514,1.0,101983,102767
last_round,6,1.0,1.0,0.9999547398103875,1.0,1.0,0.9999547398103875,1.0,81502,82298
last_round,7,1.0,1.0,0.9999396757397744,1.0,1.0,0.9999396757397744,1.0,61149,61701
last_round,8,1.0,1.0,0.9999093437479025,1.0,1.0,0.9999093437479025,1.0,40689,41211
last_round,9,1.0,1.0,0.9998172179230268,1.0,1.0,0.9998172179230268,1.0,20180,20770
