ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,1.0,1.0,0.9999819743251366,1.0,1.0,0.9999819743251366,1.0,204644,204856
trajectory,1,1.0,1.0,0.9999799590226843,1.0,1.0,0.9999799590226843,1.0,184065,184485
trajectory,2,1.0,1.0,0.9999774666909421,1.0,1.0,0.9999774666909421,1.0,163706,163894
trajectory,3,1.0,1.0,0.9999742329829479,1.0,1.0,0.9999742329829479,1.0,143161,143489
trajectory,4,1.0,1.0,0.9999699978518716,1.0,1.0,0.9999699978518716,1.0,122952,122748
trajectory,5,1.0,1.0,0.9999639841730811,1.0,1.0,0.9999639841730811,1.0,102422,102328
trajectory,6,1.0,1.0,0.9999549938210108,1.0,1.0,0.9999549938210108,1.0,81962,81838
trajectory,7,1.0,1.0,0.9999398880700697,1.0,1.0,0.9999398880700697,1.0,61365,61485
trajectory,8,1.0,1.0,0.9999095371640585,1.0,1.0,0.9999095371640585,1.0,40776,41124
trajectory,9,1.0,1.0,0.9998196926783921,1.0,1.0,0.9998196926783921,1.0,20457,20493
last_round,0,1.0,1.0,0.9999819743251366,1.0,1.0,0.9999819743251366,1.0,204644,204856
last_round,1,1.0,1.0,0.9999799590226843,1.0,1.0,0.9999799590226843,1.0,184065,184485
last_round,2,1.0,1.0,0.9999774666909421,1.0,1.0,0.9999774666909421,1.0,163706,163894
last_round,3,1.0,1.0,0.9999742329829479,1.0,1.0,0.9999742329829479,1.0,143161,143489
last_round,4,1.0,1.0,0.9999699978518716,1.0,1.0,0.9999699978518716,1.0,122952,122748
last_round,5,1.0,1.0,0.9999639841730811,1.0,1.0,0.9999639841730811,1.0,102422,102328
last_round,6,1.0,1.0,0.9999549938210108,1.0,1.0,0.9999549938210108,1.0,81962,81838
last_round,7,1.0,1.0,0.9999398880700697,1.0,1.0,0.9999398880700697,1.0,61365,61485
last_round,8,1.0,1.0,0.9999095371640585,1.0,1.0,0.9999095371640585,1.0,40776,41124
last_round,9,1.0,1.0,0.9998196926783921,1.0,1.0,0.9998196926783921,1.0,20457,20493
