dataset,method,family,ratio_mean,ratio_ci_lo,ratio_ci_hi,censored,n_seeds
cifar100,m0_fedavg,F1,3.754104364901751,2.553645248688477,6.889019289826348,False,5
cifar100,m1_glfc,F1,inf,inf,inf,True,5
cifar100,m2_target,F1,inf,inf,inf,True,5
cifar100,m3_fot,F1,2.798172743289112,0.7373726037093028,18.709778945144045,False,5
cifar100,m4_proto,F2,3.70813747077084,1.8052408598132135,34.71244431065113,False,5
cifar100,m5_hybrid_replay,F1,inf,inf,inf,True,5
cifar100,m8_analytic,F5,inf,inf,inf,True,5
cub200,m0_fedavg,F1,1.5315967968967332,1.047230301288061,2.10036625141945,False,5
cub200,m1_glfc,F1,inf,inf,inf,True,5
cub200,m2_target,F1,inf,inf,inf,True,5
cub200,m3_fot,F1,0.0,0.0,nan,True,5
cub200,m4_proto,F2,134.48584506001288,47.152238856908625,2034.3227261316822,False,5
cub200,m5_hybrid_replay,F1,inf,inf,inf,True,5
cub200,m8_analytic,F5,inf,inf,inf,True,5
imagenet_r,m0_fedavg,F1,109.34261541719228,3.7033956728712707,161.9124061013652,False,5
imagenet_r,m1_glfc,F1,inf,inf,inf,True,5
imagenet_r,m2_target,F1,inf,inf,inf,True,5
imagenet_r,m3_fot,F1,inf,inf,inf,True,5
imagenet_r,m4_proto,F2,inf,inf,inf,True,5
imagenet_r,m5_hybrid_replay,F1,inf,inf,inf,True,5
imagenet_r,m8_analytic,F5,inf,inf,inf,True,5
