dataset,method,family,attack,fpr,tpr,seed
cifar100,m0_fedavg,F1,A1_LiRA,0.0,0.0004155158507075991,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0001,0.0020726908317649645,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00010473708979594497,0.0021802361107716374,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00010969857978923841,0.0021802361107716374,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00011489510001873086,0.0022388971720480044,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00012033778407775893,0.0022437855938210348,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00012603829296797275,0.002253562437367096,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0001320088400831418,0.00228778138977831,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00013826221737646565,0.00228778138977831,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0001448118227674533,0.0023171119204164936,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00015167168884709225,0.0025859751179331753,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00015885651294280528,0.002590863539706206,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0001663816886076129,0.002830396206584704,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00017426333860096508,0.002830396206584704,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00018251834943190426,0.002981937281548652,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00019116440753857018,0.0030601520299171413,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00020022003718155845,0.0032165815266541197,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00020970464013232327,0.0032508004790653337,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0002196385372416547,0.003377899445164129,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0002300430119772917,0.003504998411262924,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00024094035602395243,0.00355877105076626,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0002523539170434766,0.0035978784249505046,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00026430814869741055,0.0037640847652335445,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00027682866303920667,0.003827634248282942,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0002899422853882875,0.003871630044240217,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0003036771118035457,0.003998729010339012,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0003180625692794119,0.004057390071615379,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00033312947879346737,0.004130716398210838,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0003489101213406774,0.004296922738493877,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00036543830709572547,0.004409356439273581,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0003827494478516311,0.004482682765869039,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0004008806328898465,0.00465866594969814,0
cifar100,m0_fedavg,F1,A1_LiRA,0.000419870708444391,0.004736880698066629,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00043976036093027214,0.004863979664165424,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00046059220411451035,0.0049226407254417915,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00048241087041653687,0.005030186004448464,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0005052631065335679,0.005162173392320289,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0005291978735958442,0.005240388140688779,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0005542664520663107,0.005313714467284237,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0005805225516094895,0.005396817637425757,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0006080224261649427,0.005543470290616675,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0006368249944718586,0.0056363503043042554,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0006669919663030121,0.005743895583310928,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0006985879746785249,0.00592965561068609,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0007316807143427193,0.006022535624373671,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0007663410868007462,0.006262068291252169,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0008026433522257174,0.006423386209762179,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0008406652885618325,0.00660425781536431,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0008804883581643465,0.006716691516144013,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0009221978823334322,0.007039327353164031,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0009658832241158709,0.00720064527167404,0
cifar100,m0_fedavg,F1,A1_LiRA,0.001011637979766207,0.0073033021289076825,0
cifar100,m0_fedavg,F1,A1_LiRA,0.001059560179277616,0.007405958986141325,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0011097524964120721,0.007523281108694058,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0011623224686798518,0.007738371666707404,0
cifar100,m0_fedavg,F1,A1_LiRA,0.001217382727739662,0.00788502431989832,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0012750512407130128,0.008095226456138636,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0013354515629298987,0.008354312810109257,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0013987131026472386,0.008496077041527142,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0014649713983072847,0.008623176007625938,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0015343684089300133,0.008892039205142619,0
