method,dataset,n_tasks_requested,n_tasks_actual,seed,final_avg_acc,bwt,avg_incremental_acc,n_ledger_records
M0,camelyon17,5,5,0,0.9339326950279799,-0.044587624057214365,0.9478194369906239,5
M0,camelyon17,5,5,1,0.9339326950279799,-0.044587624057214365,0.9478194369906239,5
M0,camelyon17,5,5,2,0.9339326950279799,-0.044587624057214365,0.9478194369906239,5
M0,cifar100,10,10,0,0.750025,-0.2365,0.8293849503968256,100
M0,cifar100,10,10,1,0.743075,-0.24172222222222217,0.8331640079365078,100
M0,cifar100,10,10,2,0.741325,-0.24672222222222218,0.8204499702380954,100
M0,cifar100,20,20,0,0.69855,-0.2868947368421053,0.7982267200042819,200
M0,cifar100,20,20,1,0.7008,-0.28294736842105267,0.8058865529090579,200
M0,cifar100,20,20,2,0.6971499999999999,-0.28726315789473683,0.7862491743034015,200
M0,cub200,10,10,0,0.6652733209390669,-0.33698550335834543,0.7934947706421959,100
M0,cub200,10,10,1,0.6512813192650361,-0.35163438165934724,0.7946476140736883,100
M0,cub200,10,10,2,0.6337844679298235,-0.3830984669988311,0.7906555093614779,100
M0,imagenet_r,10,10,0,0.6487144276447088,-0.18676739262849684,0.7290930352307669,100
M0,imagenet_r,10,10,1,0.6445344724598953,-0.18597700904711034,0.730410382029372,100
M0,imagenet_r,10,10,2,0.652333201591931,-0.17887648525147426,0.7338588427743572,100
M0,imagenet_r,20,20,0,0.6187401729592319,-0.23116963778509966,0.7110567186197776,200
M0,imagenet_r,20,20,1,0.6235206866676252,-0.21587792942858913,0.7152558054605601,200
M0,imagenet_r,20,20,2,0.611414475468216,-0.22677015909525822,0.7075857999055171,200
M1,camelyon17,5,5,0,0.8429959065894529,-0.023477766607072403,0.9004642248973687,15
M1,camelyon17,5,5,1,0.8500826959045649,-0.018777313388535,0.9022872679398853,15
M1,camelyon17,5,5,2,0.8435290970617861,-0.023400453154124312,0.9002571109967578,15
M1,cifar100,10,10,0,0.811125,0.12808333333333333,0.82874126984127,300
M1,cifar100,10,10,1,0.80955,0.10180555555555557,0.8502492559523811,300
M1,cifar100,10,10,2,0.8177749999999999,0.10230555555555558,0.8415573115079364,300
M1,cifar100,20,20,0,0.8182750000000001,0.20165789473684212,0.8387938624486109,600
M1,cifar100,20,20,1,0.8039,0.20749999999999996,0.8369670700397384,600
M1,cifar100,20,20,2,0.7909999999999999,0.21376315789473682,0.8126402221122317,600
M1,cub200,10,10,0,0.7342913682787262,0.28778273906134444,0.7902993972971762,300
M1,cub200,10,10,1,0.7435159813603109,0.2896764738759089,0.7929848529135788,300
M1,cub200,10,10,2,0.7047010391003334,0.26596033470921276,0.7885396914991876,300
M1,imagenet_r,10,10,0,0.5559839920624328,0.07687864369052863,0.6455326274832562,300
M1,imagenet_r,10,10,1,0.5602501110405522,0.07508104694492834,0.6506348338944807,300
M1,imagenet_r,10,10,2,0.554499912162977,0.03669537312823535,0.6670253583834962,300
M1,imagenet_r,20,20,0,0.5525130413265466,0.05837446824157406,0.6442081574322909,600
M1,imagenet_r,20,20,1,0.5640164014567508,0.09763615657873882,0.6608645679756903,600
M1,imagenet_r,20,20,2,0.5749874120201947,0.07765583491686634,0.657329552873658,600
M2,camelyon17,5,5,0,0.9336909327766062,-0.044917744236032175,0.9477754604214617,10
M2,camelyon17,5,5,1,0.9340051661274066,-0.044561558448403066,0.9478344613259557,10
M2,camelyon17,5,5,2,0.933831127137517,-0.0447425012848936,0.9478034992936438,10
M2,cifar100,10,10,0,0.8553000000000001,-0.05516666666666666,0.9051450099206348,200
M2,cifar100,10,10,1,0.8524750000000001,-0.04625000000000003,0.9001922619047619,200
M2,cifar100,10,10,2,0.8587499999999999,-0.047416666666666676,0.8998384623015874,200
M2,cifar100,20,20,0,0.8608499999999999,-0.05581578947368422,0.9095516699589755,400
M2,cifar100,20,20,1,0.857725,-0.0393421052631579,0.9076923752533155,400
M2,cifar100,20,20,2,0.858475,-0.04947368421052632,0.9040322604635648,400
M2,cub200,10,10,0,0.7230335289051999,0.378274780708226,0.7896636782489566,200
