dataset,method,seed,task_k,task_T,elapsed,acc
cub200,m0_fedavg,0,0,0,0,0.85
cub200,m0_fedavg,0,0,1,1,0.702
cub200,m0_fedavg,0,0,2,2,0.538
cub200,m0_fedavg,0,0,3,3,0.49
cub200,m0_fedavg,0,0,4,4,0.446
cub200,m0_fedavg,0,0,5,5,0.444
cub200,m0_fedavg,0,0,6,6,0.448
cub200,m0_fedavg,0,0,7,7,0.494
cub200,m0_fedavg,0,0,8,8,0.478
cub200,m0_fedavg,0,0,9,9,0.426
cub200,m0_fedavg,0,1,1,0,0.8393574297188755
cub200,m0_fedavg,0,1,2,1,0.6526104417670683
cub200,m0_fedavg,0,1,3,2,0.5903614457831325
cub200,m0_fedavg,0,1,4,3,0.5
cub200,m0_fedavg,0,1,5,4,0.4397590361445783
cub200,m0_fedavg,0,1,6,5,0.19477911646586346
cub200,m0_fedavg,0,1,7,6,0.28714859437751006
cub200,m0_fedavg,0,1,8,7,0.2891566265060241
cub200,m0_fedavg,0,1,9,8,0.3293172690763052
cub200,m0_fedavg,0,2,2,0,0.814
cub200,m0_fedavg,0,2,3,1,0.656
cub200,m0_fedavg,0,2,4,2,0.64
cub200,m0_fedavg,0,2,5,3,0.466
cub200,m0_fedavg,0,2,6,4,0.366
cub200,m0_fedavg,0,2,7,5,0.322
cub200,m0_fedavg,0,2,8,6,0.356
cub200,m0_fedavg,0,2,9,7,0.274
cub200,m0_fedavg,0,3,3,0,0.888
cub200,m0_fedavg,0,3,4,1,0.376
cub200,m0_fedavg,0,3,5,2,0.236
cub200,m0_fedavg,0,3,6,3,0.244
cub200,m0_fedavg,0,3,7,4,0.28
cub200,m0_fedavg,0,3,8,5,0.3
cub200,m0_fedavg,0,3,9,6,0.198
cub200,m0_fedavg,0,4,4,0,0.892
cub200,m0_fedavg,0,4,5,1,0.488
cub200,m0_fedavg,0,4,6,2,0.434
cub200,m0_fedavg,0,4,7,3,0.454
cub200,m0_fedavg,0,4,8,4,0.462
cub200,m0_fedavg,0,4,9,5,0.386
cub200,m0_fedavg,0,5,5,0,0.9258517034068137
cub200,m0_fedavg,0,5,6,1,0.4408817635270541
cub200,m0_fedavg,0,5,7,2,0.46092184368737477
cub200,m0_fedavg,0,5,8,3,0.4348697394789579
cub200,m0_fedavg,0,5,9,4,0.3787575150300601
cub200,m0_fedavg,0,6,6,0,0.9458917835671342
cub200,m0_fedavg,0,6,7,1,0.7334669338677354
cub200,m0_fedavg,0,6,8,2,0.6092184368737475
cub200,m0_fedavg,0,6,9,3,0.5871743486973948
cub200,m0_fedavg,0,7,7,0,0.826
cub200,m0_fedavg,0,7,8,1,0.566
cub200,m0_fedavg,0,7,9,2,0.482
cub200,m0_fedavg,0,8,8,0,0.916
cub200,m0_fedavg,0,8,9,1,0.6
cub200,m0_fedavg,0,9,9,0,0.9076305220883534
cub200,m0_fedavg,1,0,0,0,0.9458917835671342
cub200,m0_fedavg,1,0,1,1,0.7274549098196392
cub200,m0_fedavg,1,0,2,2,0.5070140280561122
cub200,m0_fedavg,1,0,3,3,0.501002004008016
cub200,m0_fedavg,1,0,4,4,0.4649298597194389
cub200,m0_fedavg,1,0,5,5,0.3527054108216433
cub200,m0_fedavg,1,0,6,6,0.2725450901803607
cub200,m0_fedavg,1,0,7,7,0.22845691382765532
cub200,m0_fedavg,1,0,8,8,0.27655310621242485
cub200,m0_fedavg,1,0,9,9,0.24048096192384769
cub200,m0_fedavg,1,1,1,0,0.938
cub200,m0_fedavg,1,1,2,1,0.734
cub200,m0_fedavg,1,1,3,2,0.746
cub200,m0_fedavg,1,1,4,3,0.57
cub200,m0_fedavg,1,1,5,4,0.522
cub200,m0_fedavg,1,1,6,5,0.418
cub200,m0_fedavg,1,1,7,6,0.45
cub200,m0_fedavg,1,1,8,7,0.428
cub200,m0_fedavg,1,1,9,8,0.424
cub200,m0_fedavg,1,2,2,0,0.8514056224899599
cub200,m0_fedavg,1,2,3,1,0.6004016064257028
cub200,m0_fedavg,1,2,4,2,0.38353413654618473
cub200,m0_fedavg,1,2,5,3,0.3514056224899598
cub200,m0_fedavg,1,2,6,4,0.3614457831325301
cub200,m0_fedavg,1,2,7,5,0.3373493975903614
cub200,m0_fedavg,1,2,8,6,0.37751004016064255
cub200,m0_fedavg,1,2,9,7,0.3232931726907631
cub200,m0_fedavg,1,3,3,0,0.9138276553106213
cub200,m0_fedavg,1,3,4,1,0.593186372745491
cub200,m0_fedavg,1,3,5,2,0.5190380761523046
cub200,m0_fedavg,1,3,6,3,0.40681362725450904
cub200,m0_fedavg,1,3,7,4,0.3627254509018036
cub200,m0_fedavg,1,3,8,5,0.3026052104208417
cub200,m0_fedavg,1,3,9,6,0.28256513026052105
cub200,m0_fedavg,1,4,4,0,0.892
cub200,m0_fedavg,1,4,5,1,0.75
cub200,m0_fedavg,1,4,6,2,0.572
cub200,m0_fedavg,1,4,7,3,0.472
cub200,m0_fedavg,1,4,8,4,0.462
cub200,m0_fedavg,1,4,9,5,0.416
cub200,m0_fedavg,1,5,5,0,0.95
