dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cifar100,m4_proto,F2,aggregate,trajectory,0,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,trajectory,1,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,trajectory,2,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,trajectory,3,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,trajectory,4,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,trajectory,5,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,trajectory,6,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,last_round,0,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,last_round,1,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,last_round,2,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,last_round,3,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,last_round,4,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,last_round,5,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m4_proto,F2,aggregate,last_round,6,0.681064432610418,0.6761605511872371,0.6860730233302733,0.057633891587206186,0.051352535845206985,0.06616781886437365,0.01028248404022027,0.008293991573084745,0.013578975229473031,3,"n/a (per-seed, see a1_lira_pertask_*)"
