dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cifar100,m5_hybrid_replay,F1,full,trajectory,0,0.5643009690257502,0.5556010062139344,0.5735179683448031,0.03009465253620257,0.02513216097666646,0.03577523929996184,0.007863441469136801,0.004580169437710367,0.012978134631819738,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,1,0.5897800143527887,0.5802430416149207,0.5998953106064225,0.03938192702855756,0.033772755310284786,0.04603041658395044,0.010258069735458297,0.007112112260710381,0.01470989764079551,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,2,0.6028241641133892,0.5945165074969853,0.6117968025892329,0.046080414205970394,0.03968131885033623,0.05458498720018815,0.012960116495429172,0.008352099406218068,0.019299012679452315,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,3,0.6130048243172138,0.6042873511492768,0.6223006948373551,0.05161394709165925,0.044362123359508565,0.06034085451189001,0.016357899846290755,0.011601835479671634,0.0218977409510649,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,4,0.6194796774663219,0.6102547297227328,0.6292280288915468,0.05729309926381361,0.04964828103921269,0.06625097907324101,0.02056467923307176,0.01547238373910758,0.026716050535398383,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,5,0.6235087410669939,0.6140346742643443,0.6333340576944082,0.061030660949761346,0.05253650096134954,0.07049211657461327,0.022813688212927757,0.01745338964938597,0.028142292745479983,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,6,0.6270782988852545,0.6175680038497081,0.6371613749656954,0.06352236874039317,0.05457209999952318,0.0738289243108454,0.023930102742496562,0.01870455598603064,0.030913858833746706,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,0,0.5643009690257502,0.5556010062139344,0.5735179683448031,0.03009465253620257,0.02513216097666646,0.03577523929996184,0.007863441469136801,0.004580169437710367,0.012978134631819738,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,1,0.5848153148111997,0.576370714050722,0.5937129047885542,0.03854057115120136,0.03268789941414568,0.04591339318084303,0.010258069735458297,0.0069030119830531264,0.014829656991645929,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,2,0.5940739545851346,0.5856543645681608,0.602555942622857,0.045287598090769356,0.03890023714750739,0.05235452379194572,0.014254510152900251,0.01001534167151176,0.019625704515190776,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,3,0.6049957482264469,0.5965850761314457,0.6136884235818272,0.05150068764663053,0.044868600263689135,0.059273681397057784,0.018072971442439932,0.013534977472096402,0.022988120809603198,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,4,0.6123227317924846,0.6036389576626724,0.6213942103326769,0.05671062211795162,0.04898702833367662,0.06546291258294576,0.02077501820241081,0.015924809336509773,0.025933567504216964,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,5,0.6135032055352488,0.6044327631163418,0.6231577034206067,0.05709894021519295,0.049372962213465925,0.06559276850604967,0.0228945878165197,0.017733451713353988,0.029490371859952732,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,6,0.6161927795183594,0.6073048974287499,0.6254450448266115,0.06154841841274978,0.052588497997170115,0.0718564678382367,0.024755278699134374,0.018427189662768968,0.03172524257295597,3,"n/a (per-seed, see a1_lira_pertask_*)"
