dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cub200,m0_fedavg,F1,full,trajectory,0,0.6570406826594243,0.6505647918173428,0.6635234333983449,0.05790390074035057,0.05350481802675816,0.06251657486585895,0.01590436894624411,0.013713665004588862,0.018198535964855437,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,trajectory,1,0.6568786215511131,0.6508297803493512,0.6629181653372153,0.03432534457027478,0.030712143673427315,0.03820325440874111,0.003857821476994508,0.0031020503454518315,0.00470004428860966,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,trajectory,2,0.6498965642968659,0.6440092126988893,0.6558208601035846,0.029748144246432368,0.026249676492467115,0.033697671326540946,0.003748085720695676,0.0029251614810503466,0.004507686735602883,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,trajectory,3,0.6415432261425181,0.6353679213888227,0.648179653354776,0.027989933573288855,0.024743181475442688,0.03157459496120562,0.00367980569455418,0.002866554411551285,0.004463522487832402,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,trajectory,4,0.6338049672373726,0.6275483707975894,0.6407121763462262,0.02667554307006506,0.02378154145513269,0.030310257510961128,0.00366029711565661,0.0028560911046175324,0.004435036686683225,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,trajectory,5,0.6274686796283544,0.620779011074515,0.634730116412009,0.025939094216681786,0.023044433753950124,0.02922208015301977,0.0036310342473102547,0.0028142172599939096,0.004434116216473312,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,trajectory,6,0.6220423167579014,0.6151304349660127,0.62936294516101,0.025351398277392485,0.02261122583340173,0.028597688294547598,0.0036359113920346473,0.0028238882752538203,0.004437270829337259,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,last_round,0,0.6570406826594243,0.6505647918173428,0.6635234333983449,0.05790390074035057,0.05350481802675816,0.06251657486585895,0.01590436894624411,0.013713665004588862,0.018198535964855437,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,last_round,1,0.5737470676888318,0.5670706424338126,0.5808781026132589,0.02566109696739141,0.022959345079771935,0.02886464852936167,0.003623718530223666,0.002857294707546298,0.004306866951006615,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,last_round,2,0.5689746367014723,0.5629865939938068,0.5751395861070275,0.025146558198967998,0.022521770191151428,0.028323053899665145,0.003613964240774881,0.0028086230552302033,0.004379815987231534,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,last_round,3,0.5660084448560235,0.5602259910789102,0.5719312753460011,0.02504657673211795,0.022574046548097103,0.02798510974816227,0.003545684214633385,0.002811184858575568,0.0043378659239607705,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,last_round,4,0.5637314021032807,0.5585181583060215,0.5691120792384943,0.023995552044011353,0.02182969544184004,0.026643033404150005,0.0036017713789638995,0.002822127969364976,0.0043756964696105355,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,last_round,5,0.5624268083130459,0.5567461741471471,0.5686595616141967,0.02376144909724051,0.02143637644096421,0.026543308705895316,0.003599332806601703,0.0027462635172632757,0.004377947495682869,5,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m0_fedavg,F1,full,last_round,6,0.5615982144985127,0.5566462752746622,0.5668262567602897,0.023763887669602708,0.021466034560722894,0.02659008807676108,0.003626157102585862,0.0028111927124895102,0.004416387398031917,5,"n/a (per-seed, see a1_lira_pertask_*)"
