dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cub200,m1_glfc,F1,full,trajectory,0,0.5910629491578449,0.5815008452824908,0.6004492830025314,0.03370420977291951,0.026466750387620638,0.04009167037768889,0.0008295920359164552,0.000552314543221122,0.0012467028254449538,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,1,0.5974243188886,0.5878186590510579,0.6070225361720334,0.028596525473355457,0.02082674779713684,0.03522775702532841,0.0008295920359164552,0.000507309049879723,0.0011967115365129884,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,2,0.5991068898368878,0.5887210983388806,0.6097508314056121,0.026904808380506212,0.017924582943756998,0.034289030910938045,0.0008295920359164552,0.0004987696880568909,0.0012158276772113446,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,3,0.6007011376836157,0.5889027973520685,0.6128031569303378,0.02433469972021602,0.014899588805136359,0.03219724617060358,0.0008295920359164552,0.0005176965258874186,0.0012670102017678724,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,4,0.601895361409671,0.5885901432880436,0.6158020819795592,0.022350185438219792,0.014295881849607147,0.03171464214399969,0.0008946580779491184,0.000584739301068058,0.001336470806180822,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,5,0.6031932060121057,0.5882963987637938,0.6190021765171234,0.02129286225518902,0.01347157328278453,0.030617101107982256,0.0010247901620144446,0.0006223825162059639,0.0014014012880121335,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,6,0.6044214949161957,0.5879941044222413,0.6221659894756175,0.019828876309454097,0.01285783283166548,0.029424366841003496,0.0011386557355716053,0.0006331662006064159,0.0014931532339688483,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,0,0.5910629491578449,0.5815008452824908,0.6004492830025314,0.03370420977291951,0.026466750387620638,0.04009167037768889,0.0008295920359164552,0.000552314543221122,0.0012467028254449538,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,1,0.5884188496078412,0.5806264067939153,0.5965864458884397,0.0234400416422669,0.01667739933688975,0.029704967316099593,0.0008621250569327868,0.0005320096708133835,0.0012554257428377532,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,2,0.5906930044918158,0.577812508997396,0.6040843219299726,0.019454746567766284,0.012205579722539533,0.02867053570834481,0.0009759906304899473,0.000603331039838527,0.0013258067884290613,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,3,0.5936739345511762,0.5762997305229618,0.6118996658802,0.016656906760361766,0.01014029306065124,0.02615132676104937,0.0011711887565879367,0.0006497187610785207,0.0015387001356318567,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,4,0.596025946542652,0.5752680058934495,0.6186883399235471,0.016136378424100463,0.010011681654839046,0.02469686319209099,0.0012037217776042683,0.0006679747922397164,0.0016412641364924802,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,5,0.5984966609119113,0.5756738301412726,0.6244395583673977,0.015957446808510637,0.010145468239106878,0.02358071011922858,0.0012850543301450973,0.0006879181551641136,0.0017090309752828949,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,6,0.6001473791221866,0.5758234260270173,0.6274813510732754,0.015306786388184007,0.010348419129036888,0.022981111339791832,0.0013501203721777604,0.0007223896217737389,0.001741611584277124,3,"n/a (per-seed, see a1_lira_pertask_*)"
