dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cub200,m2_target,F1,full,trajectory,0,0.6376725008288842,0.6270622419003357,0.64803964628468,0.05031917665450756,0.04110862915932795,0.05929482737941523,0.012213392391870767,0.008326709446883624,0.016325394312297313,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,1,0.778412539489387,0.7669132307937515,0.7907340469145083,0.12286672746221991,0.10026489906042668,0.14193559185854898,0.02457334549244398,0.015345654914636768,0.03961496462457985,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,2,0.816164331288228,0.8052285050501047,0.8263694849676891,0.1613470557582074,0.14116893855328191,0.18360605116561599,0.038464043772798336,0.029073424214977356,0.061629022837148065,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,3,0.8335652948104052,0.8219552140804222,0.844750522145303,0.18803738926524233,0.16669916786874933,0.20948090790361104,0.05220818134445023,0.03569591466749381,0.06813380521295331,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,4,0.8445440077256875,0.8327496293707465,0.8565990490859241,0.20409392912975508,0.18199049728772929,0.22803481346313012,0.054015763418447105,0.041741040073978435,0.07424795822477602,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,5,0.8526154430661934,0.8405425330076285,0.8651717834245389,0.21865229286086504,0.19182403069133658,0.24724860416972422,0.06165320479416363,0.0475606591690353,0.0798984058588554,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,6,0.8601967370494236,0.8480417533988509,0.8722763083808796,0.2314844971339239,0.2022084023971944,0.2642489525088299,0.06627800937988536,0.051565782637113665,0.08561417689880581,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,0,0.6376725008288842,0.6270622419003357,0.64803964628468,0.05031917665450756,0.04110862915932795,0.05929482737941523,0.012213392391870767,0.008326709446883624,0.016325394312297313,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,1,0.7653389172658063,0.7538037440431777,0.7762972815177356,0.11477331943720688,0.09411354171126567,0.13689717278991806,0.023352006253256903,0.014569058849472684,0.04284518164058128,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,2,0.788013865754342,0.7765777892820664,0.7993073298303663,0.14818916102136528,0.12943376245997015,0.1663713812899956,0.03351354872329338,0.026990063290555595,0.044701462284331646,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,3,0.80821862245024,0.7964590746332587,0.8198463106323038,0.1757588587806149,0.15112326015903207,0.19790781533722207,0.048071912454403336,0.038033741044763175,0.06195946773339858,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,4,0.8234516736585276,0.8100385714789962,0.8374136826642892,0.19103374153204794,0.16300177131702703,0.21847166800518186,0.058298593017196455,0.04325505353666096,0.07247744226943487,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,5,0.8391203749923601,0.825418391178607,0.853655743216309,0.2038333767587285,0.17353281790372385,0.23867726147916776,0.058656852527358,0.04457897390253139,0.07820574167602072,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,6,0.8508053516336826,0.83636606012612,0.8647513014582225,0.22620831162063576,0.19932307047232803,0.25561982939337663,0.06613144867118291,0.04776874971429753,0.08436945581970158,3,"n/a (per-seed, see a1_lira_pertask_*)"
