dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cub200,m5_hybrid_replay,F1,full,trajectory,0,0.6599645976317421,0.6503219721298708,0.6694922457190343,0.05521132272371511,0.04897038713839307,0.06098420165083674,0.014186016175319593,0.010476823611721676,0.01847230853588945,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,trajectory,1,0.717979556535713,0.70923403651876,0.726422252635885,0.08738259848682495,0.07561732479022089,0.09877527750976149,0.02250195669188625,0.014074582124300423,0.029828321631720254,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,trajectory,2,0.7660658262387212,0.7564851298312398,0.7756965453933249,0.1276904513435951,0.1165486060555764,0.14017916114346596,0.042003652491521,0.03052795561503395,0.052377213620809215,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,trajectory,3,0.8000617769918992,0.7897230008482735,0.8102964503627744,0.16320440907905034,0.14541586854249475,0.18293318686973653,0.06797873728150274,0.0529646754752959,0.08311525347209645,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,trajectory,4,0.8267380525397703,0.815695197597016,0.8376087207786699,0.2076376206626663,0.18390821036617375,0.2335111796030068,0.08612705452648056,0.06965160958560934,0.10469768219450126,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,trajectory,5,0.8471129925284608,0.8361827876825473,0.8575722971453813,0.2452061048786851,0.2240304364599122,0.2683277711265273,0.10838442473258544,0.08926261179050117,0.12866883944541405,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,trajectory,6,0.8622610348682545,0.8512130768788837,0.8724403625414834,0.27639903469866944,0.25373993581598675,0.3000708512240113,0.13044612575006523,0.10812739867225274,0.15034746947677127,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,last_round,0,0.6599645976317421,0.6503219721298708,0.6694922457190343,0.05521132272371511,0.04897038713839307,0.06098420165083674,0.014186016175319593,0.010476823611721676,0.01847230853588945,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,last_round,1,0.7167142989690847,0.7085702872751247,0.7244635545806634,0.09093725541351422,0.08093956725298307,0.10061767536506411,0.021670362640229587,0.015045171370303907,0.02899923357000589,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,last_round,2,0.7530663014643301,0.740035855879426,0.7644695927167873,0.1266794938690321,0.11661920357176739,0.13941261244577308,0.04303091573180277,0.03182668878554843,0.055585426649380244,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,last_round,3,0.7909028573124809,0.7785747100121281,0.8021645196464315,0.16822658492042786,0.15310575273367205,0.1848630087616806,0.06985390033915993,0.05512646656016887,0.08772672699077627,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,last_round,4,0.8279940279926827,0.8148135495565956,0.8399305210604777,0.22769371249673884,0.20861571958198627,0.24738589101744932,0.09366031828854683,0.07284734275987151,0.11509131050865153,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,last_round,5,0.8534410121485633,0.842242845781359,0.8636027318477094,0.2665666579702583,0.2437867431427643,0.2890906503116847,0.12964714322984608,0.11268750467486185,0.14632138912346596,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m5_hybrid_replay,F1,full,last_round,6,0.8705750326106854,0.8592805484615539,0.8805360544020804,0.2980530915731803,0.2755278039676212,0.3206070096260076,0.1493445082181059,0.1242455509816072,0.1740700853498854,3,"n/a (per-seed, see a1_lira_pertask_*)"
