dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
imagenet_r,m0_fedavg,F1,full,trajectory,0,0.6780628969550911,0.6722111772787789,0.6844105863051242,0.07401433560366674,0.0689063937991534,0.07979759470969085,0.02227321715286993,0.019064357364801922,0.025989091782888316,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,trajectory,1,0.6986701861362127,0.6922526736197829,0.7055880185215011,0.08030479653755826,0.07358276207505222,0.08798428287049716,0.017981822669609057,0.014432760610515672,0.0217178147405159,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,trajectory,2,0.7052283357434718,0.6979784786559363,0.712857413324333,0.07685408525602958,0.06947182689241709,0.08521537074687233,0.016295568573111336,0.011574822326372096,0.021622294488607446,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,trajectory,3,0.7048573319407831,0.6973953659169521,0.7127475610491132,0.07262867462871862,0.0642892972290263,0.08133537951918511,0.014929458370296512,0.010099404159204161,0.021400263084602415,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,trajectory,4,0.7016707737941064,0.6937782807206758,0.7097586092400887,0.07148984215195349,0.06245695522209451,0.08016454974416987,0.014408919062247215,0.009721554294075042,0.021291937463168778,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,trajectory,5,0.6975356990964358,0.6894108454955451,0.7057455756426065,0.07176599680833645,0.06227472613360013,0.08114338037881057,0.014037454391714383,0.009175351267348517,0.02141510357773161,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,trajectory,6,0.6933083698293518,0.6847215583723543,0.7016238722287992,0.07197127991573617,0.06214255529054503,0.0811368820568488,0.014308721355064016,0.008934450513762132,0.02185244560934263,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,last_round,0,0.6780628969550911,0.6722111772787789,0.6844105863051242,0.07401433560366674,0.0689063937991534,0.07979759470969085,0.02227321715286993,0.019064357364801922,0.025989091782888316,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,last_round,1,0.5976607185107248,0.5881343569243163,0.6062113842663307,0.04564860908475504,0.04018374700734951,0.05050475919784243,0.009753391448003499,0.007412535435066039,0.012390141522206946,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,last_round,2,0.5989430391908911,0.5901396236906442,0.6073236913704778,0.045985859904054585,0.04031001074513056,0.05144008624375343,0.01073337390118551,0.00805101684635035,0.013804932768459302,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,last_round,3,0.5990148583447021,0.5901175038631205,0.6074513002674194,0.04552152906588854,0.04033479411855132,0.05171674938479731,0.009074002116371084,0.00650697267694359,0.012610695219388962,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,last_round,4,0.6013916753268514,0.5926797244571249,0.6098113104593658,0.047415510116302656,0.04145036765039645,0.054007810837724046,0.010119968425503004,0.007008414326975843,0.014959343551067006,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,last_round,5,0.6008679660414024,0.5923489654475464,0.6098747837704165,0.04603718068090452,0.04043357592547177,0.05205480427271066,0.009259734451637499,0.0064888513536114755,0.013067893996721749,5,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m0_fedavg,F1,full,last_round,6,0.6020403944678889,0.5928234667038302,0.6110541278896298,0.047039157752736496,0.04117715430685401,0.05333969746109018,0.010215278439652876,0.007186079185885642,0.014159734549417647,5,"n/a (per-seed, see a1_lira_pertask_*)"
