dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
imagenet_r,m1_glfc,F1,full,trajectory,0,0.6289089588440381,0.6194919180552796,0.6385476601227101,0.056682199743460684,0.04912790915655889,0.06466769545952727,0.015408595690788939,0.01137969582285321,0.020574312359383683,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,trajectory,1,0.6443712925018198,0.6346357004865847,0.6541980224053835,0.06346912598028868,0.05491900246506365,0.07509725765255112,0.017941515530370683,0.013259453714229107,0.02299706027286093,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,trajectory,2,0.6575135763540322,0.6473616151380648,0.6679627055502427,0.07158745879946095,0.06189889555958505,0.08392418854081694,0.020393252041760703,0.015231667289532097,0.026861960689824424,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,trajectory,3,0.6689530093930299,0.6579889192505326,0.6797052752560031,0.0798519216093783,0.06804262848300598,0.0927274037068263,0.022114338599425222,0.017183252365133378,0.029332946723895317,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,trajectory,4,0.6796558600182608,0.6683961707855091,0.690956767080017,0.08753186445631525,0.07465758238757522,0.10166176444395948,0.0249882284174122,0.019167156475301362,0.03293851030781382,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,trajectory,5,0.689925969437135,0.6779980275729355,0.7018131115787879,0.0953579372939973,0.08124074022329016,0.11068755825970715,0.028495348195294614,0.021565320512116987,0.03715778081036862,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,trajectory,6,0.6993550430540805,0.6870563119251542,0.7116416452760901,0.10423939339817175,0.08784426405269181,0.12144471494968424,0.03330140122424459,0.02550884497989432,0.04163271629051762,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,last_round,0,0.6289089588440381,0.6194919180552796,0.6385476601227101,0.056682199743460684,0.04912790915655889,0.06466769545952727,0.015408595690788939,0.01137969582285321,0.020574312359383683,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,last_round,1,0.6343803804420631,0.6246172983615158,0.6447899704555058,0.0588416762733605,0.0507791920501496,0.06822597926030677,0.015441069022065629,0.01163704875482843,0.01915167431625156,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,last_round,2,0.6571289452358715,0.6454658947661738,0.6684417707564064,0.07470489860202309,0.06336972984513485,0.0872624073204787,0.02099400867037945,0.015555698271455046,0.02827357758492637,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,last_round,3,0.6747503199675549,0.6616304207353672,0.6871047274125546,0.08788907110035883,0.07485971457833172,0.10114719488348344,0.026141031677734662,0.018304487354489866,0.03275430911166852,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,last_round,4,0.6898995057687846,0.6747152145688329,0.7037380799213008,0.09931968370975336,0.08322432261866479,0.11552513111337605,0.02916105148646674,0.022004393783695255,0.03774944981811069,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,last_round,5,0.7037964010235422,0.6886591074845017,0.7179735795872102,0.11159460293234182,0.09567915083868452,0.12901703253607347,0.03596421438893309,0.02722214152915862,0.046957408554532946,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m1_glfc,F1,full,last_round,6,0.7157129888723868,0.7007964018201116,0.7298980037422851,0.12138531231226356,0.10393757811560424,0.13843019642982549,0.045608793778109724,0.03287425494995852,0.05961134824963252,3,"n/a (per-seed, see a1_lira_pertask_*)"
