dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
imagenet_r,m2_target,F1,full,trajectory,0,0.66121530705688,0.6515134760090444,0.6705779688863444,0.06624912787395953,0.06022747512951991,0.07471798429038029,0.021466469796044198,0.015524477014073201,0.028067186073218474,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,1,0.7405221387006206,0.7285380981274981,0.7521817777433929,0.12037773198552676,0.10471713521688823,0.13926415051800176,0.04002855705732505,0.02928011188226096,0.05228519877292146,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,2,0.7707214267566672,0.7558225447522037,0.784771919685841,0.15367266473041163,0.1324414986020084,0.177429544739112,0.05807142509451412,0.03914356294850879,0.07669463796029843,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,3,0.7871433795141876,0.7715936840875619,0.8018691137475022,0.17087180152845158,0.14418773543468222,0.1971226194211395,0.06368548295500641,0.04088044947638166,0.0854903289793061,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,4,0.7976224265975181,0.7824517788204808,0.812260334641734,0.18403076373902744,0.15213214574717449,0.2176393838646373,0.06783923674774059,0.04267081697864488,0.09190188187635658,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,5,0.8057105957563708,0.7906333110364413,0.8204776002272471,0.1914296376823352,0.15866915164570009,0.22587765610866667,0.06954292482679171,0.04746732135552126,0.09595342194599625,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,6,0.8120425496628184,0.7970530154535991,0.8269057127426968,0.19918547484220603,0.1650117611831332,0.23403459277899816,0.07325858739919845,0.0504118727850641,0.10056152146270372,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,0,0.66121530705688,0.6515134760090444,0.6705779688863444,0.06624912787395953,0.06022747512951991,0.07471798429038029,0.021466469796044198,0.015524477014073201,0.028067186073218474,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,1,0.738570297469727,0.7236606423500003,0.7527463515131245,0.11831708068991255,0.10083228488187393,0.1386555723253322,0.037075497720303094,0.026444249949950465,0.04956524382725735,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,2,0.7682072674214863,0.7502697973474065,0.7848859240528635,0.14432671869675975,0.11210811985814731,0.17287343753158957,0.0515162823903555,0.030691440499987795,0.07372237539957364,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,3,0.7874287849997698,0.771678949897566,0.8023011864665035,0.16632863331764858,0.1366533032710698,0.19549570619996356,0.061397673248852036,0.04085818305272335,0.08363364018819558,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,4,0.7992402992300285,0.7831486251777661,0.8141232043730697,0.18213236845094188,0.14641216490616102,0.21771054640531165,0.07043533286819945,0.047020784521839804,0.09822578910226815,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,5,0.8090136676537909,0.7931159300506953,0.8247620663755939,0.19360386818321948,0.1621104598354509,0.22787801004253636,0.07291784978338824,0.04719765172955447,0.10106324310632281,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,6,0.8156488908323394,0.7999439243208306,0.8312315395795147,0.2032905518326816,0.1738713267031722,0.2327754779030497,0.07926205967775957,0.05335795395473269,0.105240126759025,3,"n/a (per-seed, see a1_lira_pertask_*)"
