dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
imagenet_r,m3_fot,F1,full,trajectory,0,0.6908409057210475,0.6808008767515067,0.7016953237751061,0.07861465929297379,0.06672683193368698,0.09029649026999649,0.02491068369793961,0.01696978527187902,0.03438915250246352,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,trajectory,1,0.7180019728991228,0.7060754211048825,0.7305309243847758,0.08590678477626063,0.07531702991133674,0.09904097989149338,0.014894207083312941,0.009961131759584607,0.02119923831045524,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,trajectory,2,0.7290313513373323,0.7172187418145776,0.7426722523283776,0.08823961239171928,0.07709635089970891,0.1030438331084111,0.011957780714204147,0.005740747423551563,0.019741588326274227,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,trajectory,3,0.7312038396103706,0.7197586028435574,0.7443744182886304,0.08735868448098665,0.07436291445039905,0.1037594016751514,0.009641266578573875,0.003965253607059968,0.019408258128824043,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,trajectory,4,0.7305608979815822,0.7189259455609569,0.7440867770125714,0.08541738038140916,0.0716061306145569,0.10382768268859979,0.008841906066983148,0.003483859827510708,0.019512767569708114,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,trajectory,5,0.7297003835349846,0.7182141356232504,0.7434584871041456,0.08682033964665002,0.07150774975018412,0.10647286737053016,0.00825462079316139,0.0031320122717000244,0.018387043660814804,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,trajectory,6,0.7286137544383087,0.7171811983069266,0.7425928458300449,0.0898709603745575,0.07316192604614216,0.11091686956136347,0.007863097277280217,0.0029404672309086013,0.0186477672691549,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,last_round,0,0.6908409057210475,0.6808008767515067,0.7016953237751061,0.07861465929297379,0.06672683193368698,0.09029649026999649,0.02491068369793961,0.01696978527187902,0.03438915250246352,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,last_round,1,0.6412848988171583,0.6309914560231221,0.6512067932560633,0.06148550547317248,0.052917562148477794,0.07183383793726164,0.010620075368276806,0.0057179966193323375,0.016421316716930954,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,last_round,2,0.6485025064841733,0.6368200097786316,0.6601541546866408,0.061436565033687336,0.051587962450900686,0.07279063980107225,0.008809279107326384,0.0038397975946662852,0.016398127793661413,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,last_round,3,0.6543031553973908,0.6441614181718055,0.6662229961495854,0.06313316693583908,0.05125184757614653,0.07676573502143141,0.00938025090131976,0.0029655102351331584,0.018412207789307796,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,last_round,4,0.6631669809264846,0.652410813937295,0.6759365864601922,0.06515603843455847,0.053212216094710114,0.07916319495749598,0.010440627090164602,0.0039515794316170175,0.01961122892095973,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,last_round,5,0.6702764145250639,0.6594532426551776,0.6833169977326867,0.07235028303887502,0.059296890630596774,0.08740497289907692,0.009983849654969902,0.0032884764688719394,0.020820454551867606,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m3_fot,F1,full,last_round,6,0.672661003946651,0.6617094433156738,0.6862541572774363,0.07314964355046576,0.05971015520996633,0.08987267921783838,0.011027912363986363,0.0038097095477000287,0.02055806744821694,3,"n/a (per-seed, see a1_lira_pertask_*)"
