dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
imagenet_r,m5_hybrid_replay,F1,full,trajectory,0,0.685155438009021,0.6747122322723653,0.6960172503586712,0.08302667144299346,0.07176110296321292,0.09588756341428614,0.028527697267723973,0.020012335162693157,0.03646265380423107,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,1,0.7528624776709326,0.7413631760233209,0.7645164827388382,0.1365161038199759,0.12176832383328462,0.15279028409552192,0.0534243006480607,0.04249223422723696,0.06384959981366167,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,2,0.7909274195780805,0.7794928214628163,0.8024856072210826,0.1779724492786661,0.15887003601806404,0.1996247119855696,0.0769042889243495,0.06212713742510659,0.09195072921296409,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,3,0.8149224789917786,0.8041974409151064,0.8261946835029081,0.21929853127951282,0.19826704577669826,0.24261811547501083,0.10202885335591233,0.08589062669862492,0.1230294785550096,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,4,0.8302879468067036,0.8196309705881585,0.8413356406428479,0.2525482788940632,0.2301496153034628,0.27699972744722795,0.1288794086039014,0.11027576068654704,0.1481683103201439,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,5,0.840308195100644,0.8289662182163748,0.8515475511654855,0.27527925228775196,0.25325434907788075,0.3004204249324824,0.14739310254990717,0.12777667590345934,0.16690791243110367,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,6,0.8473482760229624,0.836014631639365,0.8585642767516427,0.29332074119907514,0.2708306435710429,0.31926021081926753,0.15888885270459505,0.14027026585048716,0.18323158611295853,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,0,0.685155438009021,0.6747122322723653,0.6960172503586712,0.08302667144299346,0.07176110296321292,0.09588756341428614,0.028527697267723973,0.020012335162693157,0.03646265380423107,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,1,0.74817211672443,0.7366294582007351,0.7593557622107504,0.1410264760478067,0.12676685759708564,0.15592006585193793,0.05464552056534341,0.044501177046754214,0.0673743497414307,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,2,0.7796111838202963,0.768663191889429,0.7907598120355281,0.1803171915198489,0.1639092873827034,0.19890208654509262,0.0820985443058586,0.06497824034795799,0.09784572070225689,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,3,0.8146640370824821,0.8037468573829767,0.8253650621171859,0.23507669261080535,0.21449623840080903,0.2564604735166054,0.11515289673364379,0.09908711853912869,0.13437044409475357,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,4,0.8325066328822941,0.8207824105932936,0.8438113665043074,0.27052463607646465,0.24963035027882072,0.293762218280051,0.1444133259517374,0.12607704856705895,0.1644109642395082,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,5,0.8422378523871125,0.8300023757648449,0.8541493078781955,0.30004559221024524,0.2773065190796396,0.3248866483030234,0.16364346891588238,0.14404628471997646,0.1856407262441285,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,6,0.8491085795510752,0.8377701030623519,0.8599410353937995,0.3152050021167812,0.29068103685240393,0.33842516444624837,0.18093594294460547,0.1600714797268938,0.20574621309576346,3,"n/a (per-seed, see a1_lira_pertask_*)"
