dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m0_fedavg,F1,full,2,1024,205,0,0,trajectory,0.5601650707474618,0.03322387483098319,0.009851265211512458,50,5177,5073,0.02851000729618747,0.03847305786915227,0.007343462662566359,0.01293248249941635
cifar100,m0_fedavg,F1,full,2,1024,205,0,1,trajectory,0.5696164566005434,0.03959822290902067,0.009271779022599961,50,5177,5073,0.03445051094195015,0.045272871356843436,0.006843966792139797,0.012274441011720937
cifar100,m0_fedavg,F1,full,2,1024,205,0,2,trajectory,0.5677205517238543,0.03051960594939154,0.004249565385358316,50,5177,5073,0.026003663539149936,0.0355745281888224,0.002665038127905512,0.006426864280969218
cifar100,m0_fedavg,F1,full,2,1024,205,0,3,trajectory,0.5670516238464107,0.028587985319683214,0.002897430944562488,50,5177,5073,0.024219353307208803,0.03349826684982999,0.0016225488961932263,0.0047743759173293114
cifar100,m0_fedavg,F1,full,2,1024,205,0,4,trajectory,0.5661009679768675,0.025497392312149893,0.0027042688815916553,50,5177,5073,0.02137614951370123,0.03016466880851611,0.0014792131308601953,0.004533145081893956
cifar100,m0_fedavg,F1,full,2,1024,205,0,5,trajectory,0.5646553557389904,0.02511106818620823,0.0034769171334749853,50,5177,5073,0.021021862294537137,0.029746867248882654,0.0020619033083802032,0.005489482486068817
cifar100,m0_fedavg,F1,full,2,1024,205,0,6,trajectory,0.5622053997725539,0.020861502800849915,0.002897430944562488,50,5177,5073,0.017143716790047406,0.02513225357252805,0.0016225488961932263,0.0047743759173293114
cifar100,m0_fedavg,F1,full,2,1024,205,1,0,trajectory,0.5318497190619261,0.015523678522303007,0.0025545293770878365,50,5089,5161,0.012308999036511416,0.019310056492680278,0.001360858611722995,0.004364361461870091
cifar100,m0_fedavg,F1,full,2,1024,205,1,1,trajectory,0.5383930425178576,0.01906071919827078,0.0025545293770878365,50,5089,5161,0.015483452590750443,0.02320356833287956,0.001360858611722995,0.004364361461870091
cifar100,m0_fedavg,F1,full,2,1024,205,1,2,trajectory,0.539194547859951,0.01984672823737473,0.0029475338966398115,50,5089,5161,0.01619383045128966,0.024063924917480776,0.0016506218109838713,0.004856856284647726
cifar100,m0_fedavg,F1,full,2,1024,205,1,3,trajectory,0.5419396779563643,0.022597759874238555,0.002751031636863824,50,5089,5161,0.018691947333609314,0.02706353755193602,0.0015048054355262048,0.004611459972037272
cifar100,m0_fedavg,F1,full,2,1024,205,1,4,trajectory,0.542584925737109,0.02200825309491059,0.0025545293770878365,50,5089,5161,0.018155196290969317,0.026422185193979524,0.001360858611722995,0.004364361461870091
cifar100,m0_fedavg,F1,full,2,1024,205,1,5,trajectory,0.543196629923422,0.021222244055806642,0.0021615248575358615,50,5089,5161,0.017440711660494112,0.025565880156222513,0.0010795038388737395,0.003864266163634226
cifar100,m0_fedavg,F1,full,2,1024,205,1,6,trajectory,0.5428964128495345,0.017881705639614855,0.002358027117311849,50,5089,5161,0.014421038765699282,0.021909926382558197,0.0012190021035999093,0.004115372259119907
cifar100,m0_fedavg,F1,full,2,1024,205,2,0,trajectory,0.5735783320156264,0.034303333975717866,0.008094045095394103,50,5189,5061,0.02951828495398351,0.03962100691639822,0.005839524032698616,0.01092520934538141
cifar100,m0_fedavg,F1,full,2,1024,205,2,1,trajectory,0.5817275528778236,0.03391790325688957,0.008672191173636538,50,5189,5061,0.029159992446452652,0.039208950399748775,0.0063323884054343246,0.011587044467172214
cifar100,m0_fedavg,F1,full,2,1024,205,2,2,trajectory,0.5838647475552546,0.034688764694546154,0.012141067643091155,50,5189,5061,0.02987674523579462,0.04003289697736183,0.009341795177985642,0.015507302072806088
cifar100,m0_fedavg,F1,full,2,1024,205,2,3,trajectory,0.5817376817625508,0.03680863364810175,0.008479475814222393,50,5189,5061,0.03185115903856873,0.04229543209422378,0.006167767217125389,0.011366755363640077
cifar100,m0_fedavg,F1,full,2,1024,205,2,4,trajectory,0.5759236257721323,0.03507419541337445,0.008672191173636538,50,5189,5061,0.03023537059973535,0.0404446232389564,0.0063323884054343246,0.011587044467172214
cifar100,m0_fedavg,F1,full,2,1024,205,2,5,trajectory,0.5750214696181628,0.034303333975717866,0.007708614376565812,50,5189,5061,0.02951828495398351,0.03962100691639822,0.005512693193441723,0.010482297034530652
cifar100,m0_fedavg,F1,full,2,1024,205,2,6,trajectory,0.5738773625861617,0.035459626132202736,0.010021198689535556,50,5189,5061,0.030594158427031084,0.040856188285476394,0.00749311250528822,0.013120938270498303
cifar100,m0_fedavg,F1,full,2,1024,205,3,0,trajectory,0.5545560352704678,0.0259765625,0.005078125,50,5120,5130,0.021793831356625624,0.030710792246982154,0.0033198013731097977,0.007431836805911119
cifar100,m0_fedavg,F1,full,2,1024,205,3,1,trajectory,0.5625458394249513,0.0283203125,0.00859375,50,5120,5130,0.02394935644924691,0.033239406187881446,0.006250977477956838,0.011519713931688401
cifar100,m0_fedavg,F1,full,2,1024,205,3,2,trajectory,0.5659799890350877,0.02890625,0.00703125,50,5120,5130,0.024489568120434256,0.033870242428039085,0.004929318974397759,0.009721047948868322
cifar100,m0_fedavg,F1,full,2,1024,205,3,3,trajectory,0.5682421494273879,0.0263671875,0.0056640625,50,5120,5130,0.022152467079859697,0.031132840057384058,0.0037964957562363895,0.00812448524522794
cifar100,m0_fedavg,F1,full,2,1024,205,3,4,trajectory,0.5684400508650097,0.02890625,0.0044921875,50,5120,5130,0.024489568120434256,0.033870242428039085,0.002849728385920047,0.006732907229487717
cifar100,m0_fedavg,F1,full,2,1024,205,3,5,trajectory,0.5660984329312866,0.02890625,0.0056640625,50,5120,5130,0.024489568120434256,0.033870242428039085,0.0037964957562363895,0.00812448524522794
cifar100,m0_fedavg,F1,full,2,1024,205,3,6,trajectory,0.5637382355628655,0.02578125,0.0052734375,50,5120,5130,0.021614610641481635,0.030499672217217513,0.0034780190830012337,0.007663366784777327
cifar100,m0_fedavg,F1,full,2,1024,205,pooled,0,trajectory,0.5554675086370876,0.028238153098420413,0.006123936816524909,200,20575,20425,0.026017230005712145,0.030593672942625078,0.005103891839467401,0.007287066372222665
cifar100,m0_fedavg,F1,full,2,1024,205,pooled,1,trajectory,0.5633119086959819,0.029550425273390038,0.007970838396111787,200,20575,20425,0.0272788808636235,0.031956151441385965,0.006801419192503964,0.009282307106289037
cifar100,m0_fedavg,F1,full,2,1024,205,pooled,2,trajectory,0.5643341757994976,0.029064398541919806,0.005783718104495747,200,20575,20425,0.026811457183850706,0.03145167500962133,0.004793595963940441,0.006917141074885988
cifar100,m0_fedavg,F1,full,2,1024,205,pooled,3,trajectory,0.5649522495095859,0.028383961117861484,0.0050060753341433775,200,20575,20425,0.02615735106323548,0.030745121662541418,0.004087903977091818,0.006068085745632185
cifar100,m0_fedavg,F1,full,2,1024,205,pooled,4,trajectory,0.5634420948525486,0.027168894289185907,0.0050060753341433775,200,20575,20425,0.02499017187531094,0.029482553942159227,0.004087903977091818,0.006068085745632185
cifar100,m0_fedavg,F1,full,2,1024,205,pooled,5,trajectory,0.5624167747634933,0.027946537059538274,0.0050060753341433775,200,20575,20425,0.0257370359586147,0.030290727553504433,0.004087903977091818,0.006068085745632185
cifar100,m0_fedavg,F1,full,2,1024,205,pooled,6,trajectory,0.5608265143346653,0.026002430133657353,0.004374240583232078,200,20575,20425,0.023870784144146503,0.02826938747241446,0.003518829410566122,0.005373987447787119
cifar100,m0_fedavg,F1,full,2,1024,205,0,0,last_round,0.5601650707474618,0.03322387483098319,0.009851265211512458,50,5177,5073,0.02851000729618747,0.03847305786915227,0.007343462662566359,0.01293248249941635
cifar100,m0_fedavg,F1,full,2,1024,205,0,1,last_round,0.5335788048861739,0.017964071856287425,0.004249565385358316,50,5177,5073,0.01452317898393134,0.021962577900685145,0.002665038127905512,0.006426864280969218
cifar100,m0_fedavg,F1,full,2,1024,205,0,2,last_round,0.5230937564028008,0.015066640911724938,0.0007726482518833301,50,5177,5073,0.011927290506979316,0.01876862805854162,0.0002105594937336588,0.0019770941213106364
cifar100,m0_fedavg,F1,full,2,1024,205,0,3,last_round,0.5233026440585189,0.01448715472281244,0.002897430944562488,50,5177,5073,0.01141166111007264,0.018126350602711127,0.0016225488961932263,0.0047743759173293114
cifar100,m0_fedavg,F1,full,2,1024,205,0,4,last_round,0.5312971851074753,0.015452965037666602,0.0019316206297083252,50,5177,5073,0.012271752754249379,0.01919611647153236,0.000926663616794684,0.0035494407676811323
cifar100,m0_fedavg,F1,full,2,1024,205,0,5,last_round,0.5300183098445143,0.018543558045199922,0.0013521344407958276,50,5177,5073,0.015045499161820845,0.02259827505150134,0.000543795525180143,0.002783916873558082
cifar100,m0_fedavg,F1,full,2,1024,205,0,6,last_round,0.5282244499764516,0.01777090979331659,0.0030905930075333203,50,5177,5073,0.014349287360000277,0.02175046696547398,0.0017675410075444727,0.005014089944605887
cifar100,m0_fedavg,F1,full,2,1024,205,1,0,last_round,0.5318497190619261,0.015523678522303007,0.0025545293770878365,50,5089,5161,0.012308999036511416,0.019310056492680278,0.001360858611722995,0.004364361461870091
cifar100,m0_fedavg,F1,full,2,1024,205,1,1,last_round,0.5170387943282313,0.017292198860286892,0.0015720180782078995,50,5089,5161,0.013891350155670133,0.021261610229942565,0.0006789224435893526,0.003095140059884648
cifar100,m0_fedavg,F1,full,2,1024,205,1,2,last_round,0.528648000106913,0.01296914914521517,0.001375515818431912,50,5089,5161,0.010044151125552552,0.01647075163376998,0.0005532018911351363,0.0028320217967478154
cifar100,m0_fedavg,F1,full,2,1024,205,1,3,last_round,0.5279893501181774,0.015916683041854982,0.002751031636863824,50,5089,5161,0.01265971045272433,0.019744641655797358,0.0015048054355262048,0.004611459972037272
cifar100,m0_fedavg,F1,full,2,1024,205,1,4,last_round,0.524312690417486,0.015720180782078996,0.0017685203379838867,50,5089,5161,0.012484285669620586,0.01952741694309788,0.000808988982428145,0.00335453605216139
cifar100,m0_fedavg,F1,full,2,1024,205,1,5,last_round,0.5311671202412976,0.01984672823737473,0.0019650225977598744,50,5089,5161,0.01619383045128966,0.024063924917480776,0.0009426942956554291,0.003610767774606285
cifar100,m0_fedavg,F1,full,2,1024,205,1,6,last_round,0.5285108559217332,0.014737669483199057,0.001375515818431912,50,5089,5161,0.011609287157834368,0.018439205728498515,0.0005532018911351363,0.0028320217967478154
cifar100,m0_fedavg,F1,full,2,1024,205,2,0,last_round,0.5735783320156264,0.034303333975717866,0.008094045095394103,50,5189,5061,0.02951828495398351,0.03962100691639822,0.005839524032698616,0.01092520934538141
cifar100,m0_fedavg,F1,full,2,1024,205,2,1,last_round,0.5381090339408646,0.027751011755636924,0.004817883985353632,50,5189,5061,0.023452662839175555,0.03259091071171726,0.003120234398872755,0.007103985558145035
cifar100,m0_fedavg,F1,full,2,1024,205,2,2,last_round,0.541452137078538,0.02755829639622278,0.007515899017151667,50,5189,5061,0.023275163807472892,0.032383249763534495,0.005349840248279723,0.01026029745979098
cifar100,m0_fedavg,F1,full,2,1024,205,2,3,last_round,0.5339676528354461,0.021198689535555985,0.005396030063596069,50,5189,5061,0.01745416886118251,0.02549435570024414,0.0035885286582479957,0.007789392175450015
cifar100,m0_fedavg,F1,full,2,1024,205,2,4,last_round,0.5300216145069085,0.020427828097899402,0.006359606860666795,50,5189,5061,0.016754177888523868,0.024653820271837497,0.004381585897522394,0.008919760966004955
cifar100,m0_fedavg,F1,full,2,1024,205,2,5,last_round,0.5368937962446894,0.02698015031798034,0.0023125843129697438,50,5189,5061,0.02274301506365705,0.03175992200073058,0.0011954991816730464,0.004036131254695176
cifar100,m0_fedavg,F1,full,2,1024,205,2,6,last_round,0.5365416080685934,0.025245712083253036,0.007323183657737522,50,5189,5061,0.021149850598980946,0.029886690334272634,0.005187381491885476,0.010037917479651149
