dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m0_fedavg,F1,full,3,4096,819,0,0,trajectory,0.5354473150340301,0.01654194564789287,0.001673887357227255,50,20312,20638,0.014832735657866282,0.01839146935080237,0.0011594855868067124,0.0023383116825408715
cifar100,m0_fedavg,F1,full,3,4096,819,0,1,trajectory,0.5419089588789532,0.016000393855848758,0.0009846396218983853,50,20312,20638,0.014319742698016284,0.017821557577874937,0.0006015439285533571,0.0015202884261418402
cifar100,m0_fedavg,F1,full,3,4096,819,0,2,trajectory,0.5425191749477604,0.013735722725482473,0.0009354076408034659,50,20312,20638,0.012180357188170447,0.015432459432687076,0.0005632674895176435,0.00146037118336181
cifar100,m0_fedavg,F1,full,3,4096,819,0,3,trajectory,0.5408376945390831,0.013095706971248523,0.0008369436786136275,50,20312,20638,0.01157767043755419,0.014755366919566807,0.00048762373031650835,0.0013396908226040642
cifar100,m0_fedavg,F1,full,3,4096,819,0,4,trajectory,0.5389367456018317,0.013046474990153604,0.0006892477353288697,50,20312,20638,0.011531348793452438,0.014703244212462198,0.0003768677527609726,0.001156170441396534
cifar100,m0_fedavg,F1,full,3,4096,819,0,5,trajectory,0.5375756547505203,0.01339109885781804,0.0008369436786136275,50,20312,20638,0.011855718413318358,0.01506798568692251,0.00048762373031650835,0.0013396908226040642
cifar100,m0_fedavg,F1,full,3,4096,819,0,6,trajectory,0.5362140343178635,0.012849547065773927,0.0008369436786136275,50,20312,20638,0.011346119619454793,0.014494696294945753,0.00048762373031650835,0.0013396908226040642
cifar100,m0_fedavg,F1,full,3,4096,819,1,0,trajectory,0.5657805996851295,0.02661764705882353,0.0058823529411764705,50,20400,20550,0.02445198848796108,0.028919586603906196,0.004879391361405262,0.007029798240898739
cifar100,m0_fedavg,F1,full,3,4096,819,1,1,trajectory,0.5715251872525166,0.025245098039215687,0.0037745098039215687,50,20400,20550,0.023135826626468254,0.02749109666447774,0.0029798976092057583,0.004715264053848735
cifar100,m0_fedavg,F1,full,3,4096,819,1,2,trajectory,0.5717385310815324,0.02446078431372549,0.0025490196078431374,50,20400,20550,0.0223844780944783,0.026674074796555584,0.001904297821044222,0.0033413731071730408
cifar100,m0_fedavg,F1,full,3,4096,819,1,3,trajectory,0.5686165712513715,0.023137254901960783,0.0021078431372549018,50,20400,20550,0.021117891045484533,0.025294040605711506,0.0015258636389506876,0.002838212278120104
cifar100,m0_fedavg,F1,full,3,4096,819,1,4,trajectory,0.5661793473593817,0.02161764705882353,0.0017647058823529412,50,20400,20550,0.019665855029536373,0.023707370052219588,0.0012362749424810339,0.00244226794058572
cifar100,m0_fedavg,F1,full,3,4096,819,1,5,trajectory,0.5641000238538237,0.019411764705882354,0.001715686274509804,50,20400,20550,0.017562728978190403,0.021399485872089428,0.0011953203300354728,0.0023853042913858655
cifar100,m0_fedavg,F1,full,3,4096,819,1,6,trajectory,0.5629815633796098,0.01838235294117647,0.0016176470588235294,50,20400,20550,0.016583387990961544,0.020320362983249702,0.0011137673353137734,0.0022710347617496732
cifar100,m0_fedavg,F1,full,3,4096,819,2,0,trajectory,0.5768458410602629,0.037462708465789606,0.010955152345087298,50,20447,20503,0.034901397616501836,0.04015657994378521,0.00957380821333997,0.012478054458192483
cifar100,m0_fedavg,F1,full,3,4096,819,2,1,trajectory,0.5870840845521366,0.035848779772093706,0.005673203892991637,50,20447,20503,0.033342249473912934,0.03848836792759244,0.004690076947089355,0.0068006149858869935
cifar100,m0_fedavg,F1,full,3,4096,819,2,2,trajectory,0.5854901045808972,0.03364796791705384,0.0014183009732479093,50,20447,20503,0.031218397195901023,0.03621127894906302,0.0009500577723389445,0.002036286665604433
cifar100,m0_fedavg,F1,full,3,4096,819,2,3,trajectory,0.5828729958299393,0.03232748080402993,0.0011248593925759281,50,20447,20503,0.029945429074614786,0.034843685077858844,0.0007131937982280704,0.0016873662407755916
cifar100,m0_fedavg,F1,full,3,4096,819,2,4,trajectory,0.5772051542146092,0.03218076001369394,0.0010270455323519343,50,20447,20503,0.029804053712275555,0.034691664803046314,0.0006358662492284259,0.0015695220043142773
