dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m1_glfc,F1,full,2,1024,205,0,0,trajectory,0.55090745903854,0.03526398739164697,0.010638297872340425,50,5076,5174,0.03036021899792565,0.04071107952627051,0.008001639762428946,0.013858134611973359
cifar100,m1_glfc,F1,full,2,1024,205,0,1,trajectory,0.5638239235213468,0.03289992119779354,0.007486209613869189,50,5076,5174,0.028164569337553114,0.03818181624316606,0.005302976497932488,0.010261065223129988
cifar100,m1_glfc,F1,full,2,1024,205,0,2,trajectory,0.5687775423154446,0.03447596532702916,0.006107171000788022,50,5076,5174,0.029627623747700744,0.039868698059243174,0.004153187272803114,0.008657532879098965
cifar100,m1_glfc,F1,full,2,1024,205,0,3,trajectory,0.5812506491967627,0.0384160756501182,0.0065011820330969266,50,5076,5174,0.03329720504586137,0.04407405083658664,0.004479216644239675,0.009118067633339402
cifar100,m1_glfc,F1,full,2,1024,205,0,4,trajectory,0.5892138756460364,0.04117415287628053,0.007880220646178092,50,5076,5174,0.035875023144667124,0.04700875267945479,0.005635541251972342,0.010715316326289592
cifar100,m1_glfc,F1,full,2,1024,205,0,5,trajectory,0.5950318209219096,0.0425531914893617,0.008865248226950355,50,5076,5174,0.03716647802062037,0.04847357495227944,0.006473513617047779,0.011844602901509188
cifar100,m1_glfc,F1,full,2,1024,205,0,6,trajectory,0.5988216450501279,0.04314420803782506,0.009850275807722617,50,5076,5174,0.037720450346812845,0.04910086744882895,0.007319655225996956,0.012965970571771703
cifar100,m1_glfc,F1,full,2,1024,205,1,0,trajectory,0.5418223537823919,0.019942473633748802,0.004602109300095877,50,5215,5035,0.016322783544884034,0.0241124685600631,0.0029508169298565158,0.006839883253693981
cifar100,m1_glfc,F1,full,2,1024,205,1,1,trajectory,0.5647172382012394,0.028954937679769893,0.0063279002876318316,50,5215,5035,0.024573329044023016,0.0338736907684645,0.0043597214666748745,0.008875347485696345
cifar100,m1_glfc,F1,full,2,1024,205,1,2,trajectory,0.5781390287165298,0.03336529242569511,0.008245445829338447,50,5215,5035,0.028657940362402337,0.038603823913165865,0.005973512856942805,0.011090656625274121
cifar100,m1_glfc,F1,full,2,1024,205,1,3,trajectory,0.5885873859017557,0.03854266538830297,0.009587727708533078,50,5215,5035,0.03348188084816057,0.0441278600554926,0.007124334393310343,0.012620906781367536
cifar100,m1_glfc,F1,full,2,1024,205,1,4,trajectory,0.5946193329340828,0.04544582933844679,0.012464046021093002,50,5215,5035,0.03995293651819131,0.051454376851358626,0.009632299538616922,0.015859214010848048
cifar100,m1_glfc,F1,full,2,1024,205,1,5,trajectory,0.5983541099170618,0.05004793863854266,0.016490891658676895,50,5215,5035,0.04428746210801692,0.0563183559758453,0.0132111956565536,0.02032654809124882
cifar100,m1_glfc,F1,full,2,1024,205,1,6,trajectory,0.6012004939536381,0.05254074784276126,0.019942473633748802,50,5215,5035,0.04664124872470725,0.058947124658506184,0.016322783544884034,0.0241124685600631
cifar100,m1_glfc,F1,full,2,1024,205,2,0,trajectory,0.5708114801473759,0.03140237955919641,0.011702750146284377,50,5127,5123,0.02679936670749322,0.03654847809574228,0.008941984250982134,0.015038401359361997
cifar100,m1_glfc,F1,full,2,1024,205,2,1,trajectory,0.5778059464118515,0.03452311293153891,0.014043300175541252,50,5127,5123,0.02969476098465751,0.03989031238642227,0.011003804038637143,0.017652937940584208
cifar100,m1_glfc,F1,full,2,1024,205,2,2,trajectory,0.5934547673553958,0.04291008386970938,0.01677394187634094,50,5127,5123,0.037527095691243066,0.04882091637425875,0.013438314855996702,0.02067474090156875
cifar100,m1_glfc,F1,full,2,1024,205,2,3,trajectory,0.6037070282861388,0.05051687146479423,0.023795591964111566,50,5127,5123,0.044681872587347536,0.05687006462770989,0.019799022558175335,0.0283461079808565
cifar100,m1_glfc,F1,full,2,1024,205,2,4,trajectory,0.609811205301409,0.06026916325336454,0.02633118782913985,50,5127,5123,0.05390920633786189,0.0671352330230123,0.02212215958216386,0.031090437759665003
