dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m2_target,F1,full,2,1024,205,0,0,trajectory,0.5568231208788263,0.027864380358534686,0.004286827747466875,50,5132,5118,0.02353422509914505,0.03274202000287846,0.002688423006852415,0.006483156123502725
cifar100,m2_target,F1,full,2,1024,205,0,1,trajectory,0.5756858330462655,0.03117692907248636,0.005455962587685113,50,5132,5118,0.026592811620826485,0.036303906228017185,0.003628418357778472,0.007875801929694767
cifar100,m2_target,F1,full,2,1024,205,0,2,trajectory,0.5892712575578011,0.04053000779423227,0.007599376461418551,50,5132,5118,0.03530018961019932,0.046290223239270394,0.005409319444684835,0.010374096907426663
cifar100,m2_target,F1,full,2,1024,205,0,3,trajectory,0.6059648568148668,0.04715510522213562,0.009547934528448947,50,5132,5118,0.041517350705321636,0.05331477448490353,0.007071726752336672,0.012603443881906092
cifar100,m2_target,F1,full,2,1024,205,0,4,trajectory,0.6183317281905412,0.05592361652377241,0.011886204208885425,50,5132,5118,0.04979378206397306,0.0625644116350268,0.009103867807415447,0.015242461915997879
cifar100,m2_target,F1,full,2,1024,205,0,5,trajectory,0.6256820333961075,0.06137957911145752,0.012081060015588464,50,5132,5118,0.05496619185771999,0.06829722275830051,0.009274679363084322,0.015460949283692006
cifar100,m2_target,F1,full,2,1024,205,0,6,trajectory,0.6308141881221261,0.05865159781761496,0.012860483242400623,50,5132,5118,0.05237802303949418,0.06543277215463623,0.009959877946808868,0.016332989473105672
cifar100,m2_target,F1,full,2,1024,205,1,0,trajectory,0.5510665863115446,0.019692792437967704,0.0015754233950374162,50,5078,5172,0.016050840465356018,0.02390053507078751,0.0006803936442530202,0.0031018396470418805
cifar100,m2_target,F1,full,2,1024,205,1,1,trajectory,0.5810762392828107,0.025009846396218983,0.0037416305632138637,50,5078,5172,0.020891222530364597,0.02968602033261495,0.00225416331463558,0.005836879291073744
cifar100,m2_target,F1,full,2,1024,205,1,2,trajectory,0.594417116189303,0.02855454903505317,0.006498621504529342,50,5078,5172,0.024147869585263205,0.0335136258093273,0.0044774508598503186,0.009114481160228345
