dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m3_fot,F1,full,0,1024,205,0,0,trajectory,0.5506577854011816,0.022264150943396226,0.004905660377358491,50,5300,4950,0.018462464753996658,0.026603681722856237,0.003206967896352273,0.007179723401572059
cifar100,m3_fot,F1,full,0,1024,205,0,1,trajectory,0.572577358490566,0.027358490566037737,0.0060377358490566035,50,5300,4950,0.023134296277271153,0.03211328425012829,0.004133364565207482,0.008512881490332157
cifar100,m3_fot,F1,full,0,1024,205,0,2,trajectory,0.5769687440442157,0.027735849056603774,0.007924528301886792,50,5300,4950,0.02348211321019473,0.03251966575572625,0.0057171002084162904,0.01069671830137739
cifar100,m3_fot,F1,full,0,1024,205,0,3,trajectory,0.5793793024585477,0.03226415094339623,0.0060377358490566035,50,5300,4950,0.027671702738717177,0.03738060145881414,0.004133364565207482,0.008512881490332157
cifar100,m3_fot,F1,full,0,1024,205,0,4,trajectory,0.5841092052601486,0.03490566037735849,0.005849056603773585,50,5300,4950,0.03012757778620439,0.040204299871824736,0.003977507844501475,0.008292079524349068
cifar100,m3_fot,F1,full,0,1024,205,0,5,trajectory,0.5877132075471698,0.03339622641509434,0.004528301886792453,50,5300,4950,0.028723233041447756,0.03859173770909215,0.002903458385841516,0.006730308414885048
cifar100,m3_fot,F1,full,0,1024,205,0,6,trajectory,0.5911813607775872,0.03188679245283019,0.005094339622641509,50,5300,4950,0.02732153660388526,0.03697654820570852,0.003359805956529863,0.0074034037300172335
cifar100,m3_fot,F1,full,0,1024,205,1,0,trajectory,0.5522383746695675,0.019485580670303974,0.0037022603273577552,50,5132,5118,0.015881656769458824,0.023649583164101602,0.0022304293330325307,0.0057755263417976575
cifar100,m3_fot,F1,full,0,1024,205,1,1,trajectory,0.5708776003998541,0.02396726422447389,0.004286827747466875,50,5132,5118,0.01995780528254872,0.028529866305624325,0.002688423006852415,0.006483156123502725
cifar100,m3_fot,F1,full,0,1024,205,1,2,trajectory,0.5782643792011262,0.026110678098207326,0.0017537022603273578,50,5132,5118,0.02192163275741994,0.03084972048699234,0.0008022080577057719,0.0033264512181385387
cifar100,m3_fot,F1,full,0,1024,205,1,3,trajectory,0.5809820428076659,0.027084957131722525,0.002338269680436477,50,5132,5118,0.02281690712703436,0.031901602086174936,0.001208783546611505,0.004080920509814056
cifar100,m3_fot,F1,full,0,1024,205,1,4,trajectory,0.5858737306960259,0.02396726422447389,0.0035074045206547155,50,5132,5118,0.01995780528254872,0.028529866305624325,0.0020799943073347925,0.005537568015428879
cifar100,m3_fot,F1,full,0,1024,205,1,5,trajectory,0.5877636949595166,0.025720966484801246,0.0021434138737334374,50,5132,5118,0.021563967199514467,0.030428528273418312,0.0010704549140726893,0.003831915658692368
cifar100,m3_fot,F1,full,0,1024,205,1,6,trajectory,0.5910401127315845,0.020459859703819173,0.0017537022603273578,50,5132,5118,0.016763873162344407,0.02471436683233726,0.0008022080577057719,0.0033264512181385387
cifar100,m3_fot,F1,full,0,1024,205,2,0,trajectory,0.5790615827671307,0.027185605319773126,0.006454136514766282,50,5113,5137,0.022901873108795736,0.03201985409027913,0.0044467734524625616,0.009052171469058817
cifar100,m3_fot,F1,full,0,1024,205,2,1,trajectory,0.5979151495455195,0.03637786035595541,0.006649716409153139,50,5113,5137,0.03141433193008802,0.04187924581657881,0.004609389402790269,0.009280025624388193
cifar100,m3_fot,F1,full,0,1024,205,2,2,trajectory,0.60224375864276,0.036769020144729124,0.009192255036182281,50,5113,5137,0.031778794955610985,0.04229658213124117,0.006761720281504404,0.012205200238030046
cifar100,m3_fot,F1,full,0,1024,205,2,3,trajectory,0.6029654282744717,0.043027576765108544,0.012908273029532564,50,5113,5137,0.03763012817961054,0.04895417924409753,0.009996939904477763,0.016393575905778727
cifar100,m3_fot,F1,full,0,1024,205,2,4,trajectory,0.6055214446672421,0.04068061803246626,0.007627615881087424,50,5113,5137,0.035431710735789226,0.046461719452498385,0.005429440842153319,0.010412593104131031
cifar100,m3_fot,F1,full,0,1024,205,2,5,trajectory,0.6065473539205317,0.04693917465284569,0.009583414824955994,50,5113,5137,0.041304046864250155,0.0530984511684741,0.007098035772261596,0.012650205935794665
cifar100,m3_fot,F1,full,0,1024,205,2,6,trajectory,0.6102164281704949,0.05261099159006454,0.010952474085663993,50,5113,5137,0.04665063685402067,0.05908834873253314,0.008283692541291347,0.014199406889791547
cifar100,m3_fot,F1,full,0,1024,205,3,0,trajectory,0.573076717484943,0.02691107644305772,0.00234009360374415,50,5128,5122,0.02265542298620941,0.03171600782678775,0.0012097268773388708,0.004084100971450601
cifar100,m3_fot,F1,full,0,1024,205,3,1,trajectory,0.5859896070969742,0.023010920436817472,0.0037051482059282373,50,5128,5122,0.01908290218417151,0.027493955607465672,0.0022321702528516076,0.005780026738696927
cifar100,m3_fot,F1,full,0,1024,205,3,2,trajectory,0.5922007692490441,0.0249609984399376,0.0037051482059282373,50,5128,5122,0.020865724482434615,0.029608382049042963,0.0022321702528516076,0.005780026738696927
cifar100,m3_fot,F1,full,0,1024,205,3,3,trajectory,0.5982445643003386,0.032956318252730106,0.004485179407176287,50,5128,5122,0.028240076529163997,0.038213416356779585,0.0028452794070829303,0.006722415284027148
cifar100,m3_fot,F1,full,0,1024,205,3,4,trajectory,0.6002546447035546,0.028861154446177848,0.004485179407176287,50,5128,5122,0.024451280056780534,0.033817537755518885,0.0028452794070829303,0.006722415284027148
cifar100,m3_fot,F1,full,0,1024,205,3,5,trajectory,0.6017645274338892,0.033346333853354136,0.005850234009360375,50,5128,5122,0.02860202942143369,0.0386309659528465,0.0039505064296336085,0.008341121960258711
cifar100,m3_fot,F1,full,0,1024,205,3,6,trajectory,0.602556437282872,0.036076443057722306,0.010530421216848674,50,5128,5122,0.031140578137842337,0.04154897368505545,0.007920400940012933,0.013717834050433354
cifar100,m3_fot,F1,full,0,1024,205,pooled,0,trajectory,0.5639837108113762,0.024476370144633098,0.004546993663232236,200,20673,20327,0.022412873377220296,0.02667502393338288,0.003675950127248628,0.005561535994539862
cifar100,m3_fot,F1,full,0,1024,205,pooled,1,trajectory,0.5815986976024284,0.027862429255550717,0.0049823441203502156,200,20673,20327,0.02566136790057146,0.03019756373538765,0.004068516913155625,0.006039335372797792
cifar100,m3_fot,F1,full,0,1024,205,pooled,2,trajectory,0.5873582892236482,0.028878246988826003,0.005901417307599284,200,20673,20327,0.026637703275444725,0.03125254324794674,0.004903108117571561,0.007042262628723081
cifar100,m3_fot,F1,full,0,1024,205,pooled,3,trajectory,0.5904270764829793,0.031732211096599426,0.006336767764717264,200,20673,20327,0.02938463388500412,0.03421264933074073,0.0053007863351436065,0.007515016288076919
cifar100,m3_fot,F1,full,0,1024,205,pooled,4,trajectory,0.5939760430910022,0.03332849610603202,0.006917235040874571,200,20673,20327,0.030923348345280113,0.035866011317285174,0.005833019523042872,0.008143380623716293
