dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m5_hybrid_replay,F1,full,2,1024,205,0,0,trajectory,0.5485860083880235,0.031539522964715155,0.003942440370589394,50,5073,5177,0.026902799255470476,0.036724996067393,0.002409757431974161,0.006082243731756533
cifar100,m5_hybrid_replay,F1,full,2,1024,205,0,1,trajectory,0.5783850928082219,0.04080425783560024,0.00827912477823773,50,5073,5177,0.03552739186592414,0.046617399052824346,0.005973193358084427,0.011174661902256553
cifar100,m5_hybrid_replay,F1,full,2,1024,205,0,2,trajectory,0.5907056187695192,0.04316972205795387,0.006702148630001971,50,5073,5177,0.03774281781107418,0.04912981345595067,0.004645767882893511,0.009353099808524928
cifar100,m5_hybrid_replay,F1,full,2,1024,205,0,3,trajectory,0.603007944165845,0.04967474866942637,0.012812931204415533,50,5073,5177,0.043857927436921317,0.05601640484068048,0.009902290611041626,0.016302349228101632
cifar100,m5_hybrid_replay,F1,full,2,1024,205,0,4,trajectory,0.6112034529594024,0.05716538537354623,0.017740981667652277,50,5073,5177,0.050934622229711894,0.0639115584501191,0.01428935954711891,0.021762217344720933
cifar100,m5_hybrid_replay,F1,full,2,1024,205,0,5,trajectory,0.6170609126075504,0.06524738813325448,0.020303567908535384,50,5073,5177,0.05860463708074606,0.07239554483653182,0.01660190292599033,0.024570600875153448
cifar100,m5_hybrid_replay,F1,full,2,1024,205,0,6,trajectory,0.6210729187358862,0.0618963138182535,0.0214863000197122,50,5073,5177,0.055420441901412175,0.06888172214651614,0.017674875281813256,0.025861212115085908
cifar100,m5_hybrid_replay,F1,full,2,1024,205,1,0,trajectory,0.5392001950647165,0.017041053446940357,0.0034856700232378003,50,5164,5086,0.013689273569736498,0.02095342979730206,0.0020670971910703487,0.0055032878671779
cifar100,m5_hybrid_replay,F1,full,2,1024,205,1,1,trajectory,0.5719306853186387,0.03505034856700232,0.011231603408210689,50,5164,5086,0.03020189546606249,0.040433040650899296,0.008539368148613067,0.014495544569195447
cifar100,m5_hybrid_replay,F1,full,2,1024,205,1,2,trajectory,0.5973855038039751,0.05325329202168862,0.022463206816421378,50,5164,5086,0.047286299130627936,0.05973133713845753,0.018596437469473242,0.026881893667219936
cifar100,m5_hybrid_replay,F1,full,2,1024,205,1,3,trajectory,0.6079206433236786,0.06158017041053447,0.03272656855151046,50,5164,5086,0.05517609870582795,0.06848510153243588,0.028042748963021145,0.03794773767669543
cifar100,m5_hybrid_replay,F1,full,2,1024,205,1,4,trajectory,0.6116909223326256,0.06235476374903176,0.03369481022463207,50,5164,5086,0.05591187295806523,0.06929757409028689,0.0289416348647788,0.03898403297871192
cifar100,m5_hybrid_replay,F1,full,2,1024,205,1,5,trajectory,0.6145014503445463,0.06525948876839659,0.033307513555383424,50,5164,5086,0.05867356494024684,0.0723418183036648,0.028581947212774527,0.03856964706246971
cifar100,m5_hybrid_replay,F1,full,2,1024,205,1,6,trajectory,0.6170553924093508,0.06777691711851278,0.03582494190549961,50,5164,5086,0.061070131399098906,0.07497707579482357,0.030922957194081106,0.041260139316109175
cifar100,m5_hybrid_replay,F1,full,2,1024,205,2,0,trajectory,0.5695352024973367,0.027895344363216622,0.00596383224317045,50,5198,5052,0.02358921828695928,0.03274186838340706,0.004055625533322803,0.008454590446623729
cifar100,m5_hybrid_replay,F1,full,2,1024,205,2,1,trajectory,0.5908770792225647,0.040592535590611774,0.007118122354751828,50,5198,5052,0.03539096181207043,0.04631761753459823,0.005016623123004138,0.009798171070829788
cifar100,m5_hybrid_replay,F1,full,2,1024,205,2,2,trajectory,0.6086370465892692,0.039438245479030395,0.006540977298961139,50,5198,5052,0.03431097331240467,0.045090507233481125,0.00453394582260893,0.009128472298629516
cifar100,m5_hybrid_replay,F1,full,2,1024,205,2,3,trajectory,0.6210014921385502,0.04424778761061947,0.015005771450557906,50,5198,5052,0.0388184887883553,0.05019595242243443,0.011879032355501607,0.018692944575840604
cifar100,m5_hybrid_replay,F1,full,2,1024,205,2,4,trajectory,0.6289356753632936,0.05463639861485187,0.017699115044247787,50,5198,5052,0.048613410852304834,0.061165369213393384,0.014291221222254296,0.0216627722215557
cifar100,m5_hybrid_replay,F1,full,2,1024,205,2,5,trajectory,0.6337404955374456,0.057906887264332435,0.018853405155829166,50,5198,5052,0.05171085339080494,0.06460491917436371,0.015331935554650374,0.02292874541366637
cifar100,m5_hybrid_replay,F1,full,2,1024,205,2,6,trajectory,0.6381452821400033,0.06290881108118507,0.024047710657945365,50,5198,5052,0.05645902146362989,0.06985455368285375,0.020055807084446042,0.028585516643082797
cifar100,m5_hybrid_replay,F1,full,2,1024,205,3,0,trajectory,0.5698896190925844,0.0328740157480315,0.006102362204724409,50,5080,5170,0.0281423405847292,0.038151833971788424,0.004149914160007767,0.008650724669563403
cifar100,m5_hybrid_replay,F1,full,2,1024,205,3,1,trajectory,0.5891870878325896,0.03562992125984252,0.010236220472440945,50,5080,5170,0.03070251993584562,0.041099719960311004,0.007654083502893379,0.013402019611179306
