dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m8_analytic,F5,global,0,1024,205,0,0,trajectory,0.9999744514184584,0.9992127533950009,0.9964573902775045,50,5081,5169,0.9979855737704645,0.9997854614642118,0.9944069064519028,0.997899114933958
cifar100,m8_analytic,F5,global,0,1024,205,0,1,trajectory,0.9999390793882763,0.9980318834875025,0.9917339106475104,50,5081,5169,0.9963835517929929,0.9990558208237342,0.9888429068620176,0.9940362213711771
cifar100,m8_analytic,F5,global,0,1024,205,0,2,trajectory,0.999899138312215,0.9964573902775045,0.9870104310175163,50,5081,5169,0.9944069064519028,0.997899114933958,0.9835033613958767,0.9899400125515995
cifar100,m8_analytic,F5,global,0,1024,205,0,3,trajectory,0.9998579026731546,0.9952765203700059,0.9824837630387719,50,5081,5169,0.9929799383816901,0.9969713033469197,0.9784884209815616,0.9859100183328368
cifar100,m8_analytic,F5,global,0,1024,205,0,4,trajectory,0.999808975806864,0.9940956504625074,0.9781539067112773,50,5081,5169,0.991581819051427,0.9960129191988806,0.9737505919763287,0.9819951974291741
cifar100,m8_analytic,F5,global,0,1024,205,0,5,trajectory,0.9997496543611981,0.9917339106475104,0.9716591222200355,50,5081,5169,0.9888429068620176,0.9940362213711771,0.9667181114045135,0.9760477615172092
cifar100,m8_analytic,F5,global,0,1024,205,0,6,trajectory,0.9996816898037438,0.9899626057862625,0.9667388309387915,50,5081,5169,0.986823559931609,0.9925176254219952,0.9614340750185432,0.9714980830242769
cifar100,m8_analytic,F5,global,0,1024,205,1,0,trajectory,0.9995600670982387,0.9873565454191792,0.967905076833301,50,5141,5109,0.9839129055235161,0.9902288644502987,0.9627164939819662,0.9725530178098022
cifar100,m8_analytic,F5,global,0,1024,205,1,1,trajectory,0.99926724806341,0.9815211048434157,0.9484536082474226,50,5141,5109,0.9774570826030436,0.9850244014735098,0.9420528527346709,0.954338879824175
cifar100,m8_analytic,F5,global,0,1024,205,1,2,trajectory,0.9989488820811921,0.9766582376969462,0.9311418012059911,50,5141,5109,0.9721530080009144,0.9806103721262212,0.9238748930471703,0.9379144150421013
