dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m8_analytic,F5,aggregate,1,1024,205,0,0,trajectory,0.9999187911462476,0.9986330794766647,0.9857449716852177,50,5121,5129,0.9971856620528698,0.9994502560215995,0.9821093919966728,0.9888101339673746
cifar100,m8_analytic,F5,aggregate,1,1024,205,0,1,trajectory,0.9999187911462476,0.9986330794766647,0.9857449716852177,50,5121,5129,0.9971856620528698,0.9994502560215995,0.9821093919966728,0.9888101339673746
cifar100,m8_analytic,F5,aggregate,1,1024,205,0,2,trajectory,0.9999187911462476,0.9986330794766647,0.9857449716852177,50,5121,5129,0.9971856620528698,0.9994502560215995,0.9821093919966728,0.9888101339673746
cifar100,m8_analytic,F5,aggregate,1,1024,205,0,3,trajectory,0.9999187911462476,0.9986330794766647,0.9857449716852177,50,5121,5129,0.9971856620528698,0.9994502560215995,0.9821093919966728,0.9888101339673746
cifar100,m8_analytic,F5,aggregate,1,1024,205,0,4,trajectory,0.9999187911462476,0.9986330794766647,0.9857449716852177,50,5121,5129,0.9971856620528698,0.9994502560215995,0.9821093919966728,0.9888101339673746
cifar100,m8_analytic,F5,aggregate,1,1024,205,0,5,trajectory,0.9999187911462476,0.9986330794766647,0.9857449716852177,50,5121,5129,0.9971856620528698,0.9994502560215995,0.9821093919966728,0.9888101339673746
cifar100,m8_analytic,F5,aggregate,1,1024,205,0,6,trajectory,0.9999187911462476,0.9986330794766647,0.9857449716852177,50,5121,5129,0.9971856620528698,0.9994502560215995,0.9821093919966728,0.9888101339673746
cifar100,m8_analytic,F5,aggregate,1,1024,205,1,0,trajectory,0.9999714832064069,1.0,0.9941690962099126,50,5145,5105,0.9992832735981546,1.0,0.9916864041617047,0.9960625578982923
cifar100,m8_analytic,F5,aggregate,1,1024,205,1,1,trajectory,0.9999714832064069,1.0,0.9941690962099126,50,5145,5105,0.9992832735981546,1.0,0.9916864041617047,0.9960625578982923
cifar100,m8_analytic,F5,aggregate,1,1024,205,1,2,trajectory,0.9999714832064069,1.0,0.9941690962099126,50,5145,5105,0.9992832735981546,1.0,0.9916864041617047,0.9960625578982923
cifar100,m8_analytic,F5,aggregate,1,1024,205,1,3,trajectory,0.9999714832064069,1.0,0.9941690962099126,50,5145,5105,0.9992832735981546,1.0,0.9916864041617047,0.9960625578982923
cifar100,m8_analytic,F5,aggregate,1,1024,205,1,4,trajectory,0.9999714832064069,1.0,0.9941690962099126,50,5145,5105,0.9992832735981546,1.0,0.9916864041617047,0.9960625578982923
cifar100,m8_analytic,F5,aggregate,1,1024,205,1,5,trajectory,0.9999714832064069,1.0,0.9941690962099126,50,5145,5105,0.9992832735981546,1.0,0.9916864041617047,0.9960625578982923
