dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m0_fedavg,F1,full,4,4096,819,0,0,trajectory,0.6593870917584942,0.06222526130702354,0.018462440168017975,50,20474,20476,0.058954312593677005,0.0656211806886535,0.016662707520444225,0.02040068304273589
cub200,m0_fedavg,F1,full,4,4096,819,0,1,trajectory,0.6559916051314649,0.029061248412620887,0.0038097098759402167,50,20474,20476,0.026802984333320738,0.031454515793782487,0.0030125474089471582,0.004752442435577632
cub200,m0_fedavg,F1,full,4,4096,819,0,2,trajectory,0.64922334279834,0.024958483930839114,0.0035654977044055876,50,20474,20476,0.02286490865824223,0.027188382043182895,0.0027957909475048036,0.004481020125507893
cub200,m0_fedavg,F1,full,4,4096,819,0,3,trajectory,0.6406467511155759,0.024274689850542153,0.0036143401387125134,50,20474,20476,0.02220995026813195,0.02647597593387512,0.002839067893797271,0.0045353775345347664
cub200,m0_fedavg,F1,full,4,4096,819,0,4,trajectory,0.631758611205502,0.023297841164403633,0.0036143401387125134,50,20474,20476,0.021275062501527293,0.02545748807006918,0.002839067893797271,0.0045353775345347664
cub200,m0_fedavg,F1,full,4,4096,819,0,5,trajectory,0.6233201837872391,0.02261404708410667,0.0036143401387125134,50,20474,20476,0.02062120449077023,0.02474398482996776,0.002839067893797271,0.0045353775345347664
cub200,m0_fedavg,F1,full,4,4096,819,0,6,trajectory,0.6164460047413514,0.021637198397968155,0.003712025007326365,50,20474,20476,0.019687973006568167,0.02372384575429251,0.0029257347775170322,0.00464398150537898
cub200,m0_fedavg,F1,full,4,4096,819,1,0,trajectory,0.6683138386079815,0.0640420458416468,0.019319674923353933,50,20549,20401,0.06073212357291314,0.06747594789977016,0.01748159818383578,0.02129545495670395
cub200,m0_fedavg,F1,full,4,4096,819,1,1,trajectory,0.6676910918229744,0.034502895518030076,0.00802958781449219,50,20549,20401,0.03204911425067151,0.03708948467602878,0.006855011884334894,0.009346365204643145
cub200,m0_fedavg,F1,full,4,4096,819,1,2,trajectory,0.6552767410041639,0.029393157817898682,0.00754294612876539,50,20549,20401,0.027126208881226088,0.03179450907433134,0.006405720624589626,0.008822626494375058
