dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m1_glfc,F1,full,2,1024,205,0,0,trajectory,0.6367331948003212,0.041408668730650154,0.006772445820433437,50,5168,5082,0.03614053272832115,0.04720233656445733,0.004721658177452044,0.009406360638090376
cub200,m1_glfc,F1,full,2,1024,205,0,1,trajectory,0.647779664279805,0.039280185758513934,0.0075464396284829725,50,5168,5082,0.034148838945627494,0.04493980886185944,0.005371600836459516,0.010301931923784938
cub200,m1_glfc,F1,full,2,1024,205,0,2,trajectory,0.6483643859892805,0.033281733746130034,0.0009674922600619195,50,5168,5082,0.028559773214513983,0.038539875696415635,0.00031421436172479817,0.002256347868375063
cub200,m1_glfc,F1,full,2,1024,205,0,3,trajectory,0.6497238630119294,0.025154798761609906,0.0005804953560371517,50,5168,5082,0.02105854477420312,0.029798547466356684,0.00011972810041726699,0.0016955074120145934
cub200,m1_glfc,F1,full,2,1024,205,0,4,trajectory,0.6501796999791652,0.024380804953560372,0.0007739938080495357,50,5168,5082,0.020349537451385877,0.028960698324425316,0.00021092624795434706,0.0019805351237092025
cub200,m1_glfc,F1,full,2,1024,205,0,5,trajectory,0.6502213923847051,0.0228328173374613,0.0007739938080495357,50,5168,5082,0.018934922026088718,0.027281639113309563,0.00021092624795434706,0.0019805351237092025
cub200,m1_glfc,F1,full,2,1024,205,0,6,trajectory,0.6503145625366284,0.022058823529411766,0.0009674922600619195,50,5168,5082,0.018229426499474965,0.026440318649469198,0.00031421436172479817,0.002256347868375063
cub200,m1_glfc,F1,full,2,1024,205,1,0,trajectory,0.6033896939434534,0.05880084827453248,0.007326007326007326,50,5187,5063,0.05255207739605602,0.06555160488339877,0.005189383596108811,0.010041782594890162
cub200,m1_glfc,F1,full,2,1024,205,1,1,trajectory,0.6103405172710868,0.038750722961249276,0.002120686331212647,50,5187,5063,0.03366307926273849,0.044365370434454814,0.0010590994790933724,0.0037913182316312768
cub200,m1_glfc,F1,full,2,1024,205,1,2,trajectory,0.610968616332609,0.026604973973395025,0.001735106998264893,50,5187,5063,0.022397195938613217,0.03135613285655227,0.0007936987109026048,0.0032912069234319555
cub200,m1_glfc,F1,full,2,1024,205,1,3,trajectory,0.6083828815722742,0.019857335646809332,0.001735106998264893,50,5187,5063,0.016236388405853987,0.024031739051305213,0.0007936987109026048,0.0032912069234319555
cub200,m1_glfc,F1,full,2,1024,205,1,4,trajectory,0.6057550323795633,0.01850780798149219,0.001735106998264893,50,5187,5063,0.015016444298813854,0.02255479783093895,0.0007936987109026048,0.0032912069234319555
cub200,m1_glfc,F1,full,2,1024,205,1,5,trajectory,0.6035883095666664,0.014652014652014652,0.001542317331791016,50,5187,5063,0.011561027662004127,0.018305292801686458,0.0006660909101312254,0.003036706161087827
cub200,m1_glfc,F1,full,2,1024,205,1,6,trajectory,0.6012423529082053,0.013302486986697512,0.001542317331791016,50,5187,5063,0.010364472382175836,0.016805351490652334,0.0006660909101312254,0.003036706161087827
cub200,m1_glfc,F1,full,2,1024,205,2,0,trajectory,0.5610820303134524,0.011233778810768933,0.0007747433662599264,50,5163,5087,0.008541024191901364,0.014498347512027403,0.00021113055289665738,0.0019824519722558393
cub200,m1_glfc,F1,full,2,1024,205,2,1,trajectory,0.5666045326142094,0.011621150493898896,0.0005810575246949448,50,5163,5087,0.008879554259448972,0.014933719122099209,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,2,trajectory,0.5687749791246108,0.01336432306798373,0.0005810575246949448,50,5163,5087,0.010412718500078301,0.016883331056302724,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,3,trajectory,0.5699812988647923,0.015107495642068565,0.0005810575246949448,50,5163,5087,0.01195968103069254,0.018819425104820292,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,4,trajectory,0.570382377428788,0.014720123958938602,0.0005810575246949448,50,5163,5087,0.011614847974332418,0.01839022559366751,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,5,trajectory,0.5707692541412199,0.014913809800503584,0.0005810575246949448,50,5163,5087,0.01178719248061618,0.01860489606521314,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,6,trajectory,0.5712894302700701,0.014720123958938602,0.0007747433662599264,50,5163,5087,0.011614847974332418,0.01839022559366751,0.00021113055289665738,0.0019824519722558393
cub200,m1_glfc,F1,full,2,1024,205,3,0,trajectory,0.5174906576485448,0.009140412290937379,0.0009723842862699338,50,5142,5108,0.006723542598657852,0.012136469151956954,0.00031580352204834506,0.002267749462453389
cub200,m1_glfc,F1,full,2,1024,205,3,1,trajectory,0.519456670952163,0.008362504861921432,0.0011668611435239206,50,5142,5108,0.006058407833604634,0.011247879335567966,0.00042833404153266175,0.002538022374951852
cub200,m1_glfc,F1,full,2,1024,205,3,2,trajectory,0.522035469106506,0.007779074290159471,0.0011668611435239206,50,5142,5108,0.005563132777264017,0.010577974315056159,0.00042833404153266175,0.002538022374951852
cub200,m1_glfc,F1,full,2,1024,205,3,3,trajectory,0.5246891949145444,0.008751458576429404,0.0011668611435239206,50,5142,5108,0.006390332260048794,0.011692797574861217,0.00042833404153266175,0.002538022374951852
cub200,m1_glfc,F1,full,2,1024,205,3,4,trajectory,0.526696898147429,0.008556981719175419,0.0009723842862699338,50,5142,5108,0.006224203905809618,0.011470499417944187,0.00031580352204834506,0.002267749462453389
cub200,m1_glfc,F1,full,2,1024,205,3,5,trajectory,0.5283914890713753,0.009334889148191364,0.0009723842862699338,50,5142,5108,0.00689060441250458,0.012357861752593773,0.00031580352204834506,0.002267749462453389
cub200,m1_glfc,F1,full,2,1024,205,3,6,trajectory,0.5297717112775561,0.010112796577207312,0.0009723842862699338,50,5142,5108,0.007561684110549092,0.013240679419900222,0.00031580352204834506,0.002267749462453389
cub200,m1_glfc,F1,full,2,1024,205,pooled,0,trajectory,0.5821534518224073,0.026476282671829623,0.0007744433688286545,200,20660,20340,0.024329718084599494,0.02875744627806816,0.00044272403893949315,0.0012573436557687468
cub200,m1_glfc,F1,full,2,1024,205,pooled,1,trajectory,0.5892338950332251,0.020861568247821878,0.0006292352371732817,200,20660,20340,0.018956163704205123,0.022903407338895274,0.00033508244812375187,0.001075771051652485
cub200,m1_glfc,F1,full,2,1024,205,pooled,2,trajectory,0.5902491073816751,0.01737657308809293,0.0006292352371732817,200,20660,20340,0.01563873420615585,0.019252044585824503,0.00033508244812375187,0.001075771051652485
cub200,m1_glfc,F1,full,2,1024,205,pooled,3,trajectory,0.5903603812629633,0.014230396902226525,0.0006292352371732817,200,20660,20340,0.012659805337209595,0.015939767317876656,0.00033508244812375187,0.001075771051652485
cub200,m1_glfc,F1,full,2,1024,205,pooled,4,trajectory,0.5900117008912381,0.013939980638915779,0.0007260406582768635,200,20660,20340,0.01238576279818391,0.01563308746210551,0.0004064145786848041,0.0011972113686626851
cub200,m1_glfc,F1,full,2,1024,205,pooled,5,trajectory,0.5896551437755637,0.013310745401742497,0.0008712487899322362,200,20660,20340,0.0117926241139425,0.014967997421554115,0.0005164364047293199,0.0013766005323315761
cub200,m1_glfc,F1,full,2,1024,205,pooled,6,trajectory,0.5892469166473913,0.012584704743465635,0.0008712487899322362,200,20660,20340,0.011109353452694516,0.014199471599454712,0.0005164364047293199,0.0013766005323315761
cub200,m1_glfc,F1,full,2,1024,205,0,0,last_round,0.6367331948003212,0.041408668730650154,0.006772445820433437,50,5168,5082,0.03614053272832115,0.04720233656445733,0.004721658177452044,0.009406360638090376
cub200,m1_glfc,F1,full,2,1024,205,0,1,last_round,0.6400569742903686,0.027089783281733747,0.007352941176470588,50,5168,5082,0.0228356231961215,0.031888658729511334,0.005208480949366018,0.010078650189021309
cub200,m1_glfc,F1,full,2,1024,205,0,2,last_round,0.6307603293601042,0.014705882352941176,0.0007739938080495357,50,5168,5082,0.011603594125598674,0.018372466330985826,0.00021092624795434706,0.0019805351237092025
cub200,m1_glfc,F1,full,2,1024,205,0,3,last_round,0.6292971734148205,0.019930340557275543,0.0011609907120743034,50,5168,5082,0.016296185683460536,0.02411990198347098,0.00042617852643484465,0.0025252624101532485
cub200,m1_glfc,F1,full,2,1024,205,0,4,last_round,0.6267150999155643,0.027089783281733747,0.0015479876160990713,50,5168,5082,0.0228356231961215,0.031888658729511334,0.0006685406147215869,0.0030478621327975535
cub200,m1_glfc,F1,full,2,1024,205,0,5,last_round,0.6274058992888152,0.015092879256965945,0.001741486068111455,50,5168,5082,0.011948092810660702,0.018801251768677533,0.0007966178186903735,0.0033032974791857963
cub200,m1_glfc,F1,full,2,1024,205,0,6,last_round,0.6298237542080773,0.016060371517027865,0.001741486068111455,50,5168,5082,0.012811765453795592,0.019870832361506805,0.0007966178186903735,0.0033032974791857963
cub200,m1_glfc,F1,full,2,1024,205,1,0,last_round,0.6033896939434534,0.05880084827453248,0.007326007326007326,50,5187,5063,0.05255207739605602,0.06555160488339877,0.005189383596108811,0.010041782594890162
cub200,m1_glfc,F1,full,2,1024,205,1,1,last_round,0.6040800126998241,0.017736649315596684,0.001349527665317139,50,5187,5063,0.014321578083607778,0.021708619185163848,0.0005427468214064288,0.002778553611154498
cub200,m1_glfc,F1,full,2,1024,205,1,2,last_round,0.5912215169260607,0.013880855986119144,0.001735106998264893,50,5187,5063,0.01087633753551405,0.017449109514785528,0.0007936987109026048,0.0032912069234319555
cub200,m1_glfc,F1,full,2,1024,205,1,3,last_round,0.5774521537591072,0.009061114324272219,0.001735106998264893,50,5187,5063,0.006665147468673436,0.012031336717600932,0.0007936987109026048,0.0032912069234319555
cub200,m1_glfc,F1,full,2,1024,205,1,4,last_round,0.5754469584526655,0.012338538654328128,0.001542317331791016,50,5187,5063,0.009514789466908273,0.015729065678538587,0.0006660909101312254,0.003036706161087827
cub200,m1_glfc,F1,full,2,1024,205,1,5,last_round,0.5767276027471252,0.012145748987854251,0.001349527665317139,50,5187,5063,0.009345401931387875,0.015513271167278879,0.0005427468214064288,0.002778553611154498
cub200,m1_glfc,F1,full,2,1024,205,1,6,last_round,0.5733542976388387,0.009832272990167727,0.001542317331791016,50,5187,5063,0.007329288721325292,0.012907588760288845,0.0006660909101312254,0.003036706161087827
cub200,m1_glfc,F1,full,2,1024,205,2,0,last_round,0.5610820303134524,0.011233778810768933,0.0007747433662599264,50,5163,5087,0.008541024191901364,0.014498347512027403,0.00021113055289665738,0.0019824519722558393
cub200,m1_glfc,F1,full,2,1024,205,2,1,last_round,0.5613886075488134,0.011814836335463878,0.0005810575246949448,50,5163,5087,0.009049134725599437,0.015151096829241944,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,2,last_round,0.5631297621654374,0.012976951384853767,0.0003873716831299632,50,5163,5087,0.010070726991086182,0.016451344822195846,4.6915951184094244e-05,0.0013986118705304246
cub200,m1_glfc,F1,full,2,1024,205,2,3,last_round,0.5661487026760895,0.012589579701723804,0.0005810575246949448,50,5163,5087,0.009729443702725622,0.016018665082600313,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,4,last_round,0.5680297436268811,0.012976951384853767,0.0005810575246949448,50,5163,5087,0.010070726991086182,0.016451344822195846,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,5,last_round,0.567370556881252,0.014913809800503584,0.0005810575246949448,50,5163,5087,0.01178719248061618,0.01860489606521314,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,2,6,last_round,0.5675625674373779,0.016656982374588417,0.0005810575246949448,50,5163,5087,0.013344465185484761,0.020530866597397168,0.00011984406412245549,0.001697148473772446
cub200,m1_glfc,F1,full,2,1024,205,3,0,last_round,0.5174906576485448,0.009140412290937379,0.0009723842862699338,50,5142,5108,0.006723542598657852,0.012136469151956954,0.00031580352204834506,0.002267749462453389
cub200,m1_glfc,F1,full,2,1024,205,3,1,last_round,0.5218389743805295,0.007390120575651498,0.0013613380007779074,50,5142,5108,0.005234843099515155,0.01012954148445603,0.0005474981202556546,0.0028028524505816174
cub200,m1_glfc,F1,full,2,1024,205,3,2,last_round,0.5267060737391671,0.007779074290159471,0.0009723842862699338,50,5142,5108,0.005563132777264017,0.010577974315056159,0.00031580352204834506,0.002267749462453389
cub200,m1_glfc,F1,full,2,1024,205,3,3,last_round,0.5321908693648542,0.008362504861921432,0.0011668611435239206,50,5142,5108,0.006058407833604634,0.011247879335567966,0.00042833404153266175,0.002538022374951852
cub200,m1_glfc,F1,full,2,1024,205,3,4,last_round,0.5336189112524584,0.008556981719175419,0.0011668611435239206,50,5142,5108,0.006224203905809618,0.011470499417944187,0.00042833404153266175,0.002538022374951852
cub200,m1_glfc,F1,full,2,1024,205,3,5,last_round,0.534850001538149,0.008168028004667444,0.0011668611435239206,50,5142,5108,0.005892955636745221,0.011024926333703902,0.00042833404153266175,0.002538022374951852
cub200,m1_glfc,F1,full,2,1024,205,3,6,last_round,0.5359299039616322,0.009140412290937379,0.0009723842862699338,50,5142,5108,0.006723542598657852,0.012136469151956954,0.00031580352204834506,0.002267749462453389
cub200,m1_glfc,F1,full,2,1024,205,pooled,0,last_round,0.5821534518224073,0.026476282671829623,0.0007744433688286545,200,20660,20340,0.024329718084599494,0.02875744627806816,0.00044272403893949315,0.0012573436557687468
cub200,m1_glfc,F1,full,2,1024,205,pooled,1,last_round,0.584530769750638,0.01708615682478219,0.0006292352371732817,200,20660,20340,0.015363052539198806,0.018946996493695013,0.00033508244812375187,0.001075771051652485
cub200,m1_glfc,F1,full,2,1024,205,pooled,2,last_round,0.5789323846973189,0.012052274927395934,0.0007744433688286545,200,20660,20340,0.01060910789094825,0.013635070931161335,0.00044272403893949315,0.0012573436557687468
cub200,m1_glfc,F1,full,2,1024,205,pooled,3,last_round,0.5766248128380932,0.010019361084220716,0.0009196515004840271,200,20660,20340,0.008706403235326038,0.011472807179149828,0.0005537782239564965,0.0014357788367380792
cub200,m1_glfc,F1,full,2,1024,205,pooled,4,last_round,0.5755751308110619,0.009535333978702808,0.0008712487899322362,200,20660,20340,0.008255340754227332,0.01095603310374696,0.0005164364047293199,0.0013766005323315761
cub200,m1_glfc,F1,full,2,1024,205,pooled,5,last_round,0.5760226631295089,0.009922555663117135,0.000968054211035818,200,20660,20340,0.008616124072440215,0.011369518557983758,0.0005914097720536364,0.001494687220631151
cub200,m1_glfc,F1,full,2,1024,205,pooled,6,last_round,0.5758043202631736,0.010842207163601162,0.001016456921587609,200,20660,20340,0.009475038607268437,0.012349506553163922,0.00062930949842798,0.0015533449307946377
