dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m2_target,F1,full,0,1024,205,0,0,trajectory,0.6666307584515677,0.048554913294797684,0.020616570327552985,50,5190,5060,0.04286637081894013,0.05475773180001908,0.016925776862449757,0.024859303133758736
cub200,m2_target,F1,full,0,1024,205,0,1,trajectory,0.7397679483957443,0.09556840077071291,0.03448940269749518,50,5190,5060,0.08770262901301643,0.10389228551184332,0.02969175860477784,0.03981932000681424
cub200,m2_target,F1,full,0,1024,205,0,2,trajectory,0.7826176441469228,0.1250481695568401,0.04951830443159923,50,5190,5060,0.11616551221496557,0.13435481409368244,0.043774483670502656,0.05577520392129524
cub200,m2_target,F1,full,0,1024,205,0,3,trajectory,0.7991580037621757,0.13468208092485548,0.041811175337186895,50,5190,5060,0.12550541135661444,0.14427166621896773,0.036528497942869435,0.047616618696890954
cub200,m2_target,F1,full,0,1024,205,0,4,trajectory,0.8044604628846901,0.1533718689788054,0.039884393063583816,50,5190,5060,0.14366893724367255,0.16346631484732824,0.0347244159881423,0.04556960357875903
cub200,m2_target,F1,full,0,1024,205,0,5,trajectory,0.8080070369439558,0.16454720616570329,0.05009633911368015,50,5190,5060,0.15455441898224356,0.17491874938949992,0.04431964942751453,0.05638539075763359
cub200,m2_target,F1,full,0,1024,205,0,6,trajectory,0.8144432513118113,0.16165703275529866,0.04682080924855491,50,5190,5060,0.1517375532730215,0.17195856539287646,0.04123338330112752,0.05292467529953859
cub200,m2_target,F1,full,0,1024,205,1,0,trajectory,0.6627719177094652,0.07534647667382394,0.026156548897130587,50,5123,5127,0.06826457015018657,0.08291660590043028,0.021960223334975878,0.030903784493021638
cub200,m2_target,F1,full,0,1024,205,1,1,trajectory,0.8065618551337507,0.1610384540308413,0.0462619558852235,50,5123,5127,0.15107091700503195,0.17139378607333033,0.040672445973064575,0.052375440518933225
cub200,m2_target,F1,full,0,1024,205,1,2,trajectory,0.8629480338576423,0.21881709935584617,0.056217060316220965,50,5123,5127,0.2075607163001278,0.2303947259780038,0.05006631228086516,0.06287931215288124
cub200,m2_target,F1,full,0,1024,205,1,3,trajectory,0.8736942484626578,0.23794651571344916,0.055826664064024985,50,5123,5127,0.22634028206921875,0.2498520405912903,0.049696777042420114,0.06246853805149948
cub200,m2_target,F1,full,0,1024,205,1,4,trajectory,0.8748537489366803,0.2317001756783135,0.05602186219012297,50,5123,5127,0.22020447365260162,0.24350233376014924,0.04988153393200951,0.06267393578038526
cub200,m2_target,F1,full,0,1024,205,1,5,trajectory,0.8812673037504044,0.24399765762248682,0.056607456568416946,50,5123,5127,0.23228764596541926,0.25600002235590036,0.05043593293683696,0.0632900012447403
cub200,m2_target,F1,full,0,1024,205,1,6,trajectory,0.8860229879963623,0.26995900839351944,0.04801873902010541,50,5123,5127,0.2578387323128661,0.28234189759125444,0.04232542919969147,0.05423379709044671
cub200,m2_target,F1,full,0,1024,205,2,0,trajectory,0.6168706345726143,0.03931590328287792,0.002752113229801455,50,5087,5163,0.034142864073024075,0.04502567954491438,0.0015053973747570634,0.00461327131646027
cub200,m2_target,F1,full,0,1024,205,2,1,trajectory,0.764406664727143,0.12482799292313741,0.03440141537251818,50,5087,5163,0.11586406824277068,0.13422480603254766,0.029563403948304603,0.039782727576722826
cub200,m2_target,F1,full,0,1024,205,2,2,trajectory,0.8003624784644913,0.14075093375270298,0.04462355022606644,50,5087,5163,0.1313042094480765,0.1506118865726654,0.03911409777168283,0.05066282873000046
cub200,m2_target,F1,full,0,1024,205,2,3,trajectory,0.8167588397292875,0.17279339492824847,0.059367013957145665,50,5087,5163,0.16249574427685268,0.18346792528209802,0.05302925436284531,0.06621601937907431
cub200,m2_target,F1,full,0,1024,205,2,4,trajectory,0.8290073084708028,0.18675054059367013,0.060349911539217614,50,5087,5163,0.1761250334380137,0.1977367192550545,0.05396147623438938,0.06724837671680631
cub200,m2_target,F1,full,0,1024,205,2,5,trajectory,0.8380812636038413,0.20267348142323569,0.0680165126793788,50,5087,5163,0.1917014803646297,0.21398769597357248,0.061248871524809206,0.07528476841294338
cub200,m2_target,F1,full,0,1024,205,2,6,trajectory,0.849136205693983,0.21525457047375662,0.07666601140161196,50,5087,5163,0.20402789645440017,0.22680889456726022,0.06950085439396508,0.08432127979842177
cub200,m2_target,F1,full,0,1024,205,3,0,trajectory,0.6048529116571373,0.0313588850174216,0.0071622144792876504,50,5166,5084,0.026775835558266337,0.03648092818771322,0.0050477278734444185,0.009858781867258134
cub200,m2_target,F1,full,0,1024,205,3,1,trajectory,0.7805311342424428,0.16957026713124274,0.0743321718931475,50,5166,5084,0.15942945813457854,0.1800858486668337,0.06732443919116182,0.08182523831608908
cub200,m2_target,F1,full,0,1024,205,3,2,trajectory,0.8161364873455411,0.21138211382113822,0.10414246999612853,50,5166,5084,0.2003171339011381,0.22277411848241824,0.0959418313628898,0.1127933457345461
cub200,m2_target,F1,full,0,1024,205,3,3,trajectory,0.831794683997194,0.22067363530778164,0.11072396438250097,50,5166,5084,0.2094286077211001,0.23223510441473158,0.10229209774651828,0.11959840609124076
cub200,m2_target,F1,full,0,1024,205,3,4,trajectory,0.8462571729516328,0.24235385210994967,0.11149825783972125,50,5166,5084,0.23072020514847283,0.25427927504105013,0.1030398312891516,0.12039835953072946
cub200,m2_target,F1,full,0,1024,205,3,5,trajectory,0.8540984552815069,0.24816105303910183,0.12040263259775455,50,5166,5084,0.2364303899772408,0.2601768911500124,0.11164790257641209,0.12958870845916468
cub200,m2_target,F1,full,0,1024,205,3,6,trajectory,0.8578544410542454,0.2442895857530004,0.10878823073945025,50,5166,5084,0.2326232789713133,0.25624546794294845,0.10042334536167394,0.11759794233903098
cub200,m2_target,F1,full,0,1024,205,pooled,0,trajectory,0.6389311794984364,0.05008266070212973,0.013420208110473597,200,20566,20434,0.04714113825679654,0.05315217474062919,0.011892367990457148,0.015087778544787456
cub200,m2_target,F1,full,0,1024,205,pooled,1,trajectory,0.7731444255017668,0.13697364582320334,0.036516580764368374,200,20566,20434,0.13230190312963078,0.1417482602602618,0.03399442697188187,0.03917081298502528
cub200,m2_target,F1,full,0,1024,205,pooled,2,trajectory,0.8165000848884468,0.17519206457259553,0.06272488573373529,200,20566,20434,0.1700186788581322,0.18045743234389008,0.059448760631801864,0.0661252733901888
cub200,m2_target,F1,full,0,1024,205,pooled,3,trajectory,0.8313876681134618,0.19371778663814063,0.06296800544588155,200,20566,20434,0.18833571196280086,0.19918657676611592,0.059685860827743936,0.06637434138885026
cub200,m2_target,F1,full,0,1024,205,pooled,4,trajectory,0.8396499833797206,0.20616551590002918,0.06228727025187202,200,20566,20434,0.20065403599754883,0.21176017567072383,0.05902201603705473,0.06567691527306894
cub200,m2_target,F1,full,0,1024,205,pooled,5,trajectory,0.8465718945084414,0.2184187493922007,0.0653505786249149,200,20566,20434,0.21278770486276072,0.22412949548969463,0.062010176976295794,0.06881447432290486
cub200,m2_target,F1,full,0,1024,205,pooled,6,trajectory,0.8529998421589826,0.22449674219585725,0.07371389672274628,200,20566,20434,0.21880911730869929,0.23026234396636225,0.07017877506463019,0.07737007459866302
cub200,m2_target,F1,full,0,1024,205,0,0,last_round,0.6666307584515677,0.048554913294797684,0.020616570327552985,50,5190,5060,0.04286637081894013,0.05475773180001908,0.016925776862449757,0.024859303133758736
cub200,m2_target,F1,full,0,1024,205,0,1,last_round,0.7045655600996139,0.10154142581888247,0.03699421965317919,50,5190,5060,0.09345343743079125,0.1100805748141334,0.032024697470415496,0.042492720052033334
cub200,m2_target,F1,full,0,1024,205,0,2,last_round,0.7382155939896579,0.11984585741811175,0.025240847784200385,50,5190,5060,0.11112911755763794,0.1289925768432483,0.021145767335085556,0.029880945542784764
cub200,m2_target,F1,full,0,1024,205,0,3,last_round,0.7688610279726138,0.12890173410404623,0.027360308285163778,50,5190,5060,0.11989947061336248,0.138323552456611,0.023093262698124412,0.032169347541327116
cub200,m2_target,F1,full,0,1024,205,0,4,last_round,0.7781908809126703,0.15144508670520232,0.028516377649325627,50,5190,5060,0.14179392144923236,0.16148996842730182,0.02415855836470884,0.033414571633275415
cub200,m2_target,F1,full,0,1024,205,0,5,last_round,0.7905778062098746,0.17302504816955683,0.0394990366088632,50,5190,5060,0.16282357019775331,0.18359561935475485,0.0343639970102002,0.04515980578497232
cub200,m2_target,F1,full,0,1024,205,0,6,last_round,0.8059863525935403,0.18265895953757225,0.04123314065510597,50,5190,5060,0.17223127338677477,0.1934447726601362,0.035986932685121396,0.047002852600437676
cub200,m2_target,F1,full,0,1024,205,1,0,last_round,0.6627719177094652,0.07534647667382394,0.026156548897130587,50,5123,5127,0.06826457015018657,0.08291660590043028,0.021960223334975878,0.030903784493021638
cub200,m2_target,F1,full,0,1024,205,1,1,last_round,0.7797297082753155,0.13741948077298458,0.02849892641030646,50,5123,5127,0.12810263472014546,0.1471514957369533,0.024115210018110404,0.03343020273302812
cub200,m2_target,F1,full,0,1024,205,1,2,last_round,0.8336053428929017,0.19949248487214521,0.03650204958032403,50,5123,5127,0.18862558318802963,0.21070284095232705,0.03153471521410104,0.042006013807442504
cub200,m2_target,F1,full,0,1024,205,1,3,last_round,0.8286913909250423,0.22916260003903963,0.03669724770642202,50,5123,5127,0.21771281154195568,0.2409217561760455,0.0317166094711206,0.04221425677502673
cub200,m2_target,F1,full,0,1024,205,1,4,last_round,0.8356612623017746,0.21686511809486628,0.05192270154206519,50,5123,5127,0.20564637347066644,0.22840734809854835,0.04600631603467193,0.05835592974592241
cub200,m2_target,F1,full,0,1024,205,1,5,last_round,0.8605350317055135,0.23287136443490142,0.05973062658598478,50,5123,5127,0.22135466987569166,0.24469317141600228,0.053395876473105036,0.06657254958461857
cub200,m2_target,F1,full,0,1024,205,1,6,last_round,0.8620611330682035,0.22701542065196173,0.0407964083544798,50,5123,5127,0.21560494546108958,0.2387377275417489,0.03554502819745988,0.04657878180458871
cub200,m2_target,F1,full,0,1024,205,2,0,last_round,0.6168706345726143,0.03931590328287792,0.002752113229801455,50,5087,5163,0.034142864073024075,0.04502567954491438,0.0015053973747570634,0.00461327131646027
cub200,m2_target,F1,full,0,1024,205,2,1,last_round,0.7534160688277316,0.12600747002162374,0.045803027324552784,50,5087,5163,0.11700621821136253,0.13544022508160586,0.0402219474355429,0.051912417328433866
cub200,m2_target,F1,full,0,1024,205,2,2,last_round,0.7800734011085287,0.1474346373107922,0.037939846667977194,50,5087,5163,0.13779796836942468,0.15747772482882288,0.03285814382811576,0.043560106144754356
cub200,m2_target,F1,full,0,1024,205,2,3,last_round,0.789432459363572,0.174562610575978,0.06585413799882052,50,5087,5163,0.1642220771077489,0.18527796748954348,0.059190704226997945,0.07302083054389263
