dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m3_fot,F1,full,0,1024,205,0,0,trajectory,0.6576985348497871,0.056365403304178816,0.01185617103984451,50,5145,5105,0.05021959010025743,0.06302032953311651,0.009080834819070141,0.015204013708322067
cub200,m3_fot,F1,full,0,1024,205,0,1,trajectory,0.6609312503509869,0.03848396501457726,0.0025267249757045676,50,5145,5105,0.03339389281403045,0.044105740675984446,0.0013460392246374129,0.004316900857206443
cub200,m3_fot,F1,full,0,1024,205,0,2,trajectory,0.6648737636932484,0.04198250728862974,0.0023323615160349854,50,5145,5105,0.03666670489826549,0.04782547789785587,0.0012057278565146034,0.004070618133347727
cub200,m3_fot,F1,full,0,1024,205,0,3,trajectory,0.6629412464580068,0.037900874635568516,0.0027210884353741495,50,5145,5105,0.03284952785058148,0.04348468834626844,0.0014884180777469127,0.004561313543995952
cub200,m3_fot,F1,full,0,1024,205,0,4,trajectory,0.659840911319054,0.038289601554907675,0.0029154518950437317,50,5145,5105,0.03321240118374754,0.043898759615195106,0.0016326460570835052,0.004804042634909218
cub200,m3_fot,F1,full,0,1024,205,0,5,trajectory,0.6576204848806739,0.03984450923226433,0.0029154518950437317,50,5145,5105,0.03466533578758333,0.04555361352695414,0.0016326460570835052,0.004804042634909218
cub200,m3_fot,F1,full,0,1024,205,0,6,trajectory,0.6546944486483554,0.03770651117589893,0.0029154518950437317,50,5145,5105,0.032668146689450624,0.04327759760297551,0.0016326460570835052,0.004804042634909218
cub200,m3_fot,F1,full,0,1024,205,1,0,trajectory,0.672764485560802,0.06280475911839282,0.015603666861712502,50,5127,5123,0.05631672405433253,0.06979580502147918,0.0123916136951185,0.019382962890563325
cub200,m3_fot,F1,full,0,1024,205,1,1,trajectory,0.6960242059382491,0.08055393017359079,0.01930953774136922,50,5127,5123,0.07324735653198026,0.08834210866355142,0.01572084640841759,0.023459147859832167
cub200,m3_fot,F1,full,0,1024,205,1,2,trajectory,0.7077930120136889,0.0961575970353033,0.029061829529939538,50,5127,5123,0.08822201489437405,0.10455626839346725,0.02463599522450261,0.034033998879286965
cub200,m3_fot,F1,full,0,1024,205,1,3,trajectory,0.7194986937487601,0.09537741369221767,0.02730641700799688,50,5127,5123,0.08747160638749094,0.10374723120054623,0.02301862063629751,0.03214303369601427
cub200,m3_fot,F1,full,0,1024,205,1,4,trajectory,0.7285382668089211,0.10161888043690268,0.028671737858396724,50,5127,5123,0.09347933132729995,0.11021508355096331,0.02427617934255624,0.033614179847519826
cub200,m3_fot,F1,full,0,1024,205,1,5,trajectory,0.7394868371853839,0.10590988882387362,0.02301540862102594,50,5127,5123,0.09761530137245071,0.11465608721082284,0.01908663132938269,0.027499305868402667
cub200,m3_fot,F1,full,0,1024,205,1,6,trajectory,0.7490081426211092,0.10512970548078798,0.02672127950068266,50,5127,5123,0.09686297819075089,0.11384895982665674,0.022480558175493933,0.031511660064689466
cub200,m3_fot,F1,full,0,1024,205,2,0,trajectory,0.6924511872321845,0.0653126244524094,0.01752289924332935,50,5022,5228,0.05863381393167375,0.07250193865889291,0.01407698472303846,0.021544686547605964
cub200,m3_fot,F1,full,0,1024,205,2,1,trajectory,0.7013695211612135,0.06551174830744723,0.017722023098367186,50,5022,5228,0.05882314291295578,0.07271061007821306,0.014255790114984283,0.021763783188772
cub200,m3_fot,F1,full,0,1024,205,2,2,trajectory,0.7127179050281287,0.0736758263639984,0.01812027080844285,50,5022,5228,0.06660040134543121,0.0812514268295238,0.01461375785039961,0.022201625110132815
cub200,m3_fot,F1,full,0,1024,205,2,3,trajectory,0.7202988945045777,0.07168458781362007,0.016726403823178016,50,5022,5228,0.06470096183129503,0.07917083820521456,0.013363000624206069,0.020667082412643346
cub200,m3_fot,F1,full,0,1024,205,2,4,trajectory,0.7298118957535581,0.07566706491437675,0.01652727996814018,50,5022,5228,0.0685013793105004,0.08333048262270476,0.013184824776296704,0.020447366469915063
cub200,m3_fot,F1,full,0,1024,205,2,5,trajectory,0.7349806985453751,0.08124253285543608,0.02031063321385902,50,5022,5228,0.07383184222692223,0.08914414120323143,0.016590484900381227,0.024601969144466378
cub200,m3_fot,F1,full,0,1024,205,2,6,trajectory,0.7394322288739036,0.08562325766626842,0.02648347272003186,50,5022,5228,0.07802751681649707,0.09370458672347422,0.022220005815286954,0.031308600001602876
cub200,m3_fot,F1,full,0,1024,205,3,0,trajectory,0.6834235323239926,0.05878871572302229,0.015979483132767803,50,5069,5181,0.052470100985294484,0.06562112793257964,0.012709737899786569,0.019822392881146324
cub200,m3_fot,F1,full,0,1024,205,3,1,trajectory,0.6994475656896039,0.06549615308739397,0.024659696192542907,50,5069,5181,0.0588386596974584,0.07265914852183379,0.020567221332727547,0.02931124735929985
cub200,m3_fot,F1,full,0,1024,205,3,2,trajectory,0.7023427977447225,0.07141448017360426,0.025054251331623593,50,5069,5181,0.06447510561694263,0.07885210819130463,0.020928389504459292,0.029738601026255675
cub200,m3_fot,F1,full,0,1024,205,3,3,trajectory,0.7066465025458935,0.0761491418425725,0.023870585914381535,50,5069,5181,0.06899452410755466,0.08379625289500497,0.01984575493790775,0.028455679891040718
cub200,m3_fot,F1,full,0,1024,205,3,4,trajectory,0.7129226784254912,0.0866048530282107,0.01953047938449398,50,5069,5181,0.07900330329621151,0.09468627267452233,0.01590104039729814,0.0237269947057146
cub200,m3_fot,F1,full,0,1024,205,3,5,trajectory,0.7190315053535101,0.09055040441901756,0.029591635431051488,50,5069,5181,0.0827893200670575,0.09878662367648625,0.02510056027055598,0.034634628284333425
cub200,m3_fot,F1,full,0,1024,205,3,6,trajectory,0.727653117722391,0.09765239692246991,0.030183468139672518,50,5069,5181,0.08961541149904567,0.10615602638485105,0.025647059986219425,0.035270959625814655
cub200,m3_fot,F1,full,0,1024,205,pooled,0,trajectory,0.6765679678862326,0.0612385208466336,0.019005058193782842,200,20363,20637,0.05798359501241798,0.06461939414220823,0.01717401244271201,0.020975185192842943
cub200,m3_fot,F1,full,0,1024,205,pooled,1,trajectory,0.6890219756179902,0.06231891175170653,0.012228060698325395,200,20363,20637,0.05903682146610959,0.06572662943945665,0.01076395545443166,0.013833780518381262
cub200,m3_fot,F1,full,0,1024,205,pooled,2,trajectory,0.6962240795472909,0.07120758237980651,0.00903599666060993,200,20363,20637,0.0677121953924719,0.07482597423344985,0.007782214247135843,0.010432796323920605
cub200,m3_fot,F1,full,0,1024,205,pooled,3,trajectory,0.7016462396151608,0.07390855964248882,0.01065658301821932,200,20363,20637,0.07035165772271439,0.07758767275630322,0.009291940407581722,0.012163503382602768
cub200,m3_fot,F1,full,0,1024,205,pooled,4,trajectory,0.7077488012784086,0.07597112409762805,0.011098561115749153,200,20363,20637,0.07236819325498119,0.07969566091949908,0.009705219653130778,0.01263398927756685
