dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m4_proto,F2,full,1,1024,205,0,0,trajectory,0.9995676459784602,0.9964695498676082,0.9799205648720212,50,4532,3919,0.9942730852583475,0.9979807375020487,0.9754034706213904,0.9838032542603351
cub200,m4_proto,F2,full,1,1024,205,0,1,trajectory,0.9995676459784602,0.9964695498676082,0.9799205648720212,50,4532,3919,0.9942730852583475,0.9979807375020487,0.9754034706213904,0.9838032542603351
cub200,m4_proto,F2,full,1,1024,205,0,2,trajectory,0.9995676459784602,0.9964695498676082,0.9799205648720212,50,4532,3919,0.9942730852583475,0.9979807375020487,0.9754034706213904,0.9838032542603351
cub200,m4_proto,F2,full,1,1024,205,0,3,trajectory,0.9995676459784602,0.9964695498676082,0.9799205648720212,50,4532,3919,0.9942730852583475,0.9979807375020487,0.9754034706213904,0.9838032542603351
cub200,m4_proto,F2,full,1,1024,205,0,4,trajectory,0.9995676459784602,0.9964695498676082,0.9799205648720212,50,4532,3919,0.9942730852583475,0.9979807375020487,0.9754034706213904,0.9838032542603351
cub200,m4_proto,F2,full,1,1024,205,0,5,trajectory,0.9995676459784602,0.9964695498676082,0.9799205648720212,50,4532,3919,0.9942730852583475,0.9979807375020487,0.9754034706213904,0.9838032542603351
cub200,m4_proto,F2,full,1,1024,205,0,6,trajectory,0.9995676459784602,0.9964695498676082,0.9799205648720212,50,4532,3919,0.9942730852583475,0.9979807375020487,0.9754034706213904,0.9838032542603351
cub200,m4_proto,F2,full,1,1024,205,1,0,trajectory,0.9994102798609841,0.9929670329670329,0.9421978021978022,50,4550,3905,0.9900859329992083,0.9951846267910694,0.9350182536762582,0.9488029723854341
cub200,m4_proto,F2,full,1,1024,205,1,1,trajectory,0.9994102798609841,0.9929670329670329,0.9421978021978022,50,4550,3905,0.9900859329992083,0.9951846267910694,0.9350182536762582,0.9488029723854341
cub200,m4_proto,F2,full,1,1024,205,1,2,trajectory,0.9994102798609841,0.9929670329670329,0.9421978021978022,50,4550,3905,0.9900859329992083,0.9951846267910694,0.9350182536762582,0.9488029723854341
cub200,m4_proto,F2,full,1,1024,205,1,3,trajectory,0.9994102798609841,0.9929670329670329,0.9421978021978022,50,4550,3905,0.9900859329992083,0.9951846267910694,0.9350182536762582,0.9488029723854341
cub200,m4_proto,F2,full,1,1024,205,1,4,trajectory,0.9994102798609841,0.9929670329670329,0.9421978021978022,50,4550,3905,0.9900859329992083,0.9951846267910694,0.9350182536762582,0.9488029723854341
