dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,0,trajectory,0.664207961971039,0.05966353677621283,0.023474178403755867,50,5112,5138,0.05332560111964103,0.06650982945079588,0.019499836386939973,0.028004599059469188
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,1,trajectory,0.7081489847349309,0.06866197183098592,0.012128325508607199,50,5112,5138,0.06187988655774484,0.07594141821018668,0.009311013387076418,0.015521334157644407
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,2,trajectory,0.7477955075289765,0.10289514866979656,0.026604068857589983,50,5112,5138,0.09469721588243649,0.11154957964629927,0.022366901323673114,0.031392699690274306
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,3,trajectory,0.782541334900106,0.1613849765258216,0.05496870109546166,50,5112,5138,0.1513978831802646,0.17176030282079652,0.04887859538709178,0.06157297177774326
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,4,trajectory,0.8176497297438887,0.2222222222222222,0.07257433489827857,50,5112,5138,0.21088896051747377,0.23387350406812132,0.0656102589760406,0.08003103548910294
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,5,trajectory,0.8440359839935769,0.2681924882629108,0.1068075117370892,50,5112,5138,0.25608543783962673,0.2805647464572667,0.09846903337987102,0.11559787897167678
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,6,trajectory,0.8641737268905593,0.31103286384976525,0.14788732394366197,50,5112,5138,0.29835608624333637,0.32392573875357356,0.13826139961815018,0.15791714097399562
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,0,trajectory,0.6735123751748195,0.05827552031714569,0.01684836471754212,50,5045,5205,0.05196920384030435,0.06509874367539824,0.013479472909915307,0.02079163970599817
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,1,trajectory,0.7282890108142948,0.09593657086223985,0.024182358771060456,50,5045,5205,0.08794636843570398,0.10439771176464965,0.020121466416709387,0.02880574489331537
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,2,trajectory,0.7657593093474769,0.12408325074331021,0.03310208126858275,50,5045,5205,0.11510640737143547,0.13349749298905278,0.02833804016565734,0.03841578639973007
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,3,trajectory,0.7889903452977002,0.14608523290386521,0.057482656095143705,50,5045,5205,0.13644693345073308,0.15613494478678736,0.05121821999028774,0.06426499226902521
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,4,trajectory,0.8102507214131415,0.18334985133795836,0.07393458870168483,50,5045,5205,0.1727586243821242,0.19430874917004295,0.06686317312107594,0.08150356368891813
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,5,trajectory,0.8261705362591623,0.19345887016848365,0.07928642220019821,50,5045,5205,0.18263954776716798,0.2046340381952547,0.07197681241971025,0.08708706872806805
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,6,trajectory,0.8372674745732214,0.21209117938553024,0.07710604558969276,50,5045,5205,0.2008809565995547,0.2236354856983347,0.06989221318346565,0.08481356772376393
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,0,trajectory,0.662204841080063,0.05681170435113053,0.011970359110773323,50,5263,4987,0.05071001478640836,0.06341044852339277,0.009210274887497963,0.015289629459649016
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,1,trajectory,0.7211394505059535,0.09557286718601558,0.02299068972069162,50,5263,4987,0.08776072675413606,0.10383671421065194,0.019112839001275653,0.027409147262092586
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,2,trajectory,0.7809653379234422,0.148014440433213,0.0554816644499335,50,5263,4987,0.1385225827363268,0.1578983888155924,0.04944999369467677,0.06201198987179908
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,3,trajectory,0.8144325159913209,0.1892456773703211,0.08702261067832034,50,5263,4987,0.17874269425333136,0.20009440719500252,0.07954304505919416,0.09496373859190493
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,4,trajectory,0.8372380768375126,0.23180695420862626,0.09177275318259548,50,5263,4987,0.22046247359459803,0.2434495780407219,0.08410587670644895,0.09989570954914767
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,5,trajectory,0.8515120502742815,0.2623978719361581,0.10146304389131675,50,5263,4987,0.2505515947589088,0.27450816841584585,0.09343326192419414,0.1099377733926715
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,6,trajectory,0.8639789692988965,0.28082842485274556,0.10811324339730193,50,5263,4987,0.2687162692148452,0.29318406672807173,0.09984794599291702,0.11681588211096396
cub200,m5_hybrid_replay,F1,full,1,1024,205,3,0,trajectory,0.6731294912903761,0.057417205565353714,0.017048794826572605,50,5103,5147,0.05119100567505179,0.06415544440507344,0.013677336989101478,0.020987649648496105
cub200,m5_hybrid_replay,F1,full,1,1024,205,3,1,trajectory,0.7436896683707124,0.10856359004507153,0.042915931804820694,50,5103,5147,0.10015590674528697,0.11742189510678477,0.03752032987627377,0.04884188011268199
cub200,m5_hybrid_replay,F1,full,1,1024,205,3,2,trajectory,0.8030346381921194,0.1738193219674701,0.0877914951989026,50,5103,5147,0.1635128032019919,0.18450034320288455,0.08016652025172542,0.09589170184378776
cub200,m5_hybrid_replay,F1,full,1,1024,205,3,3,trajectory,0.8453507255110491,0.2478933960415442,0.1467764060356653,50,5103,5147,0.23609530158887795,0.25998051219040874,0.13717304912030745,0.15678566548287234
cub200,m5_hybrid_replay,F1,full,1,1024,205,3,4,trajectory,0.872982482751568,0.30648638056045463,0.16186556927297668,50,5103,5147,0.29385266453062914,0.31934179434912546,0.15185736969208588,0.1722621327818552
cub200,m5_hybrid_replay,F1,full,1,1024,205,3,5,trajectory,0.8913889325779747,0.3388203017832647,0.17577895355673134,50,5103,5147,0.3258314362859818,0.3519937735676053,0.16542528891955932,0.18650485067394384
cub200,m5_hybrid_replay,F1,full,1,1024,205,3,6,trajectory,0.9033386114317833,0.3664511071918479,0.20262590632961003,50,5103,5147,0.3532125946296752,0.37984255264421984,0.19167198905324398,0.21392101316594575
cub200,m5_hybrid_replay,F1,full,1,1024,205,pooled,0,trajectory,0.6682824616809572,0.05730156409881596,0.01763874677191444,200,20523,20477,0.05416030608418606,0.06056894283933467,0.01588203096631312,0.01953392892393612
cub200,m5_hybrid_replay,F1,full,1,1024,205,pooled,1,trajectory,0.724370070652629,0.0895580568143059,0.025873410320128635,200,20523,20477,0.08568536483623498,0.09354746265461085,0.023744403732903693,0.0281381152295025
cub200,m5_hybrid_replay,F1,full,1,1024,205,pooled,2,trajectory,0.7733848021905065,0.13375237538371584,0.048774545631730254,200,20523,20477,0.129123197795361,0.1384855628294092,0.04586737252668061,0.051810370062597685
cub200,m5_hybrid_replay,F1,full,1,1024,205,pooled,3,trajectory,0.8071649494116794,0.174828241485163,0.08083613506797252,200,20523,20477,0.16965377086863545,0.1800949911713652,0.07714204033447261,0.08464947004138121
cub200,m5_hybrid_replay,F1,full,1,1024,205,pooled,4,trajectory,0.8342918366219668,0.2224333674414072,0.09238415436339717,200,20523,20477,0.21675883435715998,0.22818662792008373,0.08845606660737941,0.09642813923188479
cub200,m5_hybrid_replay,F1,full,1,1024,205,pooled,5,trajectory,0.8535342855910459,0.25322808556253956,0.10558885153242703,200,20523,20477,0.24728954366200437,0.2592366032398435,0.1014161539524166,0.10987363967769907
cub200,m5_hybrid_replay,F1,full,1,1024,205,pooled,6,trajectory,0.8678098109967639,0.285192223359158,0.13248550406860596,200,20523,20477,0.2790214412652085,0.29142390524794315,0.1278752240395674,0.137200156618402
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,0,last_round,0.664207961971039,0.05966353677621283,0.023474178403755867,50,5112,5138,0.05332560111964103,0.06650982945079588,0.019499836386939973,0.028004599059469188
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,1,last_round,0.6843118962031346,0.046948356807511735,0.005477308294209703,50,5112,5138,0.04131214971228167,0.05310880456315966,0.0036426257393398368,0.007906577268734364
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,2,last_round,0.7048767780768779,0.0903755868544601,0.022300469483568074,50,5112,5138,0.08265355595675508,0.09856893295469119,0.018429497807114014,0.026729305448155927
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,3,last_round,0.7576564061937474,0.14690923317683882,0.044209702660406885,50,5112,5138,0.13731052907555494,0.15691296638744032,0.03873865283591841,0.05020849046808971
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,4,last_round,0.8206241307975007,0.2222222222222222,0.0782472613458529,50,5112,5138,0.21088896051747377,0.23387350406812132,0.07102986744184316,0.08595045036494105
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,5,last_round,0.8533626067638042,0.27992957746478875,0.11737089201877934,50,5112,5138,0.2676528844146046,0.2924580151027181,0.10867027079939187,0.12651099730200532
cub200,m5_hybrid_replay,F1,full,1,1024,205,0,6,last_round,0.8754766717166457,0.3257042253521127,0.1637323943661972,50,5112,5138,0.3128622940419006,0.3387454517960338,0.1536851241330993,0.1741651780504982
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,0,last_round,0.6735123751748195,0.05827552031714569,0.01684836471754212,50,5045,5205,0.05196920384030435,0.06509874367539824,0.013479472909915307,0.02079163970599817
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,1,last_round,0.7277804657220462,0.08999008919722498,0.027353815659068383,50,5045,5205,0.08223333263017958,0.09822493341366685,0.02302893814753868,0.032236486211284
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,2,last_round,0.7453002516258572,0.11793855302279485,0.04321110009910803,50,5045,5205,0.10916227594050151,0.1271595171386196,0.03776703798981295,0.04919128689950504
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,3,last_round,0.7705450179889163,0.133597621407334,0.06362735381565907,50,5045,5205,0.12432441549930304,0.14329696977285283,0.05704686564843683,0.07071808361403562
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,4,last_round,0.8035377662516696,0.18037661050545095,0.0711595639246779,50,5045,5205,0.16985475210911807,0.19126962057921315,0.06421593465225385,0.07860415004450512
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,5,last_round,0.8275384364923184,0.21030723488602576,0.06997026759167492,50,5045,5205,0.1991328647548348,0.2218177704762102,0.06308235166633538,0.0773605999603419
cub200,m5_hybrid_replay,F1,full,1,1024,205,1,6,last_round,0.8427683985342294,0.22081268582755204,0.09851337958374629,50,5045,5205,0.20943175506655076,0.23251752633861908,0.0904250325526132,0.10706957543273554
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,0,last_round,0.662204841080063,0.05681170435113053,0.011970359110773323,50,5263,4987,0.05071001478640836,0.06341044852339277,0.009210274887497963,0.015289629459649016
cub200,m5_hybrid_replay,F1,full,1,1024,205,2,1,last_round,0.724889119843838,0.10583317499524986,0.027930837925137755,50,5263,4987,0.0976474592550778,0.11445883714854616,0.023647544574056885,0.03274771872611972
