dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m0_fedavg,F1,full,3,4096,819,0,0,trajectory,0.6968770877840126,0.09283276450511946,0.03232569478303267,50,20510,20440,0.0888947513359146,0.09688661887885545,0.029947303651648896,0.03483782428833706
imagenet_r,m0_fedavg,F1,full,3,4096,819,0,1,trajectory,0.7147339420129172,0.09492930277913213,0.01808873720136519,50,20510,20440,0.0909510412285014,0.09902279984700148,0.016308994785250462,0.020006875687362032
imagenet_r,m0_fedavg,F1,full,3,4096,819,0,2,trajectory,0.71850239155927,0.08469039492930278,0.015699658703071672,50,20510,20440,0.08091471256116514,0.0885842751524668,0.01404292081767693,0.01749565065955631
imagenet_r,m0_fedavg,F1,full,3,4096,819,0,3,trajectory,0.7169917566821015,0.08205753291077524,0.012042905899561189,50,20510,20440,0.07833652743743706,0.08589749993085516,0.010595212339873336,0.01363126399321022
imagenet_r,m0_fedavg,F1,full,3,4096,819,0,4,trajectory,0.7118951759487282,0.08171623598244758,0.010433934666016578,50,20510,20440,0.07800240121104353,0.08554913136369949,0.009088662552060523,0.011920550610242582
imagenet_r,m0_fedavg,F1,full,3,4096,819,0,5,trajectory,0.7067916013476315,0.0786933203315456,0.009800097513408093,50,20510,20440,0.07504385686095404,0.08246272253081084,0.008497398095151534,0.011244422948527049
imagenet_r,m0_fedavg,F1,full,3,4096,819,0,6,trajectory,0.7019580563535901,0.07976596782057532,0.008142369575816676,50,20510,20440,0.07609348384048492,0.083558078790821,0.006958223974569351,0.009468933035874526
imagenet_r,m0_fedavg,F1,full,3,4096,819,1,0,trajectory,0.6466107739492264,0.051271996470761236,0.009362286162443018,50,20401,20549,0.048285161566599934,0.05438750736190664,0.008086554911500754,0.010780610896874834
imagenet_r,m0_fedavg,F1,full,3,4096,819,1,1,trajectory,0.6752164600752527,0.058134405176216854,0.006911425910494584,50,20401,20549,0.05496209278207284,0.06143334898765893,0.005820791782663741,0.008145911298857033
imagenet_r,m0_fedavg,F1,full,3,4096,819,1,2,trajectory,0.6805666990972803,0.06406548698593206,0.0051958237341306794,50,20401,20549,0.06074314236405681,0.06751270811846635,0.004255816996920567,0.006280776273307552
imagenet_r,m0_fedavg,F1,full,3,4096,819,1,3,trajectory,0.6786706976720244,0.06234988480956816,0.006225185039949022,50,20401,20549,0.0590700429282461,0.06575510982950013,0.0051922210527664825,0.007402408269900167
imagenet_r,m0_fedavg,F1,full,3,4096,819,1,4,trajectory,0.6755573764179927,0.06328121170530857,0.005440909759325523,50,20401,20549,0.05997820998823022,0.06670932144116122,0.0044779775149615016,0.006548614438542606
