dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m1_glfc,F1,full,1,1024,205,0,0,trajectory,0.6864482828044086,0.07653260445138618,0.014252245216712221,50,5122,5128,0.06939735096638332,0.08415475253654729,0.011187678188410767,0.017887121554562492
imagenet_r,m1_glfc,F1,full,1,1024,205,0,1,trajectory,0.6902243983160342,0.07594689574385007,0.02342834830144475,50,5122,5128,0.0688375860036146,0.08354380313846616,0.019461692206510176,0.02795005066710003
imagenet_r,m1_glfc,F1,full,1,1024,205,0,2,trajectory,0.6962394104901252,0.08785630613041781,0.021085513471300273,50,5122,5128,0.08024260043250978,0.09594338989222957,0.01732814047646965,0.025401527959283784
imagenet_r,m1_glfc,F1,full,1,1024,205,0,3,trajectory,0.7032375711272105,0.09547051932838735,0.02479500195236236,50,5122,5128,0.08755735798678596,0.10384803720275443,0.020711401288520948,0.029431612733084325
imagenet_r,m1_glfc,F1,full,1,1024,205,0,4,trajectory,0.7101079982285586,0.09527528309254198,0.02889496290511519,50,5122,5128,0.08736959715719729,0.10364555631756746,0.024479984867195402,0.03385705086492297
imagenet_r,m1_glfc,F1,full,1,1024,205,0,5,trajectory,0.7161091139077035,0.10698945724326435,0.02967590784849668,50,5122,5128,0.09865255215924464,0.11577714892013842,0.025200760782085652,0.03469707016371682
imagenet_r,m1_glfc,F1,full,1,1024,205,0,6,trajectory,0.7218153193132801,0.11011323701679032,0.03104256149941429,50,5122,5128,0.10166691852677805,0.1190066755746494,0.026464158612009608,0.03616508265026557
imagenet_r,m1_glfc,F1,full,1,1024,205,1,0,trajectory,0.6056034207058884,0.04009342156481121,0.01012066952121448,50,5138,5112,0.03489470974091117,0.045822470845674715,0.007567577988158102,0.013250971149139422
imagenet_r,m1_glfc,F1,full,1,1024,205,1,1,trajectory,0.6320339536461884,0.04418061502530168,0.015375632541845076,50,5138,5112,0.03872478256306928,0.050161523492722904,0.012191432702327563,0.019126251750681483
imagenet_r,m1_glfc,F1,full,1,1024,205,1,2,trajectory,0.6490584058392133,0.05624756714674971,0.023355391202802646,50,5138,5112,0.05010394606832044,0.06290114680878761,0.019400970950638443,0.027863213865041953
imagenet_r,m1_glfc,F1,full,1,1024,205,1,3,trajectory,0.658476098796838,0.05994550408719346,0.022576878162709226,50,5138,5112,0.05360875181309857,0.0667876717156111,0.01869071918144899,0.027017615674279283
imagenet_r,m1_glfc,F1,full,1,1024,205,1,4,trajectory,0.6689959618443327,0.07006617360840794,0.0270533281432464,50,5138,5112,0.06323501145650863,0.07739046430209247,0.022790206592311395,0.03186444059357569
