dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m2_target,F1,full,1,1024,205,0,0,trajectory,0.6927981470666477,0.08001568935085311,0.019219454795057853,50,5099,5151,0.07271260849312938,0.08780368773355911,0.015630128237533156,0.02337297652447512
imagenet_r,m2_target,F1,full,1,1024,205,0,1,trajectory,0.7842955644041038,0.14885271621886645,0.05000980584428319,50,5099,5151,0.13918791015474566,0.15892132682937193,0.04418819630240736,0.05635312373510591
imagenet_r,m2_target,F1,full,1,1024,205,0,2,trajectory,0.8059910948237516,0.18474210629535204,0.06314963718376153,50,5099,5151,0.17417468917859946,0.19567166632966151,0.056627016756033745,0.07017763261488669
imagenet_r,m2_target,F1,full,1,1024,205,0,3,trajectory,0.8156861069861586,0.18905667777995686,0.0588350656991567,50,5099,5151,0.1783917004034629,0.20007880408886297,0.0525321825452379,0.06564863765428083
imagenet_r,m2_target,F1,full,1,1024,205,0,4,trajectory,0.821112197857304,0.19748970386350265,0.06824867621102176,50,5099,5151,0.18664013451897474,0.20868666828534022,0.06147776756540467,0.07551872819785421
imagenet_r,m2_target,F1,full,1,1024,205,0,5,trajectory,0.8255457872771808,0.20533437929005688,0.07393606589527359,50,5099,5151,0.1943200497410632,0.21668703829525243,0.06690132145074726,0.08146305413057515
imagenet_r,m2_target,F1,full,1,1024,205,0,6,trajectory,0.8288362181856892,0.21768974308687977,0.07844675426554226,50,5099,5151,0.2064288078484494,0.2292747428402445,0.07121164964970209,0.08616866271932064
imagenet_r,m2_target,F1,full,1,1024,205,1,0,trajectory,0.6263558799342105,0.0458984375,0.008984375,50,5120,5130,0.04032910478462001,0.05199251780138735,0.006584986925045499,0.011965903467588957
imagenet_r,m2_target,F1,full,1,1024,205,1,1,trajectory,0.7050866532651072,0.0974609375,0.02734375,50,5120,5130,0.089470613642754,0.1059134487159684,0.023050157629491107,0.03218686970068832
imagenet_r,m2_target,F1,full,1,1024,205,1,2,trajectory,0.7343600755360624,0.11875,0.0326171875,50,5120,5130,0.11001059027562426,0.1279265892889243,0.027921967812507137,0.037854580809794994
imagenet_r,m2_target,F1,full,1,1024,205,1,3,trajectory,0.7542157422636452,0.1333984375,0.040234375,50,5120,5130,0.124198527131709,0.14301843946138018,0.035017706901008895,0.045983082287654034
imagenet_r,m2_target,F1,full,1,1024,205,1,4,trajectory,0.767051238121345,0.13984375,0.046875,50,5120,5130,0.130453400752902,0.14964669506105374,0.04124741580801673,0.05302609027508405
imagenet_r,m2_target,F1,full,1,1024,205,1,5,trajectory,0.7757426062987329,0.1498046875,0.0658203125,50,5120,5130,0.14013330743915178,0.15987710175785994,0.05917952692984078,0.072961125453928
imagenet_r,m2_target,F1,full,1,1024,205,1,6,trajectory,0.7823147386695907,0.1623046875,0.0685546875,50,5120,5130,0.15230167258302563,0.1726942611792906,0.061782858532789406,0.07582322365997975
imagenet_r,m2_target,F1,full,1,1024,205,2,0,trajectory,0.662390392857219,0.07669789227166277,0.02146760343481655,50,5124,5126,0.06955670516043475,0.08432558411182028,0.01767598844914042,0.02581704232201294
imagenet_r,m2_target,F1,full,1,1024,205,2,1,trajectory,0.7350658411922747,0.12217017954722872,0.04625292740046839,50,5124,5126,0.11332301012261352,0.1314501910820341,0.04066448592843987,0.052365251734336496
imagenet_r,m2_target,F1,full,1,1024,205,2,2,trajectory,0.7582012138755965,0.13563622170179548,0.05737704918032787,50,5124,5126,0.12637296608356252,0.145316636977797,0.051165407977958405,0.06409866044084789
imagenet_r,m2_target,F1,full,1,1024,205,2,3,trajectory,0.7747482793479417,0.13700234192037472,0.049765807962529274,50,5124,5126,0.12769867153294787,0.14672158433834182,0.043971967897232116,0.056079091788970636
imagenet_r,m2_target,F1,full,1,1024,205,2,4,trajectory,0.7852831518489719,0.14422326307572209,0.04800936768149883,50,5124,5126,0.13471110101081313,0.1541426143617498,0.04231714515620589,0.0542232474221828
imagenet_r,m2_target,F1,full,1,1024,205,2,5,trajectory,0.79285974702143,0.14578454332552693,0.04800936768149883,50,5124,5126,0.13622840248373214,0.15574606275065844,0.04231714515620589,0.0542232474221828
imagenet_r,m2_target,F1,full,1,1024,205,2,6,trajectory,0.8000510857842175,0.14910226385636222,0.05035128805620609,50,5124,5126,0.13945392255716518,0.15915213818319188,0.04452403732616098,0.05669724725637234
imagenet_r,m2_target,F1,full,1,1024,205,3,0,trajectory,0.6347171213923425,0.04792820316975368,0.013557380179492075,50,5237,5013,0.04230065245222656,0.054066141059545596,0.010603199220430713,0.01707042910959629
