dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,0,0,trajectory,0.6824734510268508,0.06440142236270249,0.02192809166337416,50,5062,5188,0.05779330265469706,0.0715170989233755,0.018072509066393627,0.026347711188007307
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,0,1,trajectory,0.7574992985971639,0.1185302252074279,0.04148557882259976,50,5062,5188,0.10974887488571056,0.12775405879035795,0.03615941249499013,0.04734830406100791
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,0,2,trajectory,0.7886652311644018,0.16890557092058475,0.060450414855788226,50,5062,5188,0.15867863928047657,0.17951579754536764,0.054041450180235866,0.06737182702183939
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,0,3,trajectory,0.8146158033598491,0.21394705649940735,0.076451995258791,50,5062,5188,0.2027186561092527,0.22550625417450168,0.06927904827060191,0.08411775438583055
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,0,4,trajectory,0.838635575761102,0.25582773607269854,0.09956538917423943,50,5062,5188,0.24385268572965227,0.2680849591971264,0.09145090285450044,0.1081448856551091
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,0,5,trajectory,0.8499608707082296,0.27716317661003553,0.12445673646779928,50,5062,5188,0.2648654016006192,0.28971839921070613,0.11548284024003451,0.13386611174985208
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,0,6,trajectory,0.8564310643624301,0.3050177795337811,0.14658237850651917,50,5062,5188,0.2923509800815219,0.31790978025550864,0.13694610275733282,0.1566280928135365
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,1,0,trajectory,0.6853422553771695,0.05285493827160494,0.020061728395061727,50,5184,5066,0.04692100437173884,0.059298423792973225,0.01642056434354825,0.024256350692797874
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,1,1,trajectory,0.7765762384061256,0.1415895061728395,0.05652006172839506,50,5184,5066,0.1322065318019247,0.15137794760508724,0.05038863261285002,0.06315654841661958
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,1,2,trajectory,0.8172035002168901,0.18981481481481483,0.0920138888888889,50,5184,5066,0.1792201523644037,0.2007598748070847,0.08428045042998435,0.10021012856162546
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,1,3,trajectory,0.8440166195113392,0.2523148148148148,0.13503086419753085,50,5184,5066,0.24053692692280285,0.2643721789353856,0.1258386081887964,0.14463611618587657
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,1,4,trajectory,0.8576552241888553,0.29031635802469136,0.16550925925925927,50,5184,5066,0.2779845938684153,0.302884611027725,0.15548657984114012,0.1759100372392521
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,1,5,trajectory,0.8660214108947084,0.32600308641975306,0.18942901234567902,50,5184,5066,0.3132473979039581,0.3389549518481954,0.17884288014246547,0.20036598111546192
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,1,6,trajectory,0.871209410777734,0.33892746913580246,0.19386574074074073,50,5184,5066,0.32603941713399237,0.35199710878539175,0.18318251723123985,0.20489475318322672
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,2,0,trajectory,0.698330898200164,0.08878504672897196,0.029595015576323987,50,5136,5114,0.08114415879080565,0.09689691242080986,0.02513191622319301,0.03460273529105651
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,2,1,trajectory,0.7552883432200653,0.13473520249221183,0.041082554517133954,50,5136,5114,0.12550943716570193,0.14437819147169084,0.03581931649412012,0.0468750564891039
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,2,2,trajectory,0.7942545096412389,0.17893302180685358,0.06658878504672897,50,5136,5114,0.16853773803457114,0.189694503966722,0.05992100911046811,0.07375408536817042
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,2,3,trajectory,0.8145531111833986,0.20969626168224298,0.09423676012461059,50,5136,5114,0.19863290814906026,0.2210904928717166,0.08638155090950053,0.10255650522743157
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,2,4,trajectory,0.8268400636820067,0.21884735202492211,0.10883956386292835,50,5136,5114,0.20760455697804303,0.23041053855070118,0.10044887045286365,0.11767764016197826
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,2,5,trajectory,0.8367656299304213,0.23851246105919002,0.12110591900311526,50,5136,5114,0.22691102228643992,0.25041178224826144,0.11230323637947656,0.13034166491878574
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,2,6,trajectory,0.8447107278048044,0.2675233644859813,0.1281152647975078,50,5136,5114,0.2554545084688784,0.27985694699427743,0.11909073906459304,0.13756469954870118
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,3,0,trajectory,0.6884655853958074,0.09395841506473127,0.05100039231071008,50,5098,5152,0.08608528129264767,0.10229990449620642,0.045121844926160795,0.05739950227306318
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,3,1,trajectory,0.7502576442716544,0.1514319340918007,0.07140054923499412,50,5098,5152,0.14169538782588487,0.16156936131502161,0.06448114912236735,0.07881536102062027
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,3,2,trajectory,0.7812045020090694,0.18105139270302079,0.10180462926637897,50,5098,5152,0.1705681421043349,0.19190113249860744,0.0936355216955684,0.11043278780894182
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,3,3,trajectory,0.8014422368167763,0.20380541388779913,0.12652020400156924,50,5098,5152,0.19282161612741297,0.21512937456616799,0.11751240992800435,0.13595796338059873
imagenet_r,m5_hybrid_replay,F1,full,2,1024,205,3,4,trajectory,0.8164198327684221,0.22263632797175362,0.14280109846998823,50,5098,5152,0.21127978598375485,0.23431129030434591,0.1333054937335123,0.152707640590714
