dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m8_analytic,F5,global,0,1024,205,0,0,trajectory,1.0,1.0,1.0,50,5206,5044,0.999291668685093,1.0,0.999291668685093,1.0
imagenet_r,m8_analytic,F5,global,0,1024,205,0,1,trajectory,1.0,1.0,1.0,50,5206,5044,0.999291668685093,1.0,0.999291668685093,1.0
imagenet_r,m8_analytic,F5,global,0,1024,205,0,2,trajectory,1.0,1.0,1.0,50,5206,5044,0.999291668685093,1.0,0.999291668685093,1.0
imagenet_r,m8_analytic,F5,global,0,1024,205,0,3,trajectory,1.0,1.0,1.0,50,5206,5044,0.999291668685093,1.0,0.999291668685093,1.0
imagenet_r,m8_analytic,F5,global,0,1024,205,0,4,trajectory,0.9999998476716458,1.0,1.0,50,5206,5044,0.999291668685093,1.0,0.999291668685093,1.0
imagenet_r,m8_analytic,F5,global,0,1024,205,0,5,trajectory,0.9999995430149377,1.0,0.9998079139454475,50,5206,5044,0.999291668685093,1.0,0.9989302347982719,0.9999951368139797
imagenet_r,m8_analytic,F5,global,0,1024,205,0,6,trajectory,0.9999990860298752,1.0,0.9998079139454475,50,5206,5044,0.999291668685093,1.0,0.9989302347982719,0.9999951368139797
imagenet_r,m8_analytic,F5,global,0,1024,205,1,0,trajectory,0.9999435726529318,0.9988387845945423,0.9910973485581576,50,5167,5083,0.9974742491948766,0.9995737389703716,0.9881427782600447,0.993474977305824
imagenet_r,m8_analytic,F5,global,0,1024,205,1,1,trajectory,0.9999301321309917,0.9986452486936327,0.9885813818463325,50,5167,5083,0.9972106991192868,0.9994551517105569,0.9852952357457122,0.9912965692016762
imagenet_r,m8_analytic,F5,global,0,1024,205,1,2,trajectory,0.9999149782280679,0.9982581768918134,0.987807238242694,50,5167,5083,0.9966960637145916,0.9992032279491473,0.9844267841732997,0.9906183767627463
imagenet_r,m8_analytic,F5,global,0,1024,205,1,3,trajectory,0.999901271180197,0.9972904973872654,0.9854848074317786,50,5167,5083,0.9954580897190263,0.9985179225773152,0.9818386333620863,0.9885662208964792
imagenet_r,m8_analytic,F5,global,0,1024,205,1,4,trajectory,0.9998862315026721,0.9967098896845364,0.9841300561254113,50,5167,5083,0.9947374242249815,0.9980822573129808,0.9803390242297464,0.9873587863544235
imagenet_r,m8_analytic,F5,global,0,1024,205,1,5,trajectory,0.9998686788663708,0.9957422101799884,0.9823882330172247,50,5167,5083,0.9935607110626272,0.997329800457752,0.9784201527469711,0.9857970142930216
imagenet_r,m8_analytic,F5,global,0,1024,205,1,6,trajectory,0.9998496793750165,0.9945809947745307,0.9802593381072189,50,5167,5083,0.9921774823301737,0.9963961796913658,0.9760869574881031,0.9838759011794572
imagenet_r,m8_analytic,F5,global,0,1024,205,2,0,trajectory,0.9997238154781284,0.9949029602038816,0.9670652813173888,50,5101,5149,0.992540514273861,0.9966678234198034,0.9617948140239706,0.9717919645785763
imagenet_r,m8_analytic,F5,global,0,1024,205,2,1,trajectory,0.9996187328643475,0.9923544403058224,0.9633405214663792,50,5101,5149,0.9895629459586486,0.9945577735975363,0.9578133397762468,0.9683289415246281
imagenet_r,m8_analytic,F5,global,0,1024,205,2,2,trajectory,0.9994944993249394,0.9866692805332288,0.9527543618898255,50,5101,5149,0.9831303570361813,0.9896337075980458,0.9465696439470516,0.9584140753706448
imagenet_r,m8_analytic,F5,global,0,1024,205,2,3,trajectory,0.9993676767935975,0.9831405606743776,0.9484414820623407,50,5101,5149,0.9792200894490222,0.9864930796656207,0.9420135852078723,0.9543498274525866
imagenet_r,m8_analytic,F5,global,0,1024,205,2,4,trajectory,0.9992339629749025,0.9780435208782592,0.9474612821015487,50,5101,5149,0.9736398323647636,0.9818875930129073,0.9409798082637439,0.9534244346462578
imagenet_r,m8_analytic,F5,global,0,1024,205,2,5,trajectory,0.9991083587927059,0.9754950009801999,0.9394236424230543,50,5101,5149,0.9708721940447879,0.9795620583258858,0.9325238349323464,0.9458151118886151
imagenet_r,m8_analytic,F5,global,0,1024,205,2,6,trajectory,0.9989824119498121,0.9721623211135072,0.930013722799451,50,5101,5149,0.9672707895803744,0.9765029584622777,0.922665288793677,0.9368653232327167
imagenet_r,m8_analytic,F5,global,0,1024,205,3,0,trajectory,0.9995720629277658,0.9890923256719907,0.9579275418776783,50,5134,5116,0.9858585790206792,0.9917502330502627,0.9520723658946201,0.9632545236539171
imagenet_r,m8_analytic,F5,global,0,1024,205,3,1,trajectory,0.9994784802477344,0.985391507596416,0.9524737047136735,50,5134,5116,0.9817221144395766,0.9884926192892576,0.9462939221760759,0.958132246991799
imagenet_r,m8_analytic,F5,global,0,1024,205,3,2,trajectory,0.9993567618473845,0.9828593689131282,0.9407869107908063,50,5134,5116,0.9789243763461485,0.986230605432438,0.9339787324385916,0.9470883784145461
imagenet_r,m8_analytic,F5,global,0,1024,205,3,3,trajectory,0.9992379750444156,0.9807167900272692,0.9261784183872225,50,5134,5116,0.9765727700801792,0.9843006253254675,0.9186833491750673,0.9331844904280224
imagenet_r,m8_analytic,F5,global,0,1024,205,3,4,trajectory,0.9991088324688802,0.9764316322555512,0.9228671601090768,50,5134,5116,0.9719037523507336,0.9804059918797406,0.9152286215896714,0.9300206698464442
imagenet_r,m8_analytic,F5,global,0,1024,205,3,5,trajectory,0.9989763775690311,0.9731203739774056,0.9314374756525127,50,5134,5116,0.9683209664957224,0.9773711090540415,0.9241789753065437,0.9382006445927541
imagenet_r,m8_analytic,F5,global,0,1024,205,3,6,trajectory,0.9988159392396365,0.970783015192832,0.9304635761589404,50,5134,5116,0.9658027437232505,0.9752179234647809,0.9231604209756933,0.9372725761190657
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,0,trajectory,0.9998748757657369,0.9969914596273292,0.9830648291925466,200,20608,20392,0.9961448235572986,0.9976926150382126,0.9812091910305697,0.984782327601472
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,1,trajectory,0.9998375755038208,0.9961180124223602,0.9769021739130435,200,20608,20392,0.9951708255506013,0.996920661370324,0.9747584810922315,0.9789098293746779
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,2,trajectory,0.9997936551890402,0.9949048913043478,0.9735054347826086,200,20608,20392,0.9938353717647943,0.9958308708047685,0.9712205442171041,0.9756553901489741
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,3,trajectory,0.9997472053572951,0.9934006211180124,0.9714673913043478,200,20608,20392,0.9921983901898545,0.9944602858471661,0.9691024670405128,0.9736980290534362
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,4,trajectory,0.99969666498965,0.99121700310559,0.9662752329192547,200,20608,20392,0.9898470974673861,0.9924454913749439,0.9637196193785258,0.9686981812904436
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,5,trajectory,0.9996466409956468,0.9890333850931677,0.9617138975155279,200,20608,20392,0.9875160957408168,0.9904102391508401,0.959003847202581,0.964292679706557
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,6,trajectory,0.9995905751920738,0.9876746894409938,0.9609375,200,20608,20392,0.9860732699727469,0.9891362342483685,0.9582022133830023,0.9635417543241211
imagenet_r,m8_analytic,F5,global,0,1024,205,0,0,last_round,1.0,1.0,1.0,50,5206,5044,0.999291668685093,1.0,0.999291668685093,1.0
imagenet_r,m8_analytic,F5,global,0,1024,205,0,1,last_round,0.9999827107318068,0.9998079139454475,0.9967345370726085,50,5206,5044,0.9989302347982719,0.9999951368139797,0.9947768093157068,0.9980966322349487
imagenet_r,m8_analytic,F5,global,0,1024,205,0,2,last_round,0.9998900189283213,0.9978870533999231,0.9852093737994622,50,5206,5044,0.9962225071502164,0.9989447675234163,0.9815484890020544,0.988310309804965
imagenet_r,m8_analytic,F5,global,0,1024,205,0,3,last_round,0.9996577943524567,0.9900115251632732,0.9656165962351133,50,5206,5044,0.9869218407524873,0.9925313847215541,0.9603027225467397,0.9703997120163981
imagenet_r,m8_analytic,F5,global,0,1024,205,0,4,last_round,0.9992492497066917,0.9782942758355744,0.9400691509796388,50,5206,5044,0.9739612420289107,0.9820787654787444,0.9332748688809672,0.9463646624960005
imagenet_r,m8_analytic,F5,global,0,1024,205,0,5,last_round,0.9986368516410181,0.9650403380714561,0.9139454475605071,50,5206,5044,0.9596870803310739,0.9698635984834906,0.9059972303447081,0.9214258772001869
imagenet_r,m8_analytic,F5,global,0,1024,205,0,6,last_round,0.9978949744743377,0.949289281598156,0.8901267767960046,50,5206,5044,0.9429765725555943,0.955091977284892,0.8813159607974875,0.8984974605616664
imagenet_r,m8_analytic,F5,global,0,1024,205,1,0,last_round,0.9999435726529318,0.9988387845945423,0.9910973485581576,50,5167,5083,0.9974742491948766,0.9995737389703716,0.9881427782600447,0.993474977305824
imagenet_r,m8_analytic,F5,global,0,1024,205,1,1,last_round,0.9998595789095899,0.9955486742790788,0.9835494484226824,50,5167,5083,0.9933282682160814,0.9971762119374652,0.9796983173881751,0.986839296609671
imagenet_r,m8_analytic,F5,global,0,1024,205,1,2,last_round,0.9996923148504326,0.9883878459454228,0.9765821559899361,50,5167,5083,0.9850778223455936,0.991127328637233,0.9720827803427919,0.980531373010838
imagenet_r,m8_analytic,F5,global,0,1024,205,1,3,last_round,0.9993547026463474,0.9802593381072189,0.9552932068898781,50,5167,5083,0.9760869574881031,0.9838759011794572,0.9492987946725979,0.960766188663356
imagenet_r,m8_analytic,F5,global,0,1024,205,1,4,last_round,0.9987916095047868,0.9667118250435456,0.9359396167989162,50,5167,5083,0.9614526857715608,0.9714346865121101,0.9289165494697003,0.942465121496672
imagenet_r,m8_analytic,F5,global,0,1024,205,1,5,last_round,0.9982874947442039,0.9585833172053416,0.9034255854461003,50,5167,5083,0.9527885557440469,0.9638524542901914,0.8950454798825891,0.9113467014822185
imagenet_r,m8_analytic,F5,global,0,1024,205,1,6,last_round,0.9975172728792617,0.9411650861234759,0.8496226049932263,50,5167,5083,0.9343988708139167,0.9474273959988947,0.8395824985632582,0.859266005390714
imagenet_r,m8_analytic,F5,global,0,1024,205,2,0,last_round,0.9997238154781284,0.9949029602038816,0.9670652813173888,50,5101,5149,0.992540514273861,0.9966678234198034,0.9617948140239706,0.9717919645785763
imagenet_r,m8_analytic,F5,global,0,1024,205,2,1,last_round,0.9992655258324475,0.9766712409331504,0.9478533620858656,50,5101,5149,0.9721479640671739,0.9806370027156495,0.9413932472645951,0.9537946639205765
imagenet_r,m8_analytic,F5,global,0,1024,205,2,2,last_round,0.9985066085351678,0.9619682415212704,0.9041364438345423,50,5101,5149,0.9563501918622248,0.9670493512884304,0.895726429914317,0.9120806415181347
imagenet_r,m8_analytic,F5,global,0,1024,205,2,3,last_round,0.997565205379971,0.9474612821015487,0.8684571652617133,50,5101,5149,0.9409798082637439,0.9534244346462578,0.8588727765256502,0.8776177188847099
imagenet_r,m8_analytic,F5,global,0,1024,205,2,4,last_round,0.9966187765345498,0.9282493628700255,0.8510096059596157,50,5101,5149,0.920821093986311,0.935182938202758,0.8409393847906423,0.860676342149304
imagenet_r,m8_analytic,F5,global,0,1024,205,2,5,last_round,0.995443678783923,0.9096255636149775,0.8190550872377965,50,5101,5149,0.9014230685582588,0.9173557178731885,0.8082109787291537,0.8295328000359592
imagenet_r,m8_analytic,F5,global,0,1024,205,2,6,last_round,0.9935619004556207,0.8813958047441678,0.79043324838267,50,5101,5149,0.8722061772679763,0.8901464419569661,0.7790015574276936,0.8015316295868218
imagenet_r,m8_analytic,F5,global,0,1024,205,3,0,last_round,0.9995720629277658,0.9890923256719907,0.9579275418776783,50,5134,5116,0.9858585790206792,0.9917502330502627,0.9520723658946201,0.9632545236539171
imagenet_r,m8_analytic,F5,global,0,1024,205,3,1,last_round,0.9990979436786079,0.9746786131671211,0.9263731982859369,50,5134,5116,0.9700045849005717,0.9788017139520855,0.9188866961710573,0.9333704693445142
imagenet_r,m8_analytic,F5,global,0,1024,205,3,2,last_round,0.9983137604155466,0.9555901830931048,0.8959875340864822,50,5134,5116,0.9495930767090501,0.9610620927062692,0.887313258023532,0.9042085938497367
imagenet_r,m8_analytic,F5,global,0,1024,205,3,3,last_round,0.9975681447907571,0.9464355278535255,0.888585897935333,50,5134,5116,0.9399208322395252,0.9524365421453928,0.879659895135204,0.8970673548824334
imagenet_r,m8_analytic,F5,global,0,1024,205,3,4,last_round,0.9964805602351126,0.9275418776782236,0.8326840670042852,50,5134,5116,0.920107084881347,0.9344860350030781,0.8221881786906601,0.8428002352260652
imagenet_r,m8_analytic,F5,global,0,1024,205,3,5,last_round,0.9951226595573273,0.9080638878067784,0.8256719906505648,50,5134,5116,0.899829170871282,0.9158311698460903,0.8150124613379035,0.8359598776433872
imagenet_r,m8_analytic,F5,global,0,1024,205,3,6,last_round,0.9928692129886972,0.8843007401636152,0.7682119205298014,50,5134,5116,0.8752345579638773,0.8929273835270894,0.7564212007255363,0.7796969449326213
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,0,last_round,0.9998748757657369,0.9969914596273292,0.9830648291925466,200,20608,20392,0.9961448235572986,0.9976926150382126,0.9812091910305697,0.984782327601472
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,1,last_round,0.9996628936775535,0.9909258540372671,0.9638489906832298,200,20608,20392,0.9895352858217479,0.9921751432751219,0.9612098660306296,0.9663561958975205
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,2,last_round,0.9992734789431491,0.9801533385093167,0.9407026397515528,200,20608,20392,0.9781556815013649,0.9820138700502178,0.9373911241447789,0.9438891434467233
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,3,last_round,0.998730437101293,0.9680706521739131,0.9171680900621118,200,20608,20392,0.9655790147881005,0.9704290680942833,0.9133215288320997,0.9208964814358831
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,4,last_round,0.9979850910127342,0.9524941770186336,0.88965450310559,200,20608,20392,0.9495011719706554,0.9553586865979877,0.8852973775963959,0.8939013643291888
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,5,last_round,0.9970903344715318,0.9357045807453416,0.8582589285714286,200,20608,20392,0.9322696083611087,0.939016003939847,0.853422163448975,0.8629943902672369
imagenet_r,m8_analytic,F5,global,0,1024,205,pooled,6,last_round,0.9957634564781829,0.9159549689440993,0.8221564440993789,200,20608,20392,0.9120836386319351,0.9197084795730625,0.8168661815920379,0.8273556651991655
