dataset,method,knob_name,knob_value,seed,retention_bwt,final_acc
cifar100,m5_hybrid_replay,buffer_size_per_class,1,0,-0.2607777777777778,0.7009
cifar100,m5_hybrid_replay,buffer_size_per_class,1,1,-0.25755555555555554,0.7008
cifar100,m5_hybrid_replay,buffer_size_per_class,1,2,-0.2614444444444444,0.6907
cifar100,m5_hybrid_replay,buffer_size_per_class,2,0,-0.14533333333333331,0.7897
cifar100,m5_hybrid_replay,buffer_size_per_class,2,1,-0.15066666666666667,0.7767999999999999
cifar100,m5_hybrid_replay,buffer_size_per_class,2,2,-0.14966666666666673,0.7787999999999998
cifar100,m5_hybrid_replay,buffer_size_per_class,5,0,-0.06977777777777777,0.8295
cifar100,m5_hybrid_replay,buffer_size_per_class,5,1,-0.06500000000000002,0.8229
cifar100,m5_hybrid_replay,buffer_size_per_class,5,2,-0.05644444444444444,0.8324
cifar100,m5_hybrid_replay,buffer_size_per_class,10,0,-0.026333333333333344,0.8417
cifar100,m5_hybrid_replay,buffer_size_per_class,10,1,-0.023222222222222207,0.8328000000000001
cifar100,m5_hybrid_replay,buffer_size_per_class,10,2,-0.02188888888888891,0.8441000000000001
cifar100,m5_hybrid_replay,buffer_size_per_class,20,0,0.015111111111111124,0.8518000000000001
cifar100,m5_hybrid_replay,buffer_size_per_class,20,1,0.009666666666666688,0.8409000000000001
cifar100,m5_hybrid_replay,buffer_size_per_class,20,2,0.010444444444444454,0.8502000000000001
cifar100,m5_hybrid_replay,buffer_size_per_class,50,0,0.05077777777777778,0.8586
cifar100,m5_hybrid_replay,buffer_size_per_class,50,1,0.04300000000000001,0.8452
cifar100,m5_hybrid_replay,buffer_size_per_class,50,2,0.04588888888888887,0.8560000000000001
cifar100,m2_target,n_synthetic_per_class,1,0,-0.2306666666666667,0.722
cifar100,m2_target,n_synthetic_per_class,1,1,-0.24166666666666664,0.7146000000000001
cifar100,m2_target,n_synthetic_per_class,1,2,-0.23422222222222222,0.7123
cifar100,m2_target,n_synthetic_per_class,2,0,-0.14044444444444446,0.7891
cifar100,m2_target,n_synthetic_per_class,2,1,-0.13411111111111115,0.7849999999999999
cifar100,m2_target,n_synthetic_per_class,2,2,-0.1327777777777778,0.7891
cifar100,m2_target,n_synthetic_per_class,5,0,-0.0808888888888889,0.8166
cifar100,m2_target,n_synthetic_per_class,5,1,-0.06133333333333334,0.8173
cifar100,m2_target,n_synthetic_per_class,5,2,-0.05977777777777779,0.8276
cifar100,m2_target,n_synthetic_per_class,10,0,-0.031333333333333324,0.8352999999999999
cifar100,m2_target,n_synthetic_per_class,10,1,-0.024999999999999984,0.827
cifar100,m2_target,n_synthetic_per_class,10,2,-0.027555555555555555,0.8349
cifar100,m2_target,n_synthetic_per_class,20,0,-0.005555555555555548,0.8321
cifar100,m2_target,n_synthetic_per_class,20,1,-0.0016666666666666557,0.8314
cifar100,m2_target,n_synthetic_per_class,20,2,0.0012222222222222233,0.8365
cifar100,m2_target,n_synthetic_per_class,50,0,0.044666666666666646,0.8261999999999998
cifar100,m2_target,n_synthetic_per_class,50,1,0.05644444444444444,0.8293000000000001
cifar100,m2_target,n_synthetic_per_class,50,2,0.051,0.8321999999999999
