dataset,method,knob_name,knob_value,retention_bwt,tpr1,tpr01,final_acc,seed,ci_lo,ci_hi
cifar100,m5_hybrid_replay,buffer_size_per_class,1,-0.2607777777777778,0.031158429380738425,0.008595428794686463,0.7009,0,0.027877966120116702,0.03470900237185926
cifar100,m5_hybrid_replay,buffer_size_per_class,1,-0.25755555555555554,0.03506022916462638,0.007834688081480756,0.7008,1,0.031576839709305145,0.038811918505541054
cifar100,m5_hybrid_replay,buffer_size_per_class,1,-0.2614444444444444,0.03495544893762851,0.013805933614021345,0.6907,2,0.031477563536986594,0.03870164849591419
cifar100,m5_hybrid_replay,buffer_size_per_class,2,-0.14533333333333331,0.046456692913385826,0.01643700787401575,0.7897,0,0.042445434696318854,0.050730413842093106
cifar100,m5_hybrid_replay,buffer_size_per_class,2,-0.15066666666666667,0.04528042431981141,0.009429329142520381,0.7767999999999999,1,0.04132315836524449,0.04950033668133715
cifar100,m5_hybrid_replay,buffer_size_per_class,2,-0.14966666666666673,0.045388278744290016,0.021673632034211295,0.7787999999999998,2,0.04144681810307026,0.04958954163762123
cifar100,m5_hybrid_replay,buffer_size_per_class,5,-0.06977777777777777,0.05268292682926829,0.02907317073170732,0.8295,0,0.04843691606340678,0.0571852780743271
cifar100,m5_hybrid_replay,buffer_size_per_class,5,-0.06500000000000002,0.0534037558685446,0.01692097026604069,0.8229,1,0.04912438148088222,0.057939689234063375
cifar100,m5_hybrid_replay,buffer_size_per_class,5,-0.05644444444444444,0.05464854824518526,0.026297780819239416,0.8324,2,0.050322257587535536,0.05923051682548101
cifar100,m5_hybrid_replay,buffer_size_per_class,10,-0.026333333333333344,0.06450987989151492,0.02160015497869043,0.8417,0,0.05984612629548002,0.06942106905193454
cifar100,m5_hybrid_replay,buffer_size_per_class,10,-0.023222222222222207,0.05915134923738757,0.018967540086038327,0.8328000000000001,1,0.05465661731214228,0.06389906646026111
cifar100,m5_hybrid_replay,buffer_size_per_class,10,-0.02188888888888891,0.059547051932838733,0.027333073018352205,0.8441000000000001,2,0.05504136737342029,0.06430508639509731
cifar100,m5_hybrid_replay,buffer_size_per_class,20,0.015111111111111124,0.09179938668513206,0.04065684043921258,0.8518000000000001,0,0.08623944627837533,0.09759574983032614
cifar100,m5_hybrid_replay,buffer_size_per_class,20,0.009666666666666688,0.07089660508753265,0.02485733629944869,0.8409000000000001,1,0.06602249304288402,0.07601403005946107
cifar100,m5_hybrid_replay,buffer_size_per_class,20,0.010444444444444454,0.07006928857226505,0.03464428613252659,0.8502000000000001,2,0.06520079317441445,0.07518378539997515
cifar100,m5_hybrid_replay,buffer_size_per_class,50,0.05077777777777778,0.10365913798204951,0.04517210770292928,0.8586,0,0.09779104400001846,0.10975596516940879
cifar100,m5_hybrid_replay,buffer_size_per_class,50,0.04300000000000001,0.08085064680517444,0.037632301058408466,0.8452,1,0.07563252571694101,0.08630942097514514
cifar100,m5_hybrid_replay,buffer_size_per_class,50,0.04588888888888887,0.08046200135882753,0.028826555372221684,0.8560000000000001,2,0.07528032942078228,0.08588222776727997
cifar100,m2_target,n_synthetic_per_class,1,-0.2306666666666667,0.030007794232268122,0.00730709275136399,0.722,0,0.026792401533724496,0.03349335949543822
cifar100,m2_target,n_synthetic_per_class,1,-0.24166666666666664,0.030162860171533197,0.007131155439915197,0.7146000000000001,1,0.026956300653986576,0.03363652241770931
cifar100,m2_target,n_synthetic_per_class,1,-0.23422222222222222,0.02731638983390034,0.0019011406844106464,0.7123,2,0.024208934178325044,0.030703224503746518
cifar100,m2_target,n_synthetic_per_class,2,-0.14044444444444446,0.029891042329572848,0.005206826728377205,0.7891,0,0.026698064513382205,0.03335145547149469
cifar100,m2_target,n_synthetic_per_class,2,-0.13411111111111115,0.032610818199570395,0.007029876977152899,0.7849999999999999,1,0.029255608819559624,0.03623508552197503
cifar100,m2_target,n_synthetic_per_class,2,-0.1327777777777778,0.02609205511580182,0.003615752956122349,0.7891,2,0.023090066061220264,0.02936766329296229
cifar100,m2_target,n_synthetic_per_class,5,-0.0808888888888889,0.03561887800534283,0.012466607301869992,0.8166,0,0.032090481244422396,0.039417997466617345
cifar100,m2_target,n_synthetic_per_class,5,-0.06133333333333334,0.04056177568257709,0.010017678255745434,0.8173,1,0.036812837498283665,0.04457628358677551
cifar100,m2_target,n_synthetic_per_class,5,-0.05977777777777779,0.03249414519906323,0.007611241217798595,0.8276,2,0.029145876865090247,0.03611138813419198
cifar100,m2_target,n_synthetic_per_class,10,-0.031333333333333324,0.04243849848083897,0.012937371361364304,0.8352999999999999,0,0.0386090740333027,0.046531766096897055
cifar100,m2_target,n_synthetic_per_class,10,-0.024999999999999984,0.04306173795239017,0.01374104896458293,0.827,1,0.039228798541452704,0.047154765968024676
cifar100,m2_target,n_synthetic_per_class,10,-0.027555555555555555,0.03645884793992688,0.01136251358561407,0.8349,2,0.03289185248098978,0.04029564656092111
cifar100,m2_target,n_synthetic_per_class,20,-0.005555555555555548,0.04296339792522998,0.01272264631043257,0.8321,0,0.03911355392113999,0.047076367676664475
