dataset,unit,eps,gamma,delta,fpr,tpr_empirical,tpr_dp_bound,n_shadows,n_pos,n_neg
cifar100,U1,1.0,1.0,1e-05,0.0,1.948368241597662e-05,1e-05,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0001,7.793472966390647e-05,0.00028182818284590457,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00010473708979594497,7.793472966390647e-05,0.0002947049279580005,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00010969857978923841,7.793472966390647e-05,0.00030819165604885145,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00011489510001873086,7.793472966390647e-05,0.0003223172625599006,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00012033778407775893,7.793472966390647e-05,0.0003371120117356003,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00012603829296797275,7.793472966390647e-05,0.0003526076014648378,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0001320088400831418,7.793472966390647e-05,0.0003688372311939604,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00013826221737646565,7.793472966390647e-05,0.000385835673056901,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0001448118227674533,7.793472966390647e-05,0.00040363934637480017,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00015167168884709225,7.793472966390647e-05,0.0004222863956847453,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00015885651294280528,9.74184120798831e-05,0.0004418167724647967,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0001663816886076129,9.74184120798831e-05,0.0004622723207304055,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00017426333860096508,9.74184120798831e-05,0.00048369686668560906,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00018251834943190426,9.74184120798831e-05,0.0005061363126210837,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00019116440753857018,9.74184120798831e-05,0.0005296387352602347,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00020022003718155845,9.74184120798831e-05,0.0005542544887640247,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00020970464013232327,9.74184120798831e-05,0.0005800363126152378,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0002196385372416547,9.74184120798831e-05,0.0006070394446133152,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0002300430119772917,9.74184120798831e-05,0.0006353217392218585,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00024094035602395243,9.74184120798831e-05,0.0006649437915223627,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0002523539170434766,9.74184120798831e-05,0.0006959690670397438,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00026430814869741055,0.00017535314174378958,0.0007284640377178223,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00027682866303920667,0.0001948368241597662,0.0007624983243360876,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0002899422853882875,0.0001948368241597662,0.0007981448456728684,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0003036771118035457,0.00023380418899171944,0.0008354799747345041,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0003180625692794119,0.00025328787140769604,0.0008745837023852214,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00033312947879346737,0.0002922552362396493,0.0009155398087283152,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0003489101213406774,0.0002922552362396493,0.0009584360426058038,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.00036543830709572547,0.0003117389186556259,0.0010033643096011467,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0003827494478516311,0.0003117389186556259,0.0010504208689478217,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.0004008806328898465,0.0003117389186556259,0.001099706539765631,1024,51325,51175
cifar100,U1,1.0,1.0,1e-05,0.000419870708444391,0.0003117389186556259,0.0011513269170666139,1024,51325,51175
