dataset,backbone,n_per_class,ref_quality,class,trial,anisotropy_ratio,mean_cos,median_cos,frac_above_0.8,n_records,ref_pool_size
cub200,vit_base_patch16_224.augreg_in21k,1,clean_full,122,0,34.03062132603117,0.999999970812062,0.999999970812062,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_full,177,1,34.03062132603117,1.0000000397881073,1.0000000397881073,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_full,175,2,34.03062132603117,1.0000000239182878,1.0000000239182878,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_full,191,3,34.03062132603117,0.999999970991365,0.999999970991365,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_full,155,4,34.03062132603117,0.9999999599801194,0.9999999599801194,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,193,0,34.03062132603117,1.0000000499186417,1.0000000499186417,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,67,1,34.03062132603117,1.000000029351912,1.000000029351912,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,75,2,34.03062132603117,1.000000029788654,1.000000029788654,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,7,3,34.03062132603117,0.9999999565404956,0.9999999565404956,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,181,4,34.03062132603117,0.9999999800657848,0.9999999800657848,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,74,0,34.03062132603117,1.000000022406883,1.000000022406883,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,63,1,34.03062132603117,0.9999999697344301,0.9999999697344301,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,33,2,34.03062132603117,1.0000000046902315,1.0000000046902315,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,105,3,34.03062132603117,0.9999999638222633,0.9999999638222633,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,163,4,34.03062132603117,1.0000000259628699,1.0000000259628699,1.0,1,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,7,0,34.03062132603117,0.5133156684294681,0.5133156684294681,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,16,1,34.03062132603117,0.9998936441508759,0.9998936441508759,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,83,2,34.03062132603117,0.5396239822050048,0.5396239822050048,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,77,3,34.03062132603117,0.69865625381753,0.69865625381753,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,99,4,34.03062132603117,0.6809833924215746,0.6809833924215746,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,24,0,34.03062132603117,0.6208247401489615,0.6208247401489615,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,175,1,34.03062132603117,0.9989645247707399,0.9989645247707399,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,155,2,34.03062132603117,0.9985607149111376,0.9985607149111376,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,40,3,34.03062132603117,0.9994411159375509,0.9994411159375509,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,87,4,34.03062132603117,0.7452036595499906,0.7452036595499906,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,noisy_full,105,0,34.03062132603117,0.6122082684256853,0.6122082684256853,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,noisy_full,11,1,34.03062132603117,0.5107851056374938,0.5107851056374938,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,noisy_full,18,2,34.03062132603117,0.6790406297529805,0.6790406297529805,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,noisy_full,59,3,34.03062132603117,0.7389179111081543,0.7389179111081543,0.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,2,noisy_full,102,4,34.03062132603117,0.9972468734640905,0.9972468734640905,1.0,2,5
cub200,vit_base_patch16_224.augreg_in21k,4,clean_full,81,0,34.03062132603117,0.9062099266858398,0.9202159977365411,0.75,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,clean_full,131,1,34.03062132603117,0.8345520602683394,0.8410278020703376,0.5,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,clean_full,109,2,34.03062132603117,0.7110060577244945,0.7424617478042098,0.0,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,clean_full,185,3,34.03062132603117,0.7933041126626035,0.8826155901213122,0.5,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,clean_full,153,4,34.03062132603117,0.7959003987369859,0.8006586517586998,0.5,4,5
cub200,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,185,0,34.03062132603117,0.8197075156506517,0.8267490095352679,0.75,4,5
