partition,beta,n_clients,method,family,elapsed,acc,tpr1,ci_lo,ci_hi,n_seeds
natural,,5,m0_fedavg,F1,0,1.0,0.021485077154672738,0.01161166273742801,0.03135849157191747,3
natural,,5,m0_fedavg,F1,1,0.9844014520184644,0.025769224653305348,0.013438679700043022,0.03809976960656768,3
natural,,5,m0_fedavg,F1,2,0.9891829203643662,0.027849429156898923,0.018425604745486206,0.03727325356831164,3
natural,,5,m0_fedavg,F1,3,1.0172251051209946,0.031608578726268204,0.020154531622956457,0.043062625829579954,3
natural,,5,m0_fedavg,F1,4,1.0468341182626897,0.034384162058176224,0.021788352459263777,0.04697997165708867,3
dirichlet,0.5,5,m0_fedavg,F1,0,1.0,0.02307281028467277,0.011020315950868205,0.035125304618477335,3
dirichlet,0.5,5,m0_fedavg,F1,1,0.9784818335836571,0.025124024268611416,0.00561195012234459,0.04463609841487824,3
dirichlet,0.5,5,m0_fedavg,F1,2,0.9943468091207842,0.02837614768983067,0.010340502337313807,0.046411793042347535,3
dirichlet,0.5,5,m0_fedavg,F1,3,0.9950638460072424,0.036269701450121365,0.013127812558712933,0.0594115903415298,3
dirichlet,0.5,5,m0_fedavg,F1,4,0.9881074899942824,0.04868103656362386,0.018099185464845183,0.07926288766240254,3
