dataset,method,lr,local_epochs,distillation_weight,val_final_avg_acc,val_bwt
cifar100,m1_glfc,0.1,5,0.5,0.8009999999999999,0.08222222222222222
cifar100,m1_glfc,0.1,5,1.0,0.753,-0.018611111111111103
cifar100,m1_glfc,0.1,30,0.5,0.83725,0.014444444444444446
cifar100,m1_glfc,0.1,30,1.0,0.8014999999999999,0.0002777777777777842
cifar100,m1_glfc,0.5,5,0.5,0.7835,0.05555555555555555
cifar100,m1_glfc,0.5,5,1.0,0.78425,0.0086111111111111
cifar100,m1_glfc,0.5,30,0.5,0.8324999999999999,0.019444444444444462
cifar100,m1_glfc,0.5,30,1.0,0.80275,0.011944444444444424
cub200,m1_glfc,0.1,5,0.5,0.6475,0.5583333333333332
cub200,m1_glfc,0.1,5,1.0,0.43499999999999994,0.3472222222222222
cub200,m1_glfc,0.1,30,0.5,0.655,0.3805555555555556
cub200,m1_glfc,0.1,30,1.0,0.5850000000000001,0.26666666666666666
cub200,m1_glfc,0.5,5,0.5,0.5700000000000001,0.4305555555555556
cub200,m1_glfc,0.5,5,1.0,0.4625,0.36666666666666664
cub200,m1_glfc,0.5,30,0.5,0.6675,0.41388888888888886
cub200,m1_glfc,0.5,30,1.0,0.5625000000000001,0.2416666666666667
imagenet_r,m1_glfc,0.1,5,0.5,0.5667589467537577,0.41164798501946515
imagenet_r,m1_glfc,0.1,5,1.0,0.5258849290624064,0.3562471823946083
imagenet_r,m1_glfc,0.1,30,0.5,0.5996635088028134,0.21658066952390628
imagenet_r,m1_glfc,0.1,30,1.0,0.5614216009196263,0.18377002468452777
imagenet_r,m1_glfc,0.5,5,0.5,0.4885242758690305,0.3705476001328327
imagenet_r,m1_glfc,0.5,5,1.0,0.43128084334796785,0.2753062495308739
imagenet_r,m1_glfc,0.5,30,0.5,0.5724299459024131,0.1737259472832404
imagenet_r,m1_glfc,0.5,30,1.0,0.5159952402587435,0.1045815678840711
