dataset,method,seed,task_k,pre_fix_acc_diagonal_train,post_fix_acc_diagonal_test,post_fix_acc_diagonal_train
cub200,m1_glfc,0,0,0.85,0.821917808219178,0.85
cub200,m1_glfc,0,1,0.25301204819277107,0.5822147651006712,0.6325301204819277
cub200,m1_glfc,0,2,0.12,0.6224489795918368,0.664
cub200,m1_glfc,0,3,0.014,0.4417808219178082,0.474
cub200,m1_glfc,0,4,0.09,0.29842931937172773,0.334
cub200,m1_glfc,0,5,0.036072144288577156,0.14285714285714285,0.1743486973947896
cub200,m1_glfc,0,6,0.0,0.10471204188481675,0.13026052104208416
cub200,m1_glfc,0,7,0.022,0.12056737588652482,0.14
cub200,m1_glfc,0,8,0.0,0.21942446043165467,0.228
cub200,m1_glfc,0,9,0.0,0.025817555938037865,0.030120481927710843
cub200,m2_target,0,0,0.85,0.821917808219178,0.85
cub200,m2_target,0,1,0.004016064257028112,0.003355704697986577,0.006024096385542169
cub200,m2_target,0,2,0.012,0.034013605442176874,0.026
cub200,m2_target,0,3,0.004,0.005136986301369863,0.012
cub200,m2_target,0,4,0.002,0.015706806282722512,0.014
cub200,m2_target,0,5,0.004008016032064128,0.005042016806722689,0.008016032064128256
cub200,m2_target,0,6,0.0,0.0,0.002004008016032064
cub200,m2_target,0,7,0.006,0.0,0.006
cub200,m2_target,0,8,0.004,0.00539568345323741,0.002
cub200,m2_target,0,9,0.0,0.0,0.0
cub200,m5_hybrid_replay,0,0,0.85,0.821917808219178,0.85
cub200,m5_hybrid_replay,0,1,0.3714859437751004,0.4664429530201342,0.5461847389558233
cub200,m5_hybrid_replay,0,2,0.184,0.3520408163265306,0.384
cub200,m5_hybrid_replay,0,3,0.262,0.3476027397260274,0.41
cub200,m5_hybrid_replay,0,4,0.31,0.3525305410122164,0.418
cub200,m5_hybrid_replay,0,5,0.12625250501002003,0.18319327731092436,0.23847695390781562
cub200,m5_hybrid_replay,0,6,0.06212424849699399,0.13612565445026178,0.16633266533066132
cub200,m5_hybrid_replay,0,7,0.058,0.14361702127659576,0.17
cub200,m5_hybrid_replay,0,8,0.186,0.2607913669064748,0.32
cub200,m5_hybrid_replay,0,9,0.05823293172690763,0.13769363166953527,0.15060240963855423
