dataset,method,view,condition,elapsed,tpr1,tpr01,auc
cifar100,m0_fedavg,full,elapsed=0,0,"0.028 [0.024, 0.031]","0.007 [0.005, 0.009]","0.559 [0.554, 0.564]"
cifar100,m0_fedavg,full,elapsed=max,6,"0.026 [0.022, 0.030]","0.005 [0.003, 0.008]","0.563 [0.558, 0.569]"
cifar100,m1_glfc,full,elapsed=0,0,"0.030 [0.025, 0.036]","0.008 [0.005, 0.012]","0.561 [0.553, 0.570]"
cifar100,m1_glfc,full,elapsed=max,6,"0.053 [0.045, 0.062]","0.019 [0.014, 0.026]","0.603 [0.594, 0.613]"
cifar100,m2_target,full,elapsed=0,0,"0.031 [0.025, 0.037]","0.008 [0.004, 0.013]","0.568 [0.562, 0.576]"
cifar100,m2_target,full,elapsed=max,6,"0.045 [0.039, 0.052]","0.012 [0.008, 0.018]","0.622 [0.615, 0.630]"
cifar100,m3_fot,full,elapsed=0,0,"0.029 [0.024, 0.034]","0.005 [0.004, 0.007]","0.570 [0.562, 0.579]"
cifar100,m3_fot,full,elapsed=max,6,"0.038 [0.033, 0.043]","0.008 [0.006, 0.010]","0.603 [0.594, 0.613]"
cifar100,m4_proto,aggregate,elapsed=0,0,"0.058 [0.051, 0.066]","0.010 [0.008, 0.014]","0.681 [0.676, 0.686]"
cifar100,m4_proto,aggregate,elapsed=max,6,"0.058 [0.051, 0.066]","0.010 [0.008, 0.014]","0.681 [0.676, 0.686]"
cifar100,m4_proto,full,elapsed=0,0,"0.343 [0.314, 0.374]","0.183 [0.155, 0.219]","0.883 [0.873, 0.892]"
cifar100,m4_proto,full,elapsed=max,6,"0.343 [0.314, 0.374]","0.183 [0.155, 0.219]","0.883 [0.873, 0.892]"
cifar100,m4_proto,global,elapsed=0,0,"0.060 [0.046, 0.074]","0.031 [0.019, 0.042]","0.552 [0.538, 0.567]"
cifar100,m4_proto,global,elapsed=max,6,"0.060 [0.046, 0.074]","0.031 [0.019, 0.042]","0.552 [0.538, 0.567]"
cifar100,m5_hybrid_replay,full,elapsed=0,0,"0.030 [0.025, 0.036]","0.008 [0.005, 0.013]","0.564 [0.556, 0.574]"
cifar100,m5_hybrid_replay,full,elapsed=max,6,"0.064 [0.055, 0.074]","0.024 [0.019, 0.031]","0.627 [0.618, 0.637]"
cifar100,m8_analytic,aggregate,elapsed=0,0,"0.999 [0.998, 1.000]","0.993 [0.988, 0.997]","1.000 [1.000, 1.000]"
cifar100,m8_analytic,aggregate,elapsed=max,6,"0.999 [0.998, 1.000]","0.993 [0.988, 0.997]","1.000 [1.000, 1.000]"
cifar100,m8_analytic,full,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
cifar100,m8_analytic,full,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
cifar100,m8_analytic,global,elapsed=0,0,"0.966 [0.955, 0.975]","0.911 [0.882, 0.932]","0.999 [0.998, 0.999]"
cifar100,m8_analytic,global,elapsed=max,6,"0.917 [0.899, 0.931]","0.816 [0.791, 0.845]","0.996 [0.995, 0.997]"
cub200,m0_fedavg,full,elapsed=0,0,"0.058 [0.054, 0.063]","0.016 [0.014, 0.018]","0.657 [0.651, 0.664]"
cub200,m0_fedavg,full,elapsed=max,6,"0.025 [0.023, 0.029]","0.004 [0.003, 0.004]","0.622 [0.615, 0.629]"
cub200,m1_glfc,full,elapsed=0,0,"0.034 [0.026, 0.040]","0.001 [0.001, 0.001]","0.591 [0.582, 0.600]"
cub200,m1_glfc,full,elapsed=max,6,"0.020 [0.013, 0.029]","0.001 [0.001, 0.001]","0.604 [0.588, 0.622]"
cub200,m2_target,full,elapsed=0,0,"0.050 [0.041, 0.059]","0.012 [0.008, 0.016]","0.638 [0.627, 0.648]"
cub200,m2_target,full,elapsed=max,6,"0.231 [0.202, 0.264]","0.066 [0.052, 0.086]","0.860 [0.848, 0.872]"
cub200,m3_fot,full,elapsed=0,0,"0.062 [0.052, 0.074]","0.015 [0.011, 0.021]","0.680 [0.665, 0.698]"
cub200,m3_fot,full,elapsed=max,6,"0.090 [0.075, 0.110]","0.011 [0.004, 0.020]","0.732 [0.714, 0.753]"
cub200,m4_proto,aggregate,elapsed=0,0,"0.832 [0.808, 0.858]","0.648 [0.604, 0.690]","0.989 [0.986, 0.991]"
cub200,m4_proto,aggregate,elapsed=max,6,"0.832 [0.808, 0.858]","0.648 [0.604, 0.690]","0.989 [0.986, 0.991]"
cub200,m4_proto,full,elapsed=0,0,"0.996 [0.993, 0.998]","0.969 [0.951, 0.986]","1.000 [0.999, 1.000]"
cub200,m4_proto,full,elapsed=max,6,"0.996 [0.993, 0.998]","0.969 [0.951, 0.986]","1.000 [0.999, 1.000]"
cub200,m4_proto,global,elapsed=0,0,"0.157 [0.133, 0.183]","0.124 [0.096, 0.152]","0.622 [0.602, 0.643]"
cub200,m4_proto,global,elapsed=max,6,"0.157 [0.133, 0.183]","0.124 [0.096, 0.152]","0.622 [0.602, 0.643]"
cub200,m5_hybrid_replay,full,elapsed=0,0,"0.055 [0.049, 0.061]","0.014 [0.010, 0.018]","0.660 [0.650, 0.669]"
cub200,m5_hybrid_replay,full,elapsed=max,6,"0.276 [0.254, 0.300]","0.130 [0.108, 0.150]","0.862 [0.851, 0.872]"
cub200,m8_analytic,aggregate,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [0.998, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,aggregate,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [0.998, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,full,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,full,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,global,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [0.997, 1.000]","1.000 [1.000, 1.000]"
cub200,m8_analytic,global,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [0.997, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m0_fedavg,full,elapsed=0,0,"0.074 [0.069, 0.080]","0.022 [0.019, 0.026]","0.678 [0.672, 0.684]"
imagenet_r,m0_fedavg,full,elapsed=max,6,"0.072 [0.062, 0.081]","0.014 [0.009, 0.022]","0.693 [0.685, 0.702]"
imagenet_r,m1_glfc,full,elapsed=0,0,"0.057 [0.049, 0.065]","0.015 [0.011, 0.021]","0.629 [0.619, 0.639]"
imagenet_r,m1_glfc,full,elapsed=max,6,"0.104 [0.088, 0.121]","0.033 [0.026, 0.042]","0.699 [0.687, 0.712]"
imagenet_r,m2_target,full,elapsed=0,0,"0.066 [0.060, 0.075]","0.021 [0.016, 0.028]","0.661 [0.652, 0.671]"
imagenet_r,m2_target,full,elapsed=max,6,"0.199 [0.165, 0.234]","0.073 [0.050, 0.101]","0.812 [0.797, 0.827]"
imagenet_r,m3_fot,full,elapsed=0,0,"0.079 [0.067, 0.090]","0.025 [0.017, 0.034]","0.691 [0.681, 0.702]"
imagenet_r,m3_fot,full,elapsed=max,6,"0.090 [0.073, 0.111]","0.008 [0.003, 0.019]","0.729 [0.717, 0.743]"
imagenet_r,m4_proto,aggregate,elapsed=0,0,"0.240 [0.216, 0.268]","0.102 [0.084, 0.127]","0.842 [0.828, 0.857]"
imagenet_r,m4_proto,aggregate,elapsed=max,6,"0.240 [0.216, 0.268]","0.102 [0.084, 0.127]","0.842 [0.828, 0.857]"
imagenet_r,m4_proto,full,elapsed=0,0,"0.732 [0.702, 0.763]","0.562 [0.523, 0.597]","0.977 [0.973, 0.981]"
imagenet_r,m4_proto,full,elapsed=max,6,"0.732 [0.702, 0.763]","0.562 [0.523, 0.597]","0.977 [0.973, 0.981]"
imagenet_r,m4_proto,global,elapsed=0,0,"0.106 [0.084, 0.130]","0.085 [0.065, 0.107]","0.590 [0.569, 0.611]"
imagenet_r,m4_proto,global,elapsed=max,6,"0.106 [0.084, 0.130]","0.085 [0.065, 0.107]","0.590 [0.569, 0.611]"
imagenet_r,m5_hybrid_replay,full,elapsed=0,0,"0.083 [0.072, 0.096]","0.029 [0.020, 0.036]","0.685 [0.675, 0.696]"
imagenet_r,m5_hybrid_replay,full,elapsed=max,6,"0.293 [0.271, 0.319]","0.159 [0.140, 0.183]","0.847 [0.836, 0.859]"
imagenet_r,m8_analytic,aggregate,elapsed=0,0,"1.000 [1.000, 1.000]","0.997 [0.991, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,aggregate,elapsed=max,6,"1.000 [1.000, 1.000]","0.997 [0.991, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,full,elapsed=0,0,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,full,elapsed=max,6,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,global,elapsed=0,0,"0.996 [0.991, 0.998]","0.981 [0.972, 0.987]","1.000 [1.000, 1.000]"
imagenet_r,m8_analytic,global,elapsed=max,6,"0.984 [0.978, 0.990]","0.956 [0.941, 0.967]","0.999 [0.999, 1.000]"
