dataset,unit,eps,n_seeds,final_avg_acc_mean,final_avg_acc_ci_lo,final_avg_acc_ci_hi,eps_certified_T10_U1,eps_certified_T10_U2,eps_certified_T10_U3,eps_certified_T10_U4,eps_certified_T50_U1,eps_certified_T50_U2,eps_certified_T50_U3,eps_certified_T50_U4
cifar100,U1,0.5,3,0.36556666666666665,0.34418527715025576,0.38694805618307754,,,,,,,,
cifar100,U1,1.0,3,0.596,0.5638181900934203,0.6281818099065797,,,,,,,,
cifar100,U1,2.0,3,0.6897333333333333,0.6824937303158639,0.6969729363508027,,,,,,,,
cifar100,U1,4.0,3,0.8104999999999999,0.809506344915312,0.8114936550846877,,,,,,,,
cifar100,U1,8.0,3,0.8179666666666666,0.8154171457352176,0.8205161875981156,,,,,,,,
cifar100,U1,inf,3,0.8835000000000001,0.8834999999999998,0.8835000000000003,,,,,,,,
cifar100,U2,0.5,3,0.014066666666666667,-0.00777727216784386,0.035910605501177195,,,,,,,,
cifar100,U2,1.0,3,0.014733333333333334,-0.0048997380735540524,0.03436640474022072,,,,,,,,
cifar100,U2,2.0,3,0.014466666666666664,-0.002294054271729856,0.031227387605063182,,,,,,,,
cifar100,U2,4.0,3,0.015533333333333335,0.0031267295409974707,0.0279399371256692,,,,,,,,
cifar100,U2,8.0,3,0.017133333333333334,0.010668208836713117,0.02359845782995355,,,,,,,,
cifar100,U2,inf,3,0.8804,0.8775785619233596,0.8832214380766403,,,,,,,,
cub200,U1,0.5,3,0.007974958290907984,-0.000142659400813731,0.016092575982629698,,,,,,,,
cub200,U1,1.0,3,0.017461385879119093,0.0006578022024242951,0.03426496955581389,,,,,,,,
cub200,U1,2.0,3,0.050393298364505436,0.02398587911374623,0.07680071761526464,,,,,,,,
cub200,U1,4.0,3,0.08833134531092128,0.06511634435668597,0.1115463462651566,,,,,,,,
cub200,U1,8.0,3,0.1612263190200517,0.1265519899508334,0.19590064808927,,,,,,,,
cub200,U1,inf,3,0.8679096699739871,0.8676227946235775,0.8681965453243967,,,,,,,,
cub200,U2,0.5,3,0.003266362177454317,0.0008362121768336582,0.005696512178074976,,,,,,,,
cub200,U2,1.0,3,0.0036582760568870305,-0.0004406576695261482,0.007757209783300209,,,,,,,,
cub200,U2,2.0,3,0.005406877280116376,-0.004255902956597084,0.015069657516829836,,,,,,,,
cub200,U2,4.0,3,0.006053080550553472,-0.0037366615451133412,0.015842822646220285,,,,,,,,
cub200,U2,8.0,3,0.0074354063007464445,-0.0025544072608552357,0.017425219862348126,,,,,,,,
cub200,U2,inf,3,0.8475712897372213,0.8372150529014185,0.8579275265730241,,,,,,,,
imagenet_r,U1,0.5,3,0.014665862791985703,0.009801021335403157,0.01953070424856825,,,,,,,,
imagenet_r,U1,1.0,3,0.08201010996273823,0.04857527967073555,0.11544494025474092,,,,,,,,
imagenet_r,U1,2.0,3,0.2028934555762353,0.18845567776321165,0.21733123338925897,,,,,,,,
imagenet_r,U1,4.0,3,0.3239535338266682,0.3149563985453958,0.3329506691079406,,,,,,,,
imagenet_r,U1,8.0,3,0.3849102882406788,0.37188859915245814,0.39793197732889946,,,,,,,,
imagenet_r,U1,inf,3,0.6341625871268016,0.6325411411805656,0.6357840330730377,,,,,,,,
imagenet_r,U2,0.5,3,0.004256631908805011,0.0003105737729381178,0.008202690044671904,,,,,,,,
imagenet_r,U2,1.0,3,0.004612503708607587,0.003228181693410071,0.005996825723805103,,,,,,,,
imagenet_r,U2,2.0,3,0.005820572146717561,0.0046090225325661665,0.007032121760868956,,,,,,,,
imagenet_r,U2,4.0,3,0.005874349801877986,0.0020648585182058542,0.009683841085550118,,,,,,,,
imagenet_r,U2,8.0,3,0.006467216306357671,0.003965801479977372,0.00896863113273797,,,,,,,,
imagenet_r,U2,inf,3,0.6236521233524495,0.6178963961835511,0.6294078505213478,,,,,,,,
