dataset,method,family,view,quantity,ablation,halflife,halflife_int,status,ci_lo,ci_hi,horizon_E,base_value,base_ci_lo,floor,halflife_expfit,r2
cifar100,m0_fedavg,F1,full,acc,n/a,0.8735735138004246,1,ok,0.8004065906714731,0.9660518699588632,6,0.8777666666666667,0.8601491666666666,per-task a0(t)=1/classes_seen,,
cifar100,m1_glfc,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.8327166666666667,0.8095650000000001,per-task a0(t)=1/classes_seen,,
cifar100,m2_target,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.8262666666666666,0.8056820833333332,per-task a0(t)=1/classes_seen,,
cifar100,m3_fot,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.8568666666666667,0.8372491666666667,per-task a0(t)=1/classes_seen,,
cifar100,m4_proto,F2,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.6838666666666666,0.6320795833333334,per-task a0(t)=1/classes_seen,,
cifar100,m5_hybrid_replay,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.8476666666666667,0.8302987500000001,per-task a0(t)=1/classes_seen,,
cifar100,m8_analytic,F5,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.8954166666666665,0.88629875,per-task a0(t)=1/classes_seen,,
cifar100,m0_fedavg,F1,full,leak_tpr1,trajectory,6.0,,censored,6.0,6.0,6,0.027859653239091012,0.024389371131439457,0.01,,
cifar100,m0_fedavg,F1,full,leak_auc,trajectory,6.0,,censored,6.0,6.0,6,0.5589926998619308,0.5541085495576412,0.5,,
cifar100,m0_fedavg,F1,full,leak_tpr1,last_round,1.9066745843230377,2,ok,0.9091322878469092,6.0,6,0.027859653239091012,0.024389371131439457,0.01,,
cifar100,m0_fedavg,F1,full,leak_auc,last_round,6.0,,censored,1.1672132754200015,6.0,6,0.5589926998619308,0.5541085495576412,0.5,,
cub200,m0_fedavg,F1,full,acc,n/a,2.221483661856378,3,ok,1.659896717542694,2.949873117741909,6,0.844476320545971,0.8048637992401682,per-task a0(t)=1/classes_seen,,
cub200,m1_glfc,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.6283952475241479,0.5418233962339363,per-task a0(t)=1/classes_seen,,
cub200,m2_target,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.21178389436228923,0.05436140534961754,per-task a0(t)=1/classes_seen,,
cub200,m3_fot,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.630204949175374,0.5360703460443332,per-task a0(t)=1/classes_seen,,
cub200,m4_proto,F2,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.6517185680135652,0.6030062928942019,per-task a0(t)=1/classes_seen,,
cub200,m5_hybrid_replay,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.5232009940118032,0.4394083907145931,per-task a0(t)=1/classes_seen,,
cub200,m8_analytic,F5,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.9177669365700136,0.9096178505789023,per-task a0(t)=1/classes_seen,,
imagenet_r,m0_fedavg,F1,full,acc,n/a,0.7587912120292266,1,ok,0.7223168908339416,0.8013594115746787,6,0.6928153140945735,0.677990092615632,per-task a0(t)=1/classes_seen,,
imagenet_r,m1_glfc,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.5550503047275226,0.5149474277915664,per-task a0(t)=1/classes_seen,,
imagenet_r,m2_target,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.43281283845351187,0.36204828165743647,per-task a0(t)=1/classes_seen,,
imagenet_r,m3_fot,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.659467029656559,0.6393267107619027,per-task a0(t)=1/classes_seen,,
imagenet_r,m4_proto,F2,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.3619887467815586,0.32666684346531893,per-task a0(t)=1/classes_seen,,
imagenet_r,m5_hybrid_replay,F1,full,acc,n/a,6.0,,censored,6.0,6.0,6,0.5747028465426317,0.5395879975475159,per-task a0(t)=1/classes_seen,,
