dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cifar100,m0_fedavg,F1,full,last_round,0,0.5589926998619308,0.5541085495576412,0.5637617253175121,0.027859653239091012,0.024389371131439457,0.03138343278210707,0.0066429105626677224,0.004646122976128355,0.00919302782422575,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,last_round,1,0.5330727331989735,0.5296358765643316,0.5370133116035471,0.019862742510228324,0.017820998114794467,0.022330298365736762,0.00375893908954487,0.0023609623778862556,0.005346288833613225,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,last_round,2,0.53054495657118,0.5267568594632916,0.5348345587724761,0.018833800145665,0.01656352024379511,0.021593207198164505,0.003568303687084207,0.0023461044702000294,0.005009363981682379,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,last_round,3,0.5303053524497414,0.5265010719825411,0.5343711811836437,0.0184451972098798,0.01636493931000939,0.020655277899305945,0.003301902932363537,0.0022713204699604814,0.004539054028642486,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,last_round,4,0.5304397962395567,0.5269038636627934,0.5343706782627005,0.018398760381075283,0.01622405202786903,0.02093713132932829,0.0035218668582796867,0.002232164009235188,0.005069371692536039,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,last_round,5,0.5304682119543858,0.5263782698340466,0.535578161704974,0.019212626906965034,0.016370594230486098,0.022130015424444784,0.0034900942912029095,0.0021426444327146995,0.004990613072097986,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,last_round,6,0.5304357864329698,0.5271604400311924,0.5341202693176598,0.019153969860054063,0.016636509667279906,0.02194447020986022,0.003600076254160984,0.0022467288755989396,0.005280310510758535,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,trajectory,0,0.5589926998619308,0.5541085495576412,0.5637617253175121,0.027859653239091012,0.024389371131439457,0.03138343278210707,0.0066429105626677224,0.004646122976128355,0.00919302782422575,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,trajectory,1,0.5673658469909785,0.5626069638831168,0.5721050776913242,0.02869796020119367,0.025059893066144565,0.03244444312244488,0.00676266870011096,0.004718605248713493,0.009396350579139883,5,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m0_fedavg,F1,full,trajectory,2,0.5686732326196423,0.5639598567710065,0.5735995471228315,0.02803562437982393,0.024377754876823168,0.031997874975149665,0.006195650579971551,0.0039971094340471094,0.00885925973149869,5,"n/a (per-seed, see a1_lira_pertask_*)"
