dataset,method,family,view,quantity,elapsed,raw,raw_ci_lo,raw_ci_hi,norm,norm_ci_lo,norm_ci_hi,n_seeds
cifar100,m0_fedavg,F1,full,acc,0,0.9298499999999998,0.91339875,0.9434512499999997,1.0,1.0,1.0,5
cifar100,m0_fedavg,F1,full,acc,1,0.40745000000000003,0.3595474999999999,0.45640000000000003,0.4276383245357536,0.37531748697909256,0.4824294454693098,5
cifar100,m0_fedavg,F1,full,acc,2,0.3027,0.24458749999999999,0.3643075,0.3177951619640755,0.25225282849841657,0.3859936783683607,5
cifar100,m0_fedavg,F1,full,acc,3,0.2589,0.2090325,0.3123012499999999,0.27332081961254484,0.21662731462307816,0.3324179976518209,5
cifar100,m0_fedavg,F1,full,acc,4,0.24755,0.19644624999999996,0.29405,0.26395044783568683,0.20609807984822645,0.31679541371406655,5
cifar100,m0_fedavg,F1,full,acc,5,0.2283,0.18709499999999998,0.2753037499999999,0.2445514681017662,0.1967738968577597,0.2987912140934371,5
cifar100,m0_fedavg,F1,full,acc,6,0.21395,0.16479375,0.25339999999999996,0.23010191810746244,0.17423910943960738,0.2736551353370207,5
cifar100,m0_fedavg,F1,full,leak_auc,0,0.5589926998619308,0.5541085495576412,0.5637617253175121,1.0,1.0,1.0,5
cifar100,m0_fedavg,F1,full,leak_auc,1,0.5673658469909785,0.5626069638831168,0.5721050776913242,1.1419353097695915,1.115012245989172,1.1743370687498897,5
cifar100,m0_fedavg,F1,full,leak_auc,2,0.5686732326196423,0.5639598567710065,0.5735995471228315,1.1640971303291472,1.1300386458374498,1.2041427898705566,5
cifar100,m0_fedavg,F1,full,leak_auc,3,0.567930525832158,0.5631536362844107,0.5730313689839499,1.1515073219423027,1.111189004315194,1.1985008071002838,5
cifar100,m0_fedavg,F1,full,leak_auc,4,0.5662962922070873,0.5613709138086876,0.571494011689712,1.1238050193032392,1.077609860551757,1.1698528674029978,5
cifar100,m0_fedavg,F1,full,leak_auc,5,0.5646561672634154,0.5595295056141102,0.5700390110268314,1.0960028514500886,1.044733488119902,1.1464932577172868,5
cifar100,m0_fedavg,F1,full,leak_auc,6,0.5631560433536443,0.5579274316355016,0.5687910326594868,1.070573876114462,1.016076521297744,1.1232893476632928,5
cifar100,m0_fedavg,F1,full,leak_tpr1,0,0.027859653239091012,0.024389371131439457,0.03138343278210707,1.0,1.0,1.0,5
cifar100,m0_fedavg,F1,full,leak_tpr1,1,0.02869796020119367,0.025059893066144565,0.03244444312244488,1.046938591185398,0.9919479269280246,1.1057131591977762,5
cifar100,m0_fedavg,F1,full,leak_tpr1,2,0.02803562437982393,0.024377754876823168,0.031997874975149665,1.0098529987327947,0.9356143579549687,1.0986940728538535,5
cifar100,m0_fedavg,F1,full,leak_tpr1,3,0.02736351238396903,0.02397032200826129,0.030981750158209462,0.9722200174617031,0.8866076184597547,1.0789269678933422,5
cifar100,m0_fedavg,F1,full,leak_tpr1,4,0.026378562804588935,0.02288520857175336,0.030232014853315555,0.9170705939989763,0.8148996590594967,1.0312557246224023,5
cifar100,m0_fedavg,F1,full,leak_tpr1,5,0.02599484795604632,0.022454929341881393,0.03012529696173515,0.8955855828732985,0.7804722034072511,1.0308298682982329,5
cifar100,m0_fedavg,F1,full,leak_tpr1,6,0.025530479668001115,0.021900755103694027,0.029757798615553624,0.8695846139950898,0.7349967797791743,1.0397169594109625,5
cifar100,m1_glfc,F1,full,acc,0,0.8789,0.8500475000000001,0.9033525,1.0,1.0,1.0,5
cifar100,m1_glfc,F1,full,acc,1,0.874,0.8568487499999999,0.8899000000000001,1.018262815214981,1.0075438065215911,1.0300191958791594,5
cifar100,m1_glfc,F1,full,acc,2,0.8731,0.85174875,0.8892012499999999,1.027253119393658,1.0139481057050668,1.043961919901656,5
cifar100,m1_glfc,F1,full,acc,3,0.8764999999999998,0.8558000000000001,0.89275,1.0371246000869658,1.0248968778768597,1.0519007118467996,5
cifar100,m1_glfc,F1,full,acc,4,0.8749,0.85749875,0.89060375,1.0389690234778828,1.0234540846732816,1.0575393328889056,5
cifar100,m1_glfc,F1,full,acc,5,0.8755,0.8604487500000002,0.8891537500000001,1.042382382612986,1.025538696573563,1.062928656312997,5
cifar100,m1_glfc,F1,full,acc,6,0.8702,0.8544462499999997,0.8844999999999998,1.0379880186870853,1.0193920641992769,1.060323110056694,5
cifar100,m1_glfc,F1,full,leak_auc,0,0.5552391660939108,0.5484027290623479,0.5627095457435,1.0,1.0,1.0,3
cifar100,m1_glfc,F1,full,leak_auc,1,0.5729634839558867,0.5657632484880653,0.5803103160775007,1.3208650512906592,1.2470010880065503,1.415823866227502,3
cifar100,m1_glfc,F1,full,leak_auc,2,0.5829575324480906,0.5755707610038033,0.5905012259364641,1.5017882838248584,1.3790187896911124,1.6517022342938992,3
