dataset,method,family,seed,fpr,tpr
cifar100,m0_fedavg,F1,0,0.0,0.0010652235132785621
cifar100,m0_fedavg,F1,0,0.0001,0.003403817663120003
cifar100,m0_fedavg,F1,0,0.00010473708979594497,0.003403817663120003
cifar100,m0_fedavg,F1,0,0.00010969857978923841,0.0034895253021194274
cifar100,m0_fedavg,F1,0,0.00011489510001873086,0.0034895253021194274
cifar100,m0_fedavg,F1,0,0.00012033778407775893,0.0034895253021194274
cifar100,m0_fedavg,F1,0,0.00012603829296797275,0.0037588921675461903
cifar100,m0_fedavg,F1,0,0.0001320088400831418,0.0037588921675461903
cifar100,m0_fedavg,F1,0,0.00013826221737646565,0.0037588921675461903
cifar100,m0_fedavg,F1,0,0.0001448118227674533,0.0037588921675461903
cifar100,m0_fedavg,F1,0,0.00015167168884709225,0.003979283239258996
cifar100,m0_fedavg,F1,0,0.00015885651294280528,0.004138454568829356
cifar100,m0_fedavg,F1,0,0.0001663816886076129,0.004138454568829356
cifar100,m0_fedavg,F1,0,0.00017426333860096508,0.004309869846828205
cifar100,m0_fedavg,F1,0,0.00018251834943190426,0.004309869846828205
cifar100,m0_fedavg,F1,0,0.00019116440753857018,0.004432309331113098
cifar100,m0_fedavg,F1,0,0.00020022003718155845,0.004493529073255544
cifar100,m0_fedavg,F1,0,0.00020970464013232327,0.004505773021684032
cifar100,m0_fedavg,F1,0,0.0002196385372416547,0.004505773021684032
cifar100,m0_fedavg,F1,0,0.0002300430119772917,0.004505773021684032
cifar100,m0_fedavg,F1,0,0.00024094035602395243,0.004505773021684032
cifar100,m0_fedavg,F1,0,0.0002523539170434766,0.004591480660683457
cifar100,m0_fedavg,F1,0,0.00026430814869741055,0.00486084752611022
cifar100,m0_fedavg,F1,0,0.00027682866303920667,0.004971043061966623
cifar100,m0_fedavg,F1,0,0.0002899422853882875,0.004971043061966623
cifar100,m0_fedavg,F1,0,0.0003036771118035457,0.004971043061966623
cifar100,m0_fedavg,F1,0,0.0003180625692794119,0.00502001885568058
cifar100,m0_fedavg,F1,0,0.00033312947879346737,0.005093482546251515
cifar100,m0_fedavg,F1,0,0.0003489101213406774,0.005154702288393961
cifar100,m0_fedavg,F1,0,0.00036543830709572547,0.00564446022553353
cifar100,m0_fedavg,F1,0,0.0003827494478516311,0.00580363155510389
cifar100,m0_fedavg,F1,0,0.0004008806328898465,0.005864851297246336
cifar100,m0_fedavg,F1,0,0.000419870708444391,0.0061831939563870555
cifar100,m0_fedavg,F1,0,0.00043976036093027214,0.006317877389100437
cifar100,m0_fedavg,F1,0,0.00046059220411451035,0.006342365285957416
cifar100,m0_fedavg,F1,0,0.00048241087041653687,0.00642807292495684
cifar100,m0_fedavg,F1,0,0.0005052631065335679,0.006550512409241732
cifar100,m0_fedavg,F1,0,0.0005291978735958442,0.006709683738812092
cifar100,m0_fedavg,F1,0,0.0005542664520663107,0.006807635326240006
cifar100,m0_fedavg,F1,0,0.0005805225516094895,0.006979050604238855
cifar100,m0_fedavg,F1,0,0.0006080224261649427,0.007199441675951661
cifar100,m0_fedavg,F1,0,0.0006368249944718586,0.00737085695395051
cifar100,m0_fedavg,F1,0,0.0006669919663030121,0.007603491974091805
cifar100,m0_fedavg,F1,0,0.0006985879746785249,0.007787151200519144
cifar100,m0_fedavg,F1,0,0.0007316807143427193,0.007799395148947633
cifar100,m0_fedavg,F1,0,0.0007663410868007462,0.007897346736375547
cifar100,m0_fedavg,F1,0,0.0008026433522257174,0.00800754227223195
cifar100,m0_fedavg,F1,0,0.0008406652885618325,0.008215689395516266
cifar100,m0_fedavg,F1,0,0.0008804883581643465,0.008264665189230223
cifar100,m0_fedavg,F1,0,0.0009221978823334322,0.008289153086087202
cifar100,m0_fedavg,F1,0,0.0009658832241158709,0.008570763899942454
cifar100,m0_fedavg,F1,0,0.001011637979766207,0.008729935229512813
cifar100,m0_fedavg,F1,0,0.001059560179277616,0.008925838404368641
cifar100,m0_fedavg,F1,0,0.0011097524964120721,0.009036033940225044
cifar100,m0_fedavg,F1,0,0.0011623224686798518,0.009329888702508785
cifar100,m0_fedavg,F1,0,0.001217382727739662,0.0094278402899367
cifar100,m0_fedavg,F1,0,0.0012750512407130128,0.009770670845934398
cifar100,m0_fedavg,F1,0,0.0013354515629298987,0.009954330072361735
cifar100,m0_fedavg,F1,0,0.0013987131026472386,0.01018696509250303
cifar100,m0_fedavg,F1,0,0.0014649713983072847,0.010480819854786771
cifar100,m0_fedavg,F1,0,0.0015343684089300133,0.010774674617070512
cifar100,m0_fedavg,F1,0,0.0016070528182616384,0.010909358049783895
cifar100,m0_fedavg,F1,0,0.0016831803533309566,0.011105261224639722
cifar100,m0_fedavg,F1,0,0.001762914118095948,0.011239944657353102
cifar100,m0_fedavg,F1,0,0.0018464249428955426,0.011497067574351377
cifar100,m0_fedavg,F1,0,0.0019338917504552321,0.01176643443977814
cifar100,m0_fedavg,F1,0,0.0020255019392306666,0.011962337614633967
cifar100,m0_fedavg,F1,0,0.00212145178491063,0.012341900015917133
cifar100,m0_fedavg,F1,0,0.002221946860939524,0.012501071345487494
cifar100,m0_fedavg,F1,0,0.0023272024789604074,0.012635754778200874
cifar100,m0_fedavg,F1,0,0.002437444150122222,0.013088780870054975
cifar100,m0_fedavg,F1,0,0.0025529080682395165,0.013505075116623608
cifar100,m0_fedavg,F1,0,0.0026738416158399465,0.013676490394622457
