dataset,method,family,seed,fpr,tpr
cifar100,m2_target,F1,0,0.0,0.0046588372318742115
cifar100,m2_target,F1,0,0.0001,0.005726487430845385
cifar100,m2_target,F1,0,0.00010473708979594497,0.005726487430845385
cifar100,m2_target,F1,0,0.00010969857978923841,0.005726487430845385
cifar100,m2_target,F1,0,0.00011489510001873086,0.005726487430845385
cifar100,m2_target,F1,0,0.00012033778407775893,0.005726487430845385
cifar100,m2_target,F1,0,0.00012603829296797275,0.005726487430845385
cifar100,m2_target,F1,0,0.0001320088400831418,0.005726487430845385
cifar100,m2_target,F1,0,0.00013826221737646565,0.005726487430845385
cifar100,m2_target,F1,0,0.0001448118227674533,0.005726487430845385
cifar100,m2_target,F1,0,0.00015167168884709225,0.006745608075317868
cifar100,m2_target,F1,0,0.00015885651294280528,0.006745608075317868
cifar100,m2_target,F1,0,0.0001663816886076129,0.006745608075317868
cifar100,m2_target,F1,0,0.00017426333860096508,0.006745608075317868
cifar100,m2_target,F1,0,0.00018251834943190426,0.006745608075317868
cifar100,m2_target,F1,0,0.00019116440753857018,0.006745608075317868
cifar100,m2_target,F1,0,0.00020022003718155845,0.006891196738813938
cifar100,m2_target,F1,0,0.00020970464013232327,0.006891196738813938
cifar100,m2_target,F1,0,0.0002196385372416547,0.006891196738813938
cifar100,m2_target,F1,0,0.0002300430119772917,0.006891196738813938
cifar100,m2_target,F1,0,0.00024094035602395243,0.006891196738813938
cifar100,m2_target,F1,0,0.0002523539170434766,0.007182374065806076
cifar100,m2_target,F1,0,0.00026430814869741055,0.007182374065806076
cifar100,m2_target,F1,0,0.00027682866303920667,0.007182374065806076
cifar100,m2_target,F1,0,0.0002899422853882875,0.007182374065806076
cifar100,m2_target,F1,0,0.0003036771118035457,0.007473551392798214
cifar100,m2_target,F1,0,0.0003180625692794119,0.007473551392798214
cifar100,m2_target,F1,0,0.00033312947879346737,0.007473551392798214
cifar100,m2_target,F1,0,0.0003489101213406774,0.00810443560128118
cifar100,m2_target,F1,0,0.00036543830709572547,0.00810443560128118
cifar100,m2_target,F1,0,0.0003827494478516311,0.00810443560128118
cifar100,m2_target,F1,0,0.0004008806328898465,0.00810443560128118
cifar100,m2_target,F1,0,0.000419870708444391,0.00810443560128118
cifar100,m2_target,F1,0,0.00043976036093027214,0.00810443560128118
cifar100,m2_target,F1,0,0.00046059220411451035,0.00810443560128118
cifar100,m2_target,F1,0,0.00048241087041653687,0.00810443560128118
cifar100,m2_target,F1,0,0.0005052631065335679,0.00810443560128118
cifar100,m2_target,F1,0,0.0005291978735958442,0.00810443560128118
cifar100,m2_target,F1,0,0.0005542664520663107,0.00834708337377463
cifar100,m2_target,F1,0,0.0005805225516094895,0.00834708337377463
cifar100,m2_target,F1,0,0.0006080224261649427,0.008395612928273318
