dataset,method,family,seed,fpr,tpr
cifar100,m3_fot,F1,0,0.0,0.0
cifar100,m3_fot,F1,0,0.0001,0.0016446572824457021
cifar100,m3_fot,F1,0,0.00010473708979594497,0.0016446572824457021
cifar100,m3_fot,F1,0,0.00010969857978923841,0.0016446572824457021
cifar100,m3_fot,F1,0,0.00011489510001873086,0.0016446572824457021
cifar100,m3_fot,F1,0,0.00012033778407775893,0.0016446572824457021
cifar100,m3_fot,F1,0,0.00012603829296797275,0.0016446572824457021
cifar100,m3_fot,F1,0,0.0001320088400831418,0.0016446572824457021
cifar100,m3_fot,F1,0,0.00013826221737646565,0.0016446572824457021
cifar100,m3_fot,F1,0,0.0001448118227674533,0.0016446572824457021
cifar100,m3_fot,F1,0,0.00015167168884709225,0.00261210274270788
cifar100,m3_fot,F1,0,0.00015885651294280528,0.00261210274270788
cifar100,m3_fot,F1,0,0.0001663816886076129,0.00261210274270788
cifar100,m3_fot,F1,0,0.00017426333860096508,0.00261210274270788
cifar100,m3_fot,F1,0,0.00018251834943190426,0.00261210274270788
cifar100,m3_fot,F1,0,0.00019116440753857018,0.00261210274270788
cifar100,m3_fot,F1,0,0.00020022003718155845,0.0028539641077734244
cifar100,m3_fot,F1,0,0.00020970464013232327,0.0028539641077734244
cifar100,m3_fot,F1,0,0.0002196385372416547,0.0028539641077734244
cifar100,m3_fot,F1,0,0.0002300430119772917,0.0028539641077734244
cifar100,m3_fot,F1,0,0.00024094035602395243,0.0028539641077734244
cifar100,m3_fot,F1,0,0.0002523539170434766,0.002902336380786533
cifar100,m3_fot,F1,0,0.00026430814869741055,0.002902336380786533
cifar100,m3_fot,F1,0,0.00027682866303920667,0.002902336380786533
cifar100,m3_fot,F1,0,0.0002899422853882875,0.002902336380786533
cifar100,m3_fot,F1,0,0.0003036771118035457,0.002950708653799642
cifar100,m3_fot,F1,0,0.0003180625692794119,0.002950708653799642
cifar100,m3_fot,F1,0,0.00033312947879346737,0.002950708653799642
cifar100,m3_fot,F1,0,0.0003489101213406774,0.002999080926812751
cifar100,m3_fot,F1,0,0.00036543830709572547,0.002999080926812751
cifar100,m3_fot,F1,0,0.0003827494478516311,0.002999080926812751
cifar100,m3_fot,F1,0,0.0004008806328898465,0.0031441977458520776
cifar100,m3_fot,F1,0,0.000419870708444391,0.0031441977458520776
cifar100,m3_fot,F1,0,0.00043976036093027214,0.0031441977458520776
cifar100,m3_fot,F1,0,0.00046059220411451035,0.0031925700188651864
cifar100,m3_fot,F1,0,0.00048241087041653687,0.0031925700188651864
cifar100,m3_fot,F1,0,0.0005052631065335679,0.003386059110917622
cifar100,m3_fot,F1,0,0.0005291978735958442,0.003386059110917622
cifar100,m3_fot,F1,0,0.0005542664520663107,0.003434431383930731
cifar100,m3_fot,F1,0,0.0005805225516094895,0.003434431383930731
cifar100,m3_fot,F1,0,0.0006080224261649427,0.003434431383930731
cifar100,m3_fot,F1,0,0.0006368249944718586,0.003434431383930731
cifar100,m3_fot,F1,0,0.0006669919663030121,0.003869781841048711
cifar100,m3_fot,F1,0,0.0006985879746785249,0.003869781841048711
cifar100,m3_fot,F1,0,0.0007316807143427193,0.003869781841048711
cifar100,m3_fot,F1,0,0.0007663410868007462,0.004111643206114255
cifar100,m3_fot,F1,0,0.0008026433522257174,0.004160015479127364
cifar100,m3_fot,F1,0,0.0008406652885618325,0.004160015479127364
cifar100,m3_fot,F1,0,0.0008804883581643465,0.004160015479127364
cifar100,m3_fot,F1,0,0.0009221978823334322,0.004160015479127364
cifar100,m3_fot,F1,0,0.0009658832241158709,0.004546993663232236
cifar100,m3_fot,F1,0,0.001011637979766207,0.004546993663232236
cifar100,m3_fot,F1,0,0.001059560179277616,0.004546993663232236
cifar100,m3_fot,F1,0,0.0011097524964120721,0.004643738209258453
cifar100,m3_fot,F1,0,0.0011623224686798518,0.004692110482271562
cifar100,m3_fot,F1,0,0.001217382727739662,0.004933971847337106
cifar100,m3_fot,F1,0,0.0012750512407130128,0.0049823441203502156
cifar100,m3_fot,F1,0,0.0013354515629298987,0.005030716393363324
cifar100,m3_fot,F1,0,0.0013987131026472386,0.005030716393363324
cifar100,m3_fot,F1,0,0.0014649713983072847,0.005127460939389542
cifar100,m3_fot,F1,0,0.0015343684089300133,0.0051758332124026505
cifar100,m3_fot,F1,0,0.0016070528182616384,0.005562811396507522
cifar100,m3_fot,F1,0,0.0016831803533309566,0.005804672761573066
cifar100,m3_fot,F1,0,0.001762914118095948,0.005901417307599284
cifar100,m3_fot,F1,0,0.0018464249428955426,0.006481884583756591
cifar100,m3_fot,F1,0,0.0019338917504552321,0.006820490494848353
cifar100,m3_fot,F1,0,0.0020255019392306666,0.007159096405940115
cifar100,m3_fot,F1,0,0.00212145178491063,0.007691191409084313
cifar100,m3_fot,F1,0,0.002221946860939524,0.008029797320176075
cifar100,m3_fot,F1,0,0.0023272024789604074,0.00822328641222851
cifar100,m3_fot,F1,0,0.002437444150122222,0.008368403231267836
cifar100,m3_fot,F1,0,0.0025529080682395165,0.008416775504280946
cifar100,m3_fot,F1,0,0.0026738416158399465,0.008513520050307165
cifar100,m3_fot,F1,0,0.002800503894183631,0.0087070091423596
cifar100,m3_fot,F1,0,0.0029331662783900424,0.00914235959947758
cifar100,m3_fot,F1,0,0.003072112998861759,0.009190731872490688
cifar100,m3_fot,F1,0,0.0032176417502507355,0.009432593237556233
cifar100,m3_fot,F1,0,0.003370064329271928,0.009819571421661104
cifar100,m3_fot,F1,0,0.00352970730273065,0.009867943694674213
cifar100,m3_fot,F1,0,0.0036969127071950283,0.010400038697818411
cifar100,m3_fot,F1,0,0.003872038781812557,0.010545155516857738
cifar100,m3_fot,F1,0,0.004055460735840828,0.011367484158080587
cifar100,m3_fot,F1,0,0.0042475715525368985,0.012189812799303439
cifar100,m3_fot,F1,0,0.004448782831127585,0.012528418710395202
cifar100,m3_fot,F1,0,0.004659525668664682,0.012721907802447637
cifar100,m3_fot,F1,0,0.004880251583654433,0.013640980989696705
cifar100,m3_fot,F1,0,0.005111433483440166,0.013979586900788469
cifar100,m3_fot,F1,0,0.0053535666774107244,0.014801915542011318
cifar100,m3_fot,F1,0,0.005607169938205458,0.015140521453103082
cifar100,m3_fot,F1,0,0.005872786613189483,0.015962850094325933
cifar100,m3_fot,F1,0,0.006150985788580504,0.01644657282445702
cifar100,m3_fot,F1,0,0.00644236350872137,0.0174140182847192
cifar100,m3_fot,F1,0,0.006747544053110693,0.01828471919895516
cifar100,m3_fot,F1,0,0.0070671812739274914,0.019058675567164902
cifar100,m3_fot,F1,0,0.007401959996915644,0.019929376481400862
cifar100,m3_fot,F1,0,0.007752597488629464,0.01997774875441397
cifar100,m3_fot,F1,0,0.008119844993184008,0.021187055579741692
cifar100,m3_fot,F1,0,0.008504489341802677,0.02220287331301698
cifar100,m3_fot,F1,0,0.00890735463861044,0.023121946500266048
cifar100,m3_fot,F1,0,0.009329304026284686,0.023605669230397135
cifar100,m3_fot,F1,0,0.009771241535346501,0.02423450877956755
cifar100,m3_fot,F1,0,0.010234114021054527,0.02476660378271175
cifar100,m3_fot,F1,0,0.010718913192051276,0.025927538335026364
cifar100,m3_fot,F1,0,0.011226677735108135,0.027668940163498284
cifar100,m3_fot,F1,0,0.01175849554052157,0.02868475789677357
cifar100,m3_fot,F1,0,0.012315506032928261,0.029168480626904657
cifar100,m3_fot,F1,0,0.01289890261253308,0.0299424369951144
cifar100,m3_fot,F1,0,0.013509935211980266,0.03086151018236347
cifar100,m3_fot,F1,0,0.01414991297434576,0.03342524065205824
cifar100,m3_fot,F1,0,0.014820207057988586,0.03516664248053016
cifar100,m3_fot,F1,0,0.01552225357427048,0.036230832486818555
