dataset,method,family,seed,fpr,tpr
cifar100,m5_hybrid_replay,F1,0,0.0,0.004235860409145607
cifar100,m5_hybrid_replay,F1,0,0.0001,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.00010473708979594497,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.00010969857978923841,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.00011489510001873086,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.00012033778407775893,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.00012603829296797275,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.0001320088400831418,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.00013826221737646565,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.0001448118227674533,0.006450060168471721
cifar100,m5_hybrid_replay,F1,0,0.00015167168884709225,0.00654632972322503
cifar100,m5_hybrid_replay,F1,0,0.00015885651294280528,0.00654632972322503
cifar100,m5_hybrid_replay,F1,0,0.0001663816886076129,0.00654632972322503
cifar100,m5_hybrid_replay,F1,0,0.00017426333860096508,0.00654632972322503
cifar100,m5_hybrid_replay,F1,0,0.00018251834943190426,0.00654632972322503
cifar100,m5_hybrid_replay,F1,0,0.00019116440753857018,0.00654632972322503
cifar100,m5_hybrid_replay,F1,0,0.00020022003718155845,0.006642599277978339
cifar100,m5_hybrid_replay,F1,0,0.00020970464013232327,0.006642599277978339
cifar100,m5_hybrid_replay,F1,0,0.0002196385372416547,0.006642599277978339
cifar100,m5_hybrid_replay,F1,0,0.0002300430119772917,0.006642599277978339
cifar100,m5_hybrid_replay,F1,0,0.00024094035602395243,0.006642599277978339
cifar100,m5_hybrid_replay,F1,0,0.0002523539170434766,0.007364620938628159
cifar100,m5_hybrid_replay,F1,0,0.00026430814869741055,0.007364620938628159
cifar100,m5_hybrid_replay,F1,0,0.00027682866303920667,0.007364620938628159
cifar100,m5_hybrid_replay,F1,0,0.0002899422853882875,0.007364620938628159
cifar100,m5_hybrid_replay,F1,0,0.0003036771118035457,0.0077978339350180505
cifar100,m5_hybrid_replay,F1,0,0.0003180625692794119,0.0077978339350180505
cifar100,m5_hybrid_replay,F1,0,0.00033312947879346737,0.0077978339350180505
cifar100,m5_hybrid_replay,F1,0,0.0003489101213406774,0.008664259927797834
cifar100,m5_hybrid_replay,F1,0,0.00036543830709572547,0.008664259927797834
cifar100,m5_hybrid_replay,F1,0,0.0003827494478516311,0.008664259927797834
cifar100,m5_hybrid_replay,F1,0,0.0004008806328898465,0.008808664259927797
cifar100,m5_hybrid_replay,F1,0,0.000419870708444391,0.008808664259927797
cifar100,m5_hybrid_replay,F1,0,0.00043976036093027214,0.008808664259927797
cifar100,m5_hybrid_replay,F1,0,0.00046059220411451035,0.008808664259927797
cifar100,m5_hybrid_replay,F1,0,0.00048241087041653687,0.008808664259927797
cifar100,m5_hybrid_replay,F1,0,0.0005052631065335679,0.008856799037304453
cifar100,m5_hybrid_replay,F1,0,0.0005291978735958442,0.008856799037304453
cifar100,m5_hybrid_replay,F1,0,0.0005542664520663107,0.00924187725631769
cifar100,m5_hybrid_replay,F1,0,0.0005805225516094895,0.00924187725631769
cifar100,m5_hybrid_replay,F1,0,0.0006080224261649427,0.009675090252707581
cifar100,m5_hybrid_replay,F1,0,0.0006368249944718586,0.009675090252707581
cifar100,m5_hybrid_replay,F1,0,0.0006669919663030121,0.00996389891696751
cifar100,m5_hybrid_replay,F1,0,0.0006985879746785249,0.010204572803850781
cifar100,m5_hybrid_replay,F1,0,0.0007316807143427193,0.010204572803850781
cifar100,m5_hybrid_replay,F1,0,0.0007663410868007462,0.01058965102286402
cifar100,m5_hybrid_replay,F1,0,0.0008026433522257174,0.010926594464500602
cifar100,m5_hybrid_replay,F1,0,0.0008406652885618325,0.010974729241877257
cifar100,m5_hybrid_replay,F1,0,0.0008804883581643465,0.010974729241877257
cifar100,m5_hybrid_replay,F1,0,0.0009221978823334322,0.011263537906137185
cifar100,m5_hybrid_replay,F1,0,0.0009658832241158709,0.011552346570397111
cifar100,m5_hybrid_replay,F1,0,0.001011637979766207,0.011696750902527076
cifar100,m5_hybrid_replay,F1,0,0.001059560179277616,0.011793020457280385
cifar100,m5_hybrid_replay,F1,0,0.0011097524964120721,0.011793020457280385
cifar100,m5_hybrid_replay,F1,0,0.0011623224686798518,0.011793020457280385
cifar100,m5_hybrid_replay,F1,0,0.001217382727739662,0.011937424789410348
cifar100,m5_hybrid_replay,F1,0,0.0012750512407130128,0.012033694344163659
cifar100,m5_hybrid_replay,F1,0,0.0013354515629298987,0.012081829121540313
cifar100,m5_hybrid_replay,F1,0,0.0013987131026472386,0.012226233453670276
cifar100,m5_hybrid_replay,F1,0,0.0014649713983072847,0.01227436823104693
cifar100,m5_hybrid_replay,F1,0,0.0015343684089300133,0.012515042117930204
cifar100,m5_hybrid_replay,F1,0,0.0016070528182616384,0.012755716004813478
cifar100,m5_hybrid_replay,F1,0,0.0016831803533309566,0.01318892900120337
cifar100,m5_hybrid_replay,F1,0,0.001762914118095948,0.013285198555956678
cifar100,m5_hybrid_replay,F1,0,0.0018464249428955426,0.013429602888086643
cifar100,m5_hybrid_replay,F1,0,0.0019338917504552321,0.013862815884476534
cifar100,m5_hybrid_replay,F1,0,0.0020255019392306666,0.014584837545126354
cifar100,m5_hybrid_replay,F1,0,0.00212145178491063,0.014584837545126354
cifar100,m5_hybrid_replay,F1,0,0.002221946860939524,0.014729241877256318
cifar100,m5_hybrid_replay,F1,0,0.0023272024789604074,0.014825511432009627
cifar100,m5_hybrid_replay,F1,0,0.002437444150122222,0.015980746089049338
cifar100,m5_hybrid_replay,F1,0,0.0025529080682395165,0.016269554753309264
cifar100,m5_hybrid_replay,F1,0,0.0026738416158399465,0.016702767749699157
cifar100,m5_hybrid_replay,F1,0,0.002800503894183631,0.01694344163658243
cifar100,m5_hybrid_replay,F1,0,0.0029331662783900424,0.01703971119133574
cifar100,m5_hybrid_replay,F1,0,0.003072112998861759,0.017376654632972322
cifar100,m5_hybrid_replay,F1,0,0.0032176417502507355,0.017665463297232252
cifar100,m5_hybrid_replay,F1,0,0.003370064329271928,0.018243080625752105
cifar100,m5_hybrid_replay,F1,0,0.00352970730273065,0.018724428399518652
cifar100,m5_hybrid_replay,F1,0,0.0036969127071950283,0.01944645006016847
