dataset,method,family,seed,fpr,tpr
cifar100,m8_analytic,F5,0,0.0,1.0
cifar100,m8_analytic,F5,0,0.0001,1.0
cifar100,m8_analytic,F5,0,0.00010473708979594497,1.0
cifar100,m8_analytic,F5,0,0.00010969857978923841,1.0
cifar100,m8_analytic,F5,0,0.00011489510001873086,1.0
cifar100,m8_analytic,F5,0,0.00012033778407775893,1.0
cifar100,m8_analytic,F5,0,0.00012603829296797275,1.0
cifar100,m8_analytic,F5,0,0.0001320088400831418,1.0
cifar100,m8_analytic,F5,0,0.00013826221737646565,1.0
cifar100,m8_analytic,F5,0,0.0001448118227674533,1.0
cifar100,m8_analytic,F5,0,0.00015167168884709225,1.0
cifar100,m8_analytic,F5,0,0.00015885651294280528,1.0
cifar100,m8_analytic,F5,0,0.0001663816886076129,1.0
cifar100,m8_analytic,F5,0,0.00017426333860096508,1.0
cifar100,m8_analytic,F5,0,0.00018251834943190426,1.0
cifar100,m8_analytic,F5,0,0.00019116440753857018,1.0
cifar100,m8_analytic,F5,0,0.00020022003718155845,1.0
cifar100,m8_analytic,F5,0,0.00020970464013232327,1.0
cifar100,m8_analytic,F5,0,0.0002196385372416547,1.0
cifar100,m8_analytic,F5,0,0.0002300430119772917,1.0
cifar100,m8_analytic,F5,0,0.00024094035602395243,1.0
cifar100,m8_analytic,F5,0,0.0002523539170434766,1.0
cifar100,m8_analytic,F5,0,0.00026430814869741055,1.0
cifar100,m8_analytic,F5,0,0.00027682866303920667,1.0
cifar100,m8_analytic,F5,0,0.0002899422853882875,1.0
cifar100,m8_analytic,F5,0,0.0003036771118035457,1.0
cifar100,m8_analytic,F5,0,0.0003180625692794119,1.0
cifar100,m8_analytic,F5,0,0.00033312947879346737,1.0
cifar100,m8_analytic,F5,0,0.0003489101213406774,1.0
cifar100,m8_analytic,F5,0,0.00036543830709572547,1.0
cifar100,m8_analytic,F5,0,0.0003827494478516311,1.0
cifar100,m8_analytic,F5,0,0.0004008806328898465,1.0
cifar100,m8_analytic,F5,0,0.000419870708444391,1.0
cifar100,m8_analytic,F5,0,0.00043976036093027214,1.0
cifar100,m8_analytic,F5,0,0.00046059220411451035,1.0
cifar100,m8_analytic,F5,0,0.00048241087041653687,1.0
cifar100,m8_analytic,F5,0,0.0005052631065335679,1.0
cifar100,m8_analytic,F5,0,0.0005291978735958442,1.0
cifar100,m8_analytic,F5,0,0.0005542664520663107,1.0
cifar100,m8_analytic,F5,0,0.0005805225516094895,1.0
cifar100,m8_analytic,F5,0,0.0006080224261649427,1.0
cifar100,m8_analytic,F5,0,0.0006368249944718586,1.0
cifar100,m8_analytic,F5,0,0.0006669919663030121,1.0
cifar100,m8_analytic,F5,0,0.0006985879746785249,1.0
cifar100,m8_analytic,F5,0,0.0007316807143427193,1.0
cifar100,m8_analytic,F5,0,0.0007663410868007462,1.0
cifar100,m8_analytic,F5,0,0.0008026433522257174,1.0
cifar100,m8_analytic,F5,0,0.0008406652885618325,1.0
cifar100,m8_analytic,F5,0,0.0008804883581643465,1.0
cifar100,m8_analytic,F5,0,0.0009221978823334322,1.0
cifar100,m8_analytic,F5,0,0.0009658832241158709,1.0
cifar100,m8_analytic,F5,0,0.001011637979766207,1.0
cifar100,m8_analytic,F5,0,0.001059560179277616,1.0
cifar100,m8_analytic,F5,0,0.0011097524964120721,1.0
cifar100,m8_analytic,F5,0,0.0011623224686798518,1.0
cifar100,m8_analytic,F5,0,0.001217382727739662,1.0
cifar100,m8_analytic,F5,0,0.0012750512407130128,1.0
cifar100,m8_analytic,F5,0,0.0013354515629298987,1.0
cifar100,m8_analytic,F5,0,0.0013987131026472386,1.0
cifar100,m8_analytic,F5,0,0.0014649713983072847,1.0
cifar100,m8_analytic,F5,0,0.0015343684089300133,1.0
cifar100,m8_analytic,F5,0,0.0016070528182616384,1.0
cifar100,m8_analytic,F5,0,0.0016831803533309566,1.0
cifar100,m8_analytic,F5,0,0.001762914118095948,1.0
cifar100,m8_analytic,F5,0,0.0018464249428955426,1.0
cifar100,m8_analytic,F5,0,0.0019338917504552321,1.0
cifar100,m8_analytic,F5,0,0.0020255019392306666,1.0
cifar100,m8_analytic,F5,0,0.00212145178491063,1.0
cifar100,m8_analytic,F5,0,0.002221946860939524,1.0
cifar100,m8_analytic,F5,0,0.0023272024789604074,1.0
cifar100,m8_analytic,F5,0,0.002437444150122222,1.0
