dataset,method,family,seed,fpr,tpr
cub200,m3_fot,F1,0,0.0,0.000589304130039778
cub200,m3_fot,F1,0,0.0001,0.004076020232775131
cub200,m3_fot,F1,0,0.00010473708979594497,0.004076020232775131
cub200,m3_fot,F1,0,0.00010969857978923841,0.004076020232775131
cub200,m3_fot,F1,0,0.00011489510001873086,0.004076020232775131
cub200,m3_fot,F1,0,0.00012033778407775893,0.004076020232775131
cub200,m3_fot,F1,0,0.00012603829296797275,0.004076020232775131
cub200,m3_fot,F1,0,0.0001320088400831418,0.004076020232775131
cub200,m3_fot,F1,0,0.00013826221737646565,0.004076020232775131
cub200,m3_fot,F1,0,0.0001448118227674533,0.004076020232775131
cub200,m3_fot,F1,0,0.00015167168884709225,0.005401954525364632
cub200,m3_fot,F1,0,0.00015885651294280528,0.005401954525364632
cub200,m3_fot,F1,0,0.0001663816886076129,0.005401954525364632
cub200,m3_fot,F1,0,0.00017426333860096508,0.005401954525364632
cub200,m3_fot,F1,0,0.00018251834943190426,0.005401954525364632
cub200,m3_fot,F1,0,0.00019116440753857018,0.005401954525364632
cub200,m3_fot,F1,0,0.00020022003718155845,0.006531454107940873
cub200,m3_fot,F1,0,0.00020970464013232327,0.006531454107940873
cub200,m3_fot,F1,0,0.0002196385372416547,0.006531454107940873
cub200,m3_fot,F1,0,0.0002300430119772917,0.006531454107940873
cub200,m3_fot,F1,0,0.00024094035602395243,0.006531454107940873
cub200,m3_fot,F1,0,0.0002523539170434766,0.007366301625497226
cub200,m3_fot,F1,0,0.00026430814869741055,0.007366301625497226
cub200,m3_fot,F1,0,0.00027682866303920667,0.007366301625497226
cub200,m3_fot,F1,0,0.0002899422853882875,0.007366301625497226
cub200,m3_fot,F1,0,0.0003036771118035457,0.00741541030300054
cub200,m3_fot,F1,0,0.0003180625692794119,0.00741541030300054
cub200,m3_fot,F1,0,0.00033312947879346737,0.00741541030300054
cub200,m3_fot,F1,0,0.0003489101213406774,0.007464518980503855
cub200,m3_fot,F1,0,0.00036543830709572547,0.007464518980503855
cub200,m3_fot,F1,0,0.0003827494478516311,0.007464518980503855
cub200,m3_fot,F1,0,0.0004008806328898465,0.007611845013013799
cub200,m3_fot,F1,0,0.000419870708444391,0.007611845013013799
cub200,m3_fot,F1,0,0.00043976036093027214,0.007808279723027059
cub200,m3_fot,F1,0,0.00046059220411451035,0.007808279723027059
cub200,m3_fot,F1,0,0.00048241087041653687,0.007808279723027059
cub200,m3_fot,F1,0,0.0005052631065335679,0.008250257820556892
cub200,m3_fot,F1,0,0.0005291978735958442,0.008250257820556892
cub200,m3_fot,F1,0,0.0005542664520663107,0.010214604920689485
cub200,m3_fot,F1,0,0.0005805225516094895,0.010214604920689485
cub200,m3_fot,F1,0,0.0006080224261649427,0.011196778470755783
cub200,m3_fot,F1,0,0.0006368249944718586,0.011245887148259097
cub200,m3_fot,F1,0,0.0006669919663030121,0.011245887148259097
cub200,m3_fot,F1,0,0.0006985879746785249,0.013357560280901635
cub200,m3_fot,F1,0,0.0007316807143427193,0.013799538378431469
cub200,m3_fot,F1,0,0.0007663410868007462,0.013799538378431469
cub200,m3_fot,F1,0,0.0008026433522257174,0.014290625153464617
cub200,m3_fot,F1,0,0.0008406652885618325,0.015371016058537544
cub200,m3_fot,F1,0,0.0008804883581643465,0.017286254481166823
cub200,m3_fot,F1,0,0.0009221978823334322,0.01777734125619997
cub200,m3_fot,F1,0,0.0009658832241158709,0.01777734125619997
cub200,m3_fot,F1,0,0.001011637979766207,0.019005058193782842
