dataset,method,family,seed,fpr,tpr
cub200,m4_proto,F2,0,0.0,0.804563112108114
cub200,m4_proto,F2,0,0.0001,0.9573781255129398
cub200,m4_proto,F2,0,0.00010473708979594497,0.9573781255129398
cub200,m4_proto,F2,0,0.00010969857978923841,0.9573781255129398
cub200,m4_proto,F2,0,0.00011489510001873086,0.9573781255129398
cub200,m4_proto,F2,0,0.00012033778407775893,0.9573781255129398
cub200,m4_proto,F2,0,0.00012603829296797275,0.9589648191716365
cub200,m4_proto,F2,0,0.0001320088400831418,0.9589648191716365
cub200,m4_proto,F2,0,0.00013826221737646565,0.9589648191716365
cub200,m4_proto,F2,0,0.0001448118227674533,0.9589648191716365
cub200,m4_proto,F2,0,0.00015167168884709225,0.9589648191716365
cub200,m4_proto,F2,0,0.00015885651294280528,0.9589648191716365
cub200,m4_proto,F2,0,0.0001663816886076129,0.9589648191716365
cub200,m4_proto,F2,0,0.00017426333860096508,0.9589648191716365
cub200,m4_proto,F2,0,0.00018251834943190426,0.9589648191716365
cub200,m4_proto,F2,0,0.00019116440753857018,0.962411774361219
cub200,m4_proto,F2,0,0.00020022003718155845,0.962411774361219
cub200,m4_proto,F2,0,0.00020970464013232327,0.962411774361219
cub200,m4_proto,F2,0,0.0002196385372416547,0.962411774361219
cub200,m4_proto,F2,0,0.0002300430119772917,0.962411774361219
cub200,m4_proto,F2,0,0.00024094035602395243,0.962411774361219
cub200,m4_proto,F2,0,0.0002523539170434766,0.9652021666575478
cub200,m4_proto,F2,0,0.00026430814869741055,0.9652021666575478
cub200,m4_proto,F2,0,0.00027682866303920667,0.9652021666575478
cub200,m4_proto,F2,0,0.0002899422853882875,0.9652021666575478
cub200,m4_proto,F2,0,0.0003036771118035457,0.9652021666575478
cub200,m4_proto,F2,0,0.0003180625692794119,0.9689226897193194
cub200,m4_proto,F2,0,0.00033312947879346737,0.9689226897193194
cub200,m4_proto,F2,0,0.0003489101213406774,0.9689226897193194
cub200,m4_proto,F2,0,0.00036543830709572547,0.9689226897193194
cub200,m4_proto,F2,0,0.0003827494478516311,0.9709470919735186
cub200,m4_proto,F2,0,0.0004008806328898465,0.9709470919735186
cub200,m4_proto,F2,0,0.000419870708444391,0.9709470919735186
cub200,m4_proto,F2,0,0.00043976036093027214,0.9716583684412102
cub200,m4_proto,F2,0,0.00046059220411451035,0.9716583684412102
cub200,m4_proto,F2,0,0.00048241087041653687,0.9716583684412102
cub200,m4_proto,F2,0,0.0005052631065335679,0.9718772227389615
cub200,m4_proto,F2,0,0.0005291978735958442,0.9718772227389615
cub200,m4_proto,F2,0,0.0005542664520663107,0.9718772227389615
cub200,m4_proto,F2,0,0.0005805225516094895,0.9727526399299666
cub200,m4_proto,F2,0,0.0006080224261649427,0.9727526399299666
cub200,m4_proto,F2,0,0.0006368249944718586,0.9732997756743448
cub200,m4_proto,F2,0,0.0006669919663030121,0.9732997756743448
cub200,m4_proto,F2,0,0.0006985879746785249,0.9742299064397877
cub200,m4_proto,F2,0,0.0007316807143427193,0.9742299064397877
cub200,m4_proto,F2,0,0.0007663410868007462,0.9770202987361164
cub200,m4_proto,F2,0,0.0008026433522257174,0.9770202987361164
cub200,m4_proto,F2,0,0.0008406652885618325,0.9770750123105543
cub200,m4_proto,F2,0,0.0008804883581643465,0.977129725884992
cub200,m4_proto,F2,0,0.0009221978823334322,0.977129725884992
cub200,m4_proto,F2,0,0.0009658832241158709,0.9771844394594299
cub200,m4_proto,F2,0,0.001011637979766207,0.9784975652459376
cub200,m4_proto,F2,0,0.001059560179277616,0.9785522788203753
cub200,m4_proto,F2,0,0.0011097524964120721,0.9785522788203753
cub200,m4_proto,F2,0,0.0011623224686798518,0.9794276960113805
cub200,m4_proto,F2,0,0.001217382727739662,0.979865404606883
cub200,m4_proto,F2,0,0.0012750512407130128,0.9816162389888932
cub200,m4_proto,F2,0,0.0013354515629298987,0.9824916561798982
cub200,m4_proto,F2,0,0.0013987131026472386,0.9838047819664059
cub200,m4_proto,F2,0,0.0014649713983072847,0.9838047819664059
cub200,m4_proto,F2,0,0.0015343684089300133,0.9839142091152815
cub200,m4_proto,F2,0,0.0016070528182616384,0.9839689226897194
cub200,m4_proto,F2,0,0.0016831803533309566,0.9849537670296
cub200,m4_proto,F2,0,0.001762914118095948,0.9850631941784757
cub200,m4_proto,F2,0,0.0018464249428955426,0.9856650434972917
cub200,m4_proto,F2,0,0.0019338917504552321,0.9863763199649833
cub200,m4_proto,F2,0,0.0020255019392306666,0.9865951742627346
cub200,m4_proto,F2,0,0.00212145178491063,0.98796301362368
cub200,m4_proto,F2,0,0.002221946860939524,0.98796301362368
cub200,m4_proto,F2,0,0.0023272024789604074,0.9881818679214313
cub200,m4_proto,F2,0,0.002437444150122222,0.9881818679214313
cub200,m4_proto,F2,0,0.0025529080682395165,0.9884007222191826
cub200,m4_proto,F2,0,0.0026738416158399465,0.9885101493680583
cub200,m4_proto,F2,0,0.002800503894183631,0.9885101493680583
cub200,m4_proto,F2,0,0.0029331662783900424,0.9885101493680583
cub200,m4_proto,F2,0,0.003072112998861759,0.9886195765169339
cub200,m4_proto,F2,0,0.0032176417502507355,0.9890025715379985
cub200,m4_proto,F2,0,0.003370064329271928,0.9894949937079389
cub200,m4_proto,F2,0,0.00352970730273065,0.9895497072823768
cub200,m4_proto,F2,0,0.0036969127071950283,0.9896044208568145
cub200,m4_proto,F2,0,0.003872038781812557,0.9896044208568145
cub200,m4_proto,F2,0,0.004055460735840828,0.9896044208568145
cub200,m4_proto,F2,0,0.0042475715525368985,0.9899874158778793
cub200,m4_proto,F2,0,0.004448782831127585,0.9902062701756306
cub200,m4_proto,F2,0,0.004659525668664682,0.9908628330688843
cub200,m4_proto,F2,0,0.004880251583654433,0.9913552552388247
cub200,m4_proto,F2,0,0.005111433483440166,0.9917382502598895
cub200,m4_proto,F2,0,0.0053535666774107244,0.9917382502598895
cub200,m4_proto,F2,0,0.005607169938205458,0.9917382502598895
cub200,m4_proto,F2,0,0.005872786613189483,0.991902390983203
cub200,m4_proto,F2,0,0.006150985788580504,0.9927230945997702
cub200,m4_proto,F2,0,0.00644236350872137,0.992777808174208
cub200,m4_proto,F2,0,0.006747544053110693,0.9928325217486459
cub200,m4_proto,F2,0,0.0070671812739274914,0.9931060896208349
cub200,m4_proto,F2,0,0.007401959996915644,0.9937079389396509
cub200,m4_proto,F2,0,0.007752597488629464,0.9945286425562182
cub200,m4_proto,F2,0,0.008119844993184008,0.994911637577283
cub200,m4_proto,F2,0,0.008504489341802677,0.9951304918750342
cub200,m4_proto,F2,0,0.00890735463861044,0.9958417683427259
cub200,m4_proto,F2,0,0.009329304026284686,0.9959511954916015
cub200,m4_proto,F2,0,0.009771241535346501,0.9961700497893528
cub200,m4_proto,F2,0,0.010234114021054527,0.9962794769382284
cub200,m4_proto,F2,0,0.010718913192051276,0.996388904087104
cub200,m4_proto,F2,0,0.011226677735108135,0.9964436176615419
cub200,m4_proto,F2,0,0.01175849554052157,0.9964983312359796
cub200,m4_proto,F2,0,0.012315506032928261,0.9966077583848553
cub200,m4_proto,F2,0,0.01289890261253308,0.9966077583848553
cub200,m4_proto,F2,0,0.013509935211980266,0.9968813262570444
cub200,m4_proto,F2,0,0.01414991297434576,0.9969360398314822
cub200,m4_proto,F2,0,0.014820207057988586,0.9969360398314822
cub200,m4_proto,F2,0,0.01552225357427048,0.99699075340592
cub200,m4_proto,F2,0,0.016257556664437952,0.9971548941292334
cub200,m4_proto,F2,0,0.017027691722258997,0.9972096077036713
cub200,m4_proto,F2,0,0.017834308769319095,0.9972096077036713
cub200,m4_proto,F2,0,0.01867913599020783,0.997264321278109
cub200,m4_proto,F2,0,0.01956398343517065,0.9973190348525469
cub200,m4_proto,F2,0,0.020490746898158482,0.9973737484269848
cub200,m4_proto,F2,0,0.021461411978584036,0.9975378891502982
cub200,m4_proto,F2,0,0.02247805833548725,0.997592602724736
cub200,m4_proto,F2,0,0.02354286414322418,0.9976473162991738
cub200,m4_proto,F2,0,0.024658110758226038,0.9977020298736117
