dataset,method,family,seed,fpr,tpr
cub200,m5_hybrid_replay,F1,0,0.0,0.0017771634496717185
cub200,m5_hybrid_replay,F1,0,0.0001,0.006170706422471244
cub200,m5_hybrid_replay,F1,0,0.00010473708979594497,0.006170706422471244
cub200,m5_hybrid_replay,F1,0,0.00010969857978923841,0.006170706422471244
cub200,m5_hybrid_replay,F1,0,0.00011489510001873086,0.006170706422471244
cub200,m5_hybrid_replay,F1,0,0.00012033778407775893,0.006170706422471244
cub200,m5_hybrid_replay,F1,0,0.00012603829296797275,0.006170706422471244
cub200,m5_hybrid_replay,F1,0,0.0001320088400831418,0.006170706422471244
cub200,m5_hybrid_replay,F1,0,0.00013826221737646565,0.006170706422471244
cub200,m5_hybrid_replay,F1,0,0.0001448118227674533,0.0068618255417880235
cub200,m5_hybrid_replay,F1,0,0.00015167168884709225,0.0068618255417880235
cub200,m5_hybrid_replay,F1,0,0.00015885651294280528,0.0068618255417880235
cub200,m5_hybrid_replay,F1,0,0.0001663816886076129,0.0068618255417880235
cub200,m5_hybrid_replay,F1,0,0.00017426333860096508,0.0068618255417880235
cub200,m5_hybrid_replay,F1,0,0.00018251834943190426,0.0068618255417880235
cub200,m5_hybrid_replay,F1,0,0.00019116440753857018,0.0068618255417880235
cub200,m5_hybrid_replay,F1,0,0.00020022003718155845,0.008589623340079972
cub200,m5_hybrid_replay,F1,0,0.00020970464013232327,0.008589623340079972
cub200,m5_hybrid_replay,F1,0,0.0002196385372416547,0.008589623340079972
cub200,m5_hybrid_replay,F1,0,0.0002300430119772917,0.008589623340079972
cub200,m5_hybrid_replay,F1,0,0.00024094035602395243,0.008589623340079972
cub200,m5_hybrid_replay,F1,0,0.0002523539170434766,0.008787085945599052
cub200,m5_hybrid_replay,F1,0,0.00026430814869741055,0.008787085945599052
cub200,m5_hybrid_replay,F1,0,0.00027682866303920667,0.008787085945599052
cub200,m5_hybrid_replay,F1,0,0.0002899422853882875,0.010662980698030311
