dataset,unit,eps,n_seeds,gap_m9_minus_m8,gap_m9_minus_m8_ci_lo,gap_m9_minus_m8_ci_hi
cifar100,U1,0.5,3,-0.5177333333333333,-0.5391147228497442,-0.49635194381692244
cifar100,U1,1,3,-0.28729999999999994,-0.31948180990657965,-0.25511819009342024
cifar100,U1,2,3,-0.19356666666666664,-0.20080626968413598,-0.1863270636491973
cifar100,U1,4,3,-0.07280000000000002,-0.07379365508468787,-0.07180634491531217
cifar100,U1,8,3,-0.06533333333333331,-0.06788285426478231,-0.06278381240188431
cifar100,U1,inf,3,0.000200000000000052,0.00019999999999989275,0.00020000000000021124
cifar100,U2,0.5,3,-0.8692333333333333,-0.8910772721678438,-0.8473893944988228
cifar100,U2,1,3,-0.8685666666666666,-0.888199738073554,-0.8489335952597792
cifar100,U2,2,3,-0.8688333333333332,-0.8855940542717298,-0.8520726123949367
cifar100,U2,4,3,-0.8677666666666667,-0.8801732704590025,-0.8553600628743309
cifar100,U2,8,3,-0.8661666666666665,-0.8726317911632868,-0.8597015421700462
cifar100,U2,inf,3,-0.0028999999999999395,-0.005721438076640269,-7.856192335960925e-05
cub200,U1,0.5,3,-0.8634166232040078,-0.8715761833942973,-0.8552570630137183
cub200,U1,1,3,-0.8539301956157965,-0.8705998418574734,-0.8372605493741196
cub200,U1,2,3,-0.8209982831304101,-0.8472225708530707,-0.7947739954077495
cub200,U1,4,3,-0.7830602361839943,-0.806064620793715,-0.7600558515742737
cub200,U1,8,3,-0.710165262474864,-0.7450076005012719,-0.6753229244484561
cub200,U1,inf,3,-0.003481911520928397,-0.0035536499557001352,-0.003410173086156659
cub200,U2,0.5,3,-0.8681252193174612,-0.8706427598197112,-0.8656076788152113
cub200,U2,1,3,-0.8677333054380286,-0.8718819253798958,-0.8635846854961614
cub200,U2,2,3,-0.8659847042147993,-0.8755772247687256,-0.8563921836608731
cub200,U2,4,3,-0.8653385009443623,-0.8750795565525991,-0.8555974453361255
cub200,U2,8,3,-0.8639561751941692,-0.8739023657227976,-0.8540099846655409
cub200,U2,inf,3,-0.023820291757694328,-0.03438398737664549,-0.013256596138743167
imagenet_r,U1,0.5,3,-0.6204587194243752,-0.6239561455531144,-0.6169612932956361
imagenet_r,U1,1,3,-0.5531144722536228,-0.584957896658505,-0.5212710478487406
imagenet_r,U1,2,3,-0.4322311266401257,-0.44586581851475604,-0.41859643476549535
imagenet_r,U1,4,3,-0.3111710483896928,-0.32007226156207963,-0.30226983521730594
imagenet_r,U1,8,3,-0.2502142939756822,-0.2617269551020659,-0.23870163284929846
imagenet_r,U1,inf,3,-0.0009619950895593347,-0.0010609556884167571,-0.0008630344907019122
imagenet_r,U2,0.5,3,-0.630867950307556,-0.6354434193070106,-0.6262924813081014
imagenet_r,U2,1,3,-0.6305120785077535,-0.6323024430966039,-0.6287217139189031
imagenet_r,U2,2,3,-0.6293040100696434,-0.6307364238546799,-0.627871596284607
imagenet_r,U2,4,3,-0.629250232414483,-0.6313733125770932,-0.6271271522518728
imagenet_r,U2,8,3,-0.6286573659100033,-0.6321905302517314,-0.6251242015682752
imagenet_r,U2,inf,3,-0.011472458863911536,-0.017160321950557576,-0.005784595777265497
