dataset	method	family	view	seeds
cifar100	m1_glfc	F1	full	0,1,2
cifar100	m2_target	F1	full	0,1,2
cifar100	m3_fot	F1	full	0,1,2
cifar100	m5_hybrid_replay	F1	full	0,1,2
cifar100	m4_proto	F2	full	0,1,2
cifar100	m4_proto	F2	aggregate	0,1,2
cifar100	m4_proto	F2	global	0,1,2
cifar100	m8_analytic	F5	full	0,1,2
cifar100	m8_analytic	F5	aggregate	0,1,2
cifar100	m8_analytic	F5	global	0,1,2
cub200	m1_glfc	F1	full	0,1,2
cub200	m2_target	F1	full	0,1,2
cub200	m3_fot	F1	full	0,1,2
cub200	m5_hybrid_replay	F1	full	0,1,2
cub200	m4_proto	F2	full	0,1,2
cub200	m4_proto	F2	aggregate	0,1,2
cub200	m4_proto	F2	global	0,1,2
cub200	m8_analytic	F5	full	0,1,2
cub200	m8_analytic	F5	aggregate	0,1,2
cub200	m8_analytic	F5	global	0,1,2
imagenet_r	m1_glfc	F1	full	0,1,2
imagenet_r	m2_target	F1	full	0,1,2
imagenet_r	m3_fot	F1	full	0,1,2
imagenet_r	m5_hybrid_replay	F1	full	0,1,2
imagenet_r	m4_proto	F2	full	0,1,2
imagenet_r	m4_proto	F2	aggregate	0,1,2
imagenet_r	m4_proto	F2	global	0,1,2
imagenet_r	m8_analytic	F5	full	0,1,2
imagenet_r	m8_analytic	F5	aggregate	0,1,2
imagenet_r	m8_analytic	F5	global	0,1,2
