ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,1.0,1.0,0.9999819695674375,1.0,1.0,0.9999819695674375,1.0,204590,204910
trajectory,1,1.0,1.0,0.9999799742541314,1.0,1.0,0.9999799742541314,1.0,184205,184345
trajectory,2,1.0,1.0,0.9999774491966551,1.0,1.0,0.9999774491966551,1.0,163579,164021
trajectory,3,1.0,1.0,0.9999742324429847,1.0,1.0,0.9999742324429847,1.0,143158,143492
trajectory,4,1.0,1.0,0.9999699489700655,1.0,1.0,0.9999699489700655,1.0,122752,122948
trajectory,5,1.0,1.0,0.9999639644707388,1.0,1.0,0.9999639644707388,1.0,102366,102384
trajectory,6,1.0,1.0,0.9999549223248798,1.0,1.0,0.9999549223248798,1.0,81832,81968
trajectory,7,1.0,1.0,0.9999398027281772,1.0,1.0,0.9999398027281772,1.0,61278,61572
trajectory,8,1.0,1.0,0.99991012563205,1.0,1.0,0.99991012563205,1.0,41043,40857
trajectory,9,1.0,1.0,0.9998202812334949,1.0,1.0,0.9998202812334949,1.0,20524,20426
last_round,0,1.0,1.0,0.9999819695674375,1.0,1.0,0.9999819695674375,1.0,204590,204910
last_round,1,1.0,1.0,0.9999799742541314,1.0,1.0,0.9999799742541314,1.0,184205,184345
last_round,2,1.0,1.0,0.9999774491966551,1.0,1.0,0.9999774491966551,1.0,163579,164021
last_round,3,1.0,1.0,0.9999742324429847,1.0,1.0,0.9999742324429847,1.0,143158,143492
last_round,4,1.0,1.0,0.9999699489700655,1.0,1.0,0.9999699489700655,1.0,122752,122948
last_round,5,1.0,1.0,0.9999639644707388,1.0,1.0,0.9999639644707388,1.0,102366,102384
last_round,6,1.0,1.0,0.9999549223248798,1.0,1.0,0.9999549223248798,1.0,81832,81968
last_round,7,1.0,1.0,0.9999398027281772,1.0,1.0,0.9999398027281772,1.0,61278,61572
last_round,8,1.0,1.0,0.99991012563205,1.0,1.0,0.99991012563205,1.0,41043,40857
last_round,9,1.0,1.0,0.9998202812334949,1.0,1.0,0.9998202812334949,1.0,20524,20426
