ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,0.5611603583940994,0.024635129929342234,0.02396852170114259,0.025315220816908277,0.0023211246726775343,0.002117474021104476,0.002539040047126171,205073,204427
trajectory,1,0.5864162257202179,0.033985213450989746,0.03316304016000216,0.034822071782313224,0.004759013940983891,0.004450068714699507,0.005083674813770807,184492,184058
trajectory,2,0.5991712362978107,0.048168580879032356,0.04713678822599031,0.0492163971016584,0.008995374156302255,0.00854387881245219,0.0094643677318929,163862,163738
trajectory,3,0.6059668366633282,0.05582475197133116,0.05464211739873838,0.05702538215568617,0.014146174815765071,0.01354136882869737,0.014770736744831325,143431,143219
trajectory,4,0.6122915223600908,0.06013250638928228,0.05880951691778829,0.06147630392934125,0.018158584428057494,0.017419281245324936,0.018920752914340002,122862,122838
trajectory,5,0.6218253209876491,0.06450289598859185,0.06300568138233016,0.06602483860914846,0.023080003516208744,0.022168873871359563,0.024018286724176597,102383,102367
trajectory,6,0.6319665726986039,0.0708803611738149,0.06913252271177812,0.07265864792728119,0.027771337929351474,0.026657001515425806,0.028919267369228736,81955,81845
trajectory,7,0.6502604008364915,0.08017459596287402,0.07804225991366626,0.08234656220506999,0.03472447588758357,0.03329285791978151,0.036200119912071435,61628,61222
trajectory,8,0.6672134335588614,0.09614259241197698,0.09330607094712433,0.09903643659560969,0.04588900809519165,0.04388392825178899,0.047958691296751225,41012,40888
trajectory,9,0.677568601221287,0.10499683744465528,0.10083765433204664,0.10926811701387126,0.059602004573541575,0.05640348925880332,0.06292577835549779,20553,20397
last_round,0,0.5611603583940994,0.024635129929342234,0.02396852170114259,0.025315220816908277,0.0023211246726775343,0.002117474021104476,0.002539040047126171,205073,204427
last_round,1,0.5735795662284728,0.03622379290158923,0.03537577806432006,0.037086420327902284,0.00650434707195976,0.0061425957094658696,0.006881733414172552,184492,184058
last_round,2,0.585231000558618,0.05096971842159866,0.04990972780669824,0.05204563163504086,0.012968229363732897,0.012426016736969239,0.013527773593794522,163862,163738
last_round,3,0.5923901130559474,0.05814642580753115,0.056940781293900275,0.059369970558699914,0.018468810787068347,0.0177782876318153,0.019178896145536063,143431,143219
last_round,4,0.5990153766150662,0.061605703960541096,0.06026754965257657,0.06296459570572223,0.02134915596360144,0.020548152403532055,0.022172861056709108,122862,122838
last_round,5,0.6094291081565888,0.06445405975601418,0.06295737699012073,0.06597547334645285,0.02393952120957581,0.023011809022775973,0.024894334688375062,102383,102367
last_round,6,0.619747866190386,0.07175889207491916,0.07000100377727067,0.0735471655402612,0.028222805197974498,0.027099608716894274,0.02937956072949243,81955,81845
last_round,7,0.6378098920169354,0.08262478094372688,0.08046271582912452,0.08482624229039774,0.03535730512104887,0.03391302369568934,0.03684554992332145,61628,61222
last_round,8,0.6530900582938984,0.09599629376767775,0.09316172341288162,0.09888820782568589,0.048546766799960984,0.046486583076539856,0.05067116242884026,41012,40888
last_round,9,0.6544675168183537,0.10149369921665936,0.09739745940786065,0.10570304261684381,0.06334841628959276,0.06005585237692197,0.06676513895392573,20553,20397
