ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,0.7128363003301155,0.09411512278853844,0.09285466538252646,0.09538706664571946,0.03260381922094135,0.03183933090723345,0.0333815564411182,205068,204432
trajectory,1,0.7189605763652629,0.09403869571099986,0.09271149863083583,0.09537864488819126,0.023601677716141252,0.02291428534134043,0.024304071804046107,184775,183775
trajectory,2,0.7199080039762367,0.09237810630359762,0.09098215307602474,0.09378846184281558,0.0210647401447326,0.0203758041827975,0.02177064739438897,164303,163297
trajectory,3,0.7181355182133883,0.09214938706221214,0.0906588682415858,0.093656381774259,0.02173459306775015,0.020986945264634002,0.02250161956966812,143734,142916
trajectory,4,0.719492519360532,0.09082433440347634,0.08922627211268504,0.09244166305284579,0.021321788760255537,0.020522857005510035,0.022143333695400915,123348,122352
trajectory,5,0.7193927771365575,0.09279928256016844,0.09103041620216483,0.09459120904065371,0.02042169085751606,0.019564894831032808,0.021305748986215196,102587,102163
trajectory,6,0.7125460504292943,0.0818419611898534,0.07997664804524769,0.08373684939348706,0.012579840622908936,0.01182906998543895,0.013365299495405419,82195,81605
trajectory,7,0.7125347734343229,0.07921016795279165,0.07709065202669688,0.08136937005497538,0.01018092211918812,0.009403729427587635,0.011004700421773468,61684,61166
trajectory,8,0.7029453970913608,0.06735524104163114,0.06494918075968623,0.06982271216107187,0.0033373121239433875,0.0028026103072592854,0.00394404874482419,41051,40849
trajectory,9,0.6580493396360879,0.03634764766231863,0.03382537425473385,0.03900268124218288,0.003908349211002003,0.003100257636838234,0.004861952497095921,20469,20481
last_round,0,0.7128363003301155,0.09411512278853844,0.09285466538252646,0.09538706664571946,0.03260381922094135,0.03183933090723345,0.0333815564411182,205068,204432
last_round,1,0.6910140440193516,0.08169395210391016,0.08044895115422929,0.0829520952416351,0.015288864835610878,0.014734313580475646,0.015858698171284026,184775,183775
last_round,2,0.6904869469681438,0.08194616044746596,0.08062425667793666,0.08328283747620897,0.015428811403321911,0.014838372659245664,0.016036437455325448,164303,163297
last_round,3,0.6879967551828301,0.08355016906229563,0.08212457274907657,0.0849925909862893,0.01868729736875061,0.017993464203257297,0.019400641771814862,143734,142916
last_round,4,0.6859824213184339,0.0814849044978435,0.0799639665524061,0.08302555186584601,0.018532931218990176,0.017787564371147393,0.01930105365061319,123348,122352
last_round,5,0.6765641760090716,0.08111164182596235,0.07944801726801191,0.08279899377828871,0.019378673711094,0.01854385097684858,0.020240823077441645,102587,102163
last_round,6,0.6696426373403515,0.07190218383113328,0.07014522104652177,0.07368943259893113,0.01305432203905347,0.01228948421946847,0.013853807806789315,82195,81605
last_round,7,0.6682611723109722,0.07108812658063679,0.0690723276741756,0.07314438798969554,0.013163867453472538,0.012279273316540537,0.014094690346990986,61684,61166
last_round,8,0.6562412521401889,0.05890234099047526,0.056643861190538394,0.061223458063090326,0.0041411902267910645,0.003543079597126197,0.0048110178834918525,41051,40849
last_round,9,0.6225862562983959,0.03620108456690605,0.033683811925628575,0.03885116253835598,0.0030778250036640775,0.0023658711123003954,0.003936181036456125,20469,20481
